"geological_age","age_min","age_max","age_unit"
"?",NULL,NULL,NULL
"~148",NULL,NULL,NULL
"~50 Ma (Eocene)",NULL,NULL,NULL
"Cambrian > Lower/Early to Proterozoic > Upper/Late",NULL,NULL,NULL
"Cambrian > Middle",NULL,NULL,NULL
"Cambrian Era",NULL,NULL,NULL
"Cambrian to Ordovician",NULL,NULL,NULL
"Cambrian to Silurian",NULL,NULL,NULL
"Cambrian to Tertiary",NULL,NULL,NULL
"Cambrian, Oligocene, or Miocene",NULL,NULL,NULL
"Cambrian?",NULL,NULL,NULL
"Cambro-Ordovician",NULL,NULL,NULL
"Campanian",NULL,NULL,NULL
"Campanian-Maastrichtian",NULL,NULL,NULL
"Campanian ",NULL,NULL,NULL
"Carboniferous",NULL,NULL,NULL
"Carboniferous > Silesian > Westphalian",NULL,NULL,NULL
"Carboniferous to Permian",NULL,NULL,NULL
"Carboniferous, Mississippian",NULL,NULL,NULL
"Carnian",NULL,NULL,NULL
"Cenozoic","0","1","Ka"
"Cenozoic","0","65.5","Ma"
"Cenozoic","0",NULL,NULL
"Cenozoic","0.01","65","million years (Ma)"
"Cenozoic","1","8.3","Ka"
"Cenozoic","2","50","Ma"
"Cenozoic","8.3","14","Ka"
"Cenozoic","15","50","Ma"
"Cenozoic","20","70","Ka"
"Cenozoic","103","305","Ka"
"Cenozoic","250","570","Ka"
"Cenozoic","570","615","Ka"
"Cenozoic","730","4000","Ka"
"Cenozoic",NULL,"0.7","Ka"
"Cenozoic",NULL,"2","Ka"
"Cenozoic",NULL,"3","Ka"
"Cenozoic",NULL,"10","Ka"
"Cenozoic",NULL,"40","Ka"
"Cenozoic",NULL,"80","Ka"
"Cenozoic",NULL,"130","Ka"
"Cenozoic",NULL,"250","Ka"
"Cenozoic",NULL,"3000","Ka"
"Cenozoic",NULL,NULL,NULL
"Cenozoic (uncertain)",NULL,NULL,NULL
"Cenozoic > Neogene",NULL,NULL,NULL
"Cenozoic > Quaternary > Pleistocene",NULL,NULL,NULL
"Cenozoic > Tertiary > Eocene",NULL,NULL,NULL
"Cenozoic > Tertiary > Miocene",NULL,NULL,NULL
"Cenozoic > Tertiary > Miocene to Cenozoic > Tertiary > Pliocene",NULL,NULL,NULL
"Cenozoic > Tertiary > Oligocene",NULL,NULL,NULL
"Cenozoic, Paleogene",NULL,NULL,NULL
"Cenozoic>Neogene","2.6","23","Ma"
"Cenozoic>Neogene>Miocene","5.3","23","Ma"
"Cenozoic>Neogene>Miocene>Early Miocene","16","23","Ma"
"Cenozoic>Neogene>Miocene>Late Miocene","5.3","11.6","Ma"
"Cenozoic>Neogene>Miocene>Late Miocene>Messinian","5.3","7.2","Ma"
"Cenozoic>Neogene>Miocene>Middle Miocene","11.6","16","Ma"
"Cenozoic>Neogene>Miocene>Middle Miocene>Langhian","13.8","16","Ma"
"Cenozoic>Neogene>Pliocene","2.6","5.3","Ma"
"Cenozoic>Neogene>Pliocene>Zanclean","3.6","5.3","Ma"
"Cenozoic>Paleogene","23","65.5","Ma"
"Cenozoic>Paleogene>Eocene","33.9","55.8","Ma"
"Cenozoic>Paleogene>Eocene>Early Eocene","48.6","55.8","Ma"
"Cenozoic>Paleogene>Eocene>Early Eocene>Ypresian","48.6","55.8","Ma"
"Cenozoic>Paleogene>Eocene>Late Eocene","33.9","37.2","Ma"
"Cenozoic>Paleogene>Eocene>Late Eocene>Priabonian","33.9","37.2","Ma"
"Cenozoic>Paleogene>Eocene>Middle Eocene","37.2","48.6","Ma"
"Cenozoic>Paleogene>Oligocene","23","33.9","Ma"
"Cenozoic>Paleogene>Paleocene","55.8","65.5","Ma"
"Cenozoic>Paleogene>Paleocene>Early Paleocene","61.7","65.5","Ma"
"Cenozoic>Paleogene>Paleocene>Late Paleocene>Thanetian","55.8","58.7","Ma"
"Cenozoic>Paleogene>Paleocene>Middle Paleocene","58.7","61.7","Ma"
"Cenozoic>Quaternary","0","2.6","Ma"
"Cenozoic>Quaternary","11600","12728","years"
"Cenozoic>Quaternary>Holocene","0","0.01","Ma"
"Cenozoic>Quaternary>Pleistocene","0.01","2.6","Ma"
"Cenozoic>Quaternary>Pleistocene","0.0319","0.0433","million years (Ma)"
"Cenozoic>Quaternary>Pleistocene",NULL,NULL,NULL
"Cenozoic>Quaternary>Pleistocene>Calabrian","0.01","1.8","Ma"
"Ceonomanian-Turonian?",NULL,NULL,NULL
"Chattian-Aquitanian",NULL,NULL,NULL
"Cisuralian",NULL,NULL,NULL
"Contaminated",NULL,NULL,NULL
"Creataceous",NULL,NULL,NULL
"cretaceous",NULL,NULL,NULL
"Cretaceous","55",NULL,"million years (Ma)"
"Cretaceous","80.04",NULL,"million years (Ma)"
"Cretaceous","85","95","million years (Ma)"
"Cretaceous","90.82","90.92","million years (Ma)"
"Cretaceous","90.97","91.09","million years (Ma)"
"Cretaceous","92.1","92.7","million years (Ma)"
"Cretaceous","92.4","93.2","million years (Ma)"
"Cretaceous","92.64","92.8","million years (Ma)"
"Cretaceous","93.6","94.8","million years (Ma)"
"Cretaceous","95","95.9","million years (Ma)"
"Cretaceous","95","96.6","million years (Ma)"
"Cretaceous","95.17","95.97",NULL
"Cretaceous","95.3","95.6","million years (Ma)"
"Cretaceous","95.3","97.1","million years (Ma)"
"Cretaceous","96.41","96.53","million years (Ma)"
"Cretaceous","97","99","Ma"
"Cretaceous","97.86","97.98","million years (Ma)"
"Cretaceous","97.96","99.4",NULL
"Cretaceous","98","100","Ma"
"Cretaceous","98.2","102",NULL
"Cretaceous","98.8","102.84",NULL
"Cretaceous","98.87","100.39",NULL
"Cretaceous","98.91","101.29",NULL
"Cretaceous","99","100.2",NULL
