"geological_age","age_min","age_max","age_unit"
"?",NULL,NULL,NULL
"~148",NULL,NULL,NULL
"~50 Ma (Eocene)",NULL,NULL,NULL
"Late Cretaceous","97.1","98.3","Ma"
"Late Cretaceous",NULL,NULL,NULL
"Late Cretaceous-Eocene",NULL,NULL,NULL
"Late Cretaceous-Eocene?",NULL,NULL,NULL
"Late Cretaceous–Eocene","50","75","million years (Ma)"
"Late Cretaceous or Eocene?",NULL,NULL,NULL
"late Cretaceous/ late Oligocene",NULL,NULL,NULL
"Late Cretaceous?",NULL,NULL,NULL
"Late Devonian",NULL,NULL,NULL
"Late Devonian - Early Carboniferous",NULL,"360","million years (Ma)"
"Late Devonian - Early Carboniferous",NULL,"370","million years (Ma)"
"Late Devonian - Early Carboniferous",NULL,"550","million years (Ma)"
"Late Devonian and Early Mississippian",NULL,NULL,NULL
"Late Eocene","40","44","Ma"
"late Holocene",NULL,NULL,NULL
"Late Jurassic","147.9","150.3","Ma"
"Late Jurassic",NULL,NULL,NULL
"Late K",NULL,NULL,NULL
"Late Mesozoic",NULL,NULL,NULL
"Late Miocene","7.1","7.3","Ma"
"Late Miocene","8.5","8.9","Ma"
"Late Miocene","11.5","11.9","Ma"
"Late Miocene",NULL,NULL,NULL
"late Oligocene or younger",NULL,NULL,NULL
"Late or Middle Cretaceous",NULL,NULL,NULL
"Late Ordovician","591.4",NULL,"million years (Ma)"
"Late Ordovician",NULL,NULL,NULL
"Late Ordovician-Early Silurian (?)",NULL,NULL,NULL
"Late Ordovician - Silurian","423","460","million years (Ma)"
"late Paleocene inferred",NULL,NULL,NULL
"Late Paleocene, Clarkforkian ","55.5","56","Ma"
"late Pleistocene",NULL,NULL,NULL
"Late Pleistocene",NULL,NULL,NULL
"Late Pliocene",NULL,NULL,NULL
"late Proterozoic",NULL,NULL,NULL
"Late Triassic","210","220","million years (Ma)"
"Late Triassic","210","225","million years (Ma)"
"Late Triassic","210","255","million years (Ma)"
"Late Triassic","212.1","214.5","Ma"
"Late Triassic","216.2","220.6","Ma"
"Late Triassic","218.5","224.9","Ma"
"Late Triassic","231.7","234.1","Ma"
"Late Triassic",NULL,NULL,NULL
"Late Triassic/Early Jurassic",NULL,NULL,NULL
"latest Miocene-Quaternary","0","5.5","million years (Ma)"
"lower-mid Paleocene",NULL,NULL,NULL
"Lower-Middle Devonian",NULL,NULL,NULL
"Lower-Middle Devonian ",NULL,NULL,NULL
"Lower-Middle Jurassic",NULL,NULL,NULL
"Lower-Middle Jurassic ",NULL,NULL,NULL
"Lower Aptian",NULL,NULL,NULL
"Lower Aptian ",NULL,NULL,NULL
"Lower Cambrian",NULL,"527",NULL
"Lower Cambrian",NULL,"557",NULL
"Lower Cambrian",NULL,"559",NULL
"Lower Cambrian",NULL,"564",NULL
"Lower Cambrian",NULL,"567",NULL
"Lower Cambrian",NULL,"575",NULL
"Lower Cambrian",NULL,"577",NULL
"Lower Cambrian",NULL,"598",NULL
"Lower Cambrian",NULL,NULL,NULL
"Lower Campanian",NULL,NULL,NULL
"Lower Carboniferous",NULL,NULL,NULL
"Lower Cretaceous","101.2","103.4","Ma"
"Lower Cretaceous","101.8","104.2","Ma"
"Lower Cretaceous","102","104.6","Ma"
"Lower Cretaceous","106.2","108.8","Ma"
"Lower Cretaceous","113.4","116.4","Ma"
"Lower Cretaceous","132","140","million years (Ma)"
"Lower Cretaceous",NULL,"114",NULL
"Lower Devonian",NULL,NULL,NULL
"Lower Eocene",NULL,NULL,NULL
"Lower Jurassic",NULL,"185",NULL
"Lower Jurassic",NULL,"187",NULL
"Lower Jurassic",NULL,"188",NULL
"Lower Jurassic",NULL,"191",NULL
"Lower Jurassic",NULL,"193",NULL
"Lower Jurassic",NULL,"194",NULL
"Lower Jurassic",NULL,NULL,NULL
"Lower Jurassic?",NULL,"212",NULL
"Lower Mississippian",NULL,NULL,NULL
"Lower Ordovician","543",NULL,"million years (Ma)"
"Lower Ordovician",NULL,NULL,NULL
"Lower Paleocene",NULL,NULL,NULL
"Lower Pennsylvanian",NULL,NULL,NULL
"Lower Pleistocene",NULL,NULL,NULL
"Lower Pliestocene",NULL,NULL,NULL
"lower Pliocene",NULL,NULL,NULL
"Lower to Middle ordovician",NULL,NULL,NULL
"Lower to Upper Cretaceous","99.5","101.1","Ma"
"lowermost Cretaceous",NULL,"136",NULL
"lowermost Cretaceous",NULL,"142",NULL
"Ludlow","423","427.4","Ma"
"Ludlow",NULL,NULL,NULL
"Lutetian",NULL,NULL,NULL
"Lutetian-Bartonian",NULL,NULL,NULL
"Ma","33.5","35.5",NULL
"Maastricht-Danian",NULL,NULL,NULL
"Maastrichtian",NULL,NULL,NULL
"Maastrichtian-Danian",NULL,NULL,NULL
"Mesoarchean",NULL,NULL,NULL
"Mesoarchean to Neoarchean",NULL,NULL,NULL
"Mesoproterozoic","1080","1084","Ma"
"Mesoproterozoic","1080","1100","Ma"
"Mesoproterozoic","1082.3","1084.7","million years (Ma)"
"Mesoproterozoic","1083.2","1086.6","million years (Ma)"
"Mesoproterozoic","1084.1","1087.1","million years (Ma)"
"Mesoproterozoic","1090.4","1092.8","million years (Ma)"
"Mesoproterozoic","1097","1099","Ma"
"Mesoproterozoic","1098","1100","Ma"
"Mesoproterozoic","1099.2","1101.6","million years (Ma)"
"Mesoproterozoic",NULL,NULL,NULL
"Mesozoic","65.5","251","Ma"
"Mesozoic",NULL,NULL,NULL
"MESOZOIC","66","225","Ma"
"Mesozoic?",NULL,NULL,NULL
"Mesozoic>Cretaceous","65.5","145.5","Ma"
"Mesozoic>Cretaceous>Early Cretaceous","99.6","145.5","Ma"
"Mesozoic>Cretaceous>Early Cretaceous>Albian","99.6","112","Ma"
"Mesozoic>Cretaceous>Early Cretaceous>Aptian","112","125","Ma"
"Mesozoic>Cretaceous>Early Cretaceous>Barremian","125","130","Ma"
"Mesozoic>Cretaceous>Early Cretaceous>Berriasian","140","145.5","Ma"
"Mesozoic>Cretaceous>Late Cretaceous","65.5","99.6","Ma"
"Mesozoic>Cretaceous>Late Cretaceous>Campanian","70.6","83.5","Ma"
"Mesozoic>Cretaceous>Late Cretaceous>Cenomanian","93.5","99.6","Ma"
"Mesozoic>Cretaceous>Late Cretaceous>Coniacian","85.8","89.3","Ma"
"Mesozoic>Cretaceous>Late Cretaceous>Maastrichtian","65.5","70.6","Ma"
"Mesozoic>Cretaceous>Late Cretaceous>Turonian","89.3","93.5","Ma"
"Mesozoic>Jurassic","145.5","201.5","Ma"
"Mesozoic>Jurassic>Early Jurassic","176","201.6","Ma"
"Mesozoic>Jurassic>Early Jurassic>Pliensbachian","183","190","Ma"
"Mesozoic>Jurassic>Early Jurassic>Sinemurian","190","197","Ma"
"Mesozoic>Jurassic>Early Jurassic>Toarcian","176","183","Ma"
"Mesozoic>Jurassic>Late Jurassic","145.5","161","Ma"
"Mesozoic>Jurassic>Late Jurassic>Kimmeridgian","151","156","Ma"
"Mesozoic>Jurassic>Late Jurassic>Oxfordian","156","161","Ma"
"Mesozoic>Jurassic>Late Jurassic>Tithonian","145.5","151","Ma"
"Mesozoic>Jurassic>Middle Jurassic","161","176","Ma"
"Mesozoic>Jurassic>Middle Jurassic>Aalenian","172","176","Ma"
"Mesozoic>Jurassic>Middle Jurassic>Bajocian","168","172","Ma"
"Mesozoic>Jurassic>Middle Jurassic>Bathonian","165","168","Ma"
"Mesozoic>Triassic","201.6","251","Ma"
"Mesozoic>Triassic>Early Triassic","245","251","Ma"
"Mesozoic>Triassic>Late Triassic","201.6","235","Ma"
"Mesozoic>Triassic>Late Triassic>Rhaetian","201.6","204","Ma"
"Mesozoic>Triassic>Middle Triassic>Anisian","241","245","Ma"
"Mesozoic>Triassic>Middle Triassic>Ladinian","235","241","Ma"
"Mesproterozoic?",NULL,NULL,NULL
"mid-Cretaceous",NULL,"101",NULL
"mid-Cretaceous",NULL,NULL,NULL
"Mid-to-Late Miocene",NULL,NULL,NULL
"Mid Cambrian",NULL,NULL,NULL
"Mid Miocene",NULL,NULL,NULL
"middle-Early Pliocene",NULL,NULL,NULL
"Middle-Late Ordovician",NULL,NULL,NULL
"Middle-Lower Ordovician","562.7",NULL,"million years (Ma)"
"middle-Pliocene",NULL,NULL,NULL
"middle-upper Miocene",NULL,NULL,NULL
"middle Archean",NULL,"3225","Ma"
"middle Archean",NULL,"3243","Ma"
"middle Archean",NULL,"3470","Ma"
"Middle Cambrian",NULL,"571",NULL
"Middle Cambrian",NULL,"575",NULL
"Middle Cambrian",NULL,"576",NULL
"Middle Cambrian",NULL,"581",NULL
"Middle Cambrian",NULL,"583",NULL
"Middle Campanian",NULL,NULL,NULL
"Middle Devonian","382.5","393.3","Ma"
"Middle Devonian",NULL,NULL,NULL
"Middle Devonian ",NULL,NULL,NULL
"Middle Devonian, 382.7-393.3 Ma",NULL,NULL,NULL
"middle Eocene",NULL,NULL,NULL
"Middle Eocene","33.9","56","million years (Ma)"
"Middle Jurassic","169.4","173.2","Ma"
"Middle Jurassic",NULL,NULL,NULL
"Middle Late Miocene",NULL,NULL,NULL
"Middle Lutetian",NULL,NULL,NULL
"middle Miocene","16","16.25","million years (Ma)"
"middle Miocene",NULL,NULL,NULL
"Middle Miocene","5.2","23.3","million years (Ma)"
"Middle Miocene",NULL,NULL,NULL
"Middle Mississippian",NULL,NULL,NULL
"Middle Ordovician",NULL,NULL,NULL
"Middle Ordovician to Cambrian","470","540","million years (Ma)"
"Middle Pennsylvanian",NULL,NULL,NULL
"middle Pleist",NULL,NULL,NULL
"Middle to Upper Jurassic","162.3","165.1","Ma"
"Middle Triassic, Anisian",NULL,NULL,NULL
"Miocence",NULL,NULL,NULL
"Miocene","5.2","23.3","million years (Ma)"
"Miocene","5.3","23","Ma"
"Miocene","6.1","12","million years (Ma)"
"Miocene","6.41","8.07","million years (Ma)"
"Miocene","6.496","6.548","million years (Ma)"
"Miocene","6.5",NULL,"million years (Ma)"
"Miocene","7.3","7.34","million years (Ma)"
"Miocene","7.34","7.98","million years (Ma)"
"Miocene","7.456","7.502","million years (Ma)"
"Miocene","7.5",NULL,"million years (Ma)"
"Miocene","7.6","8.04","million years (Ma)"
"Miocene","9","10","million years (Ma)"
"Miocene","9.1","14.2","Ma"
"Miocene","10.81","11.67","million years (Ma)"
"Miocene","10.924","11.008","million years (Ma)"
"Miocene","11.1","13.5","million years (Ma)"
"Miocene","11.355","11.411","million years (Ma)"
"Miocene","11.79","12.07","million years (Ma)"
"Miocene","12.2","12.4",NULL
"Miocene","12.3","13.1","Ma"
"Miocene","12.5","13.8","million years (Ma)"
"Miocene","12.69","12.79","million years (Ma)"
"Miocene","15.85","16","million years (Ma)"
"Miocene","15.9","16","million years (Ma)"
"Miocene","15.9","16",NULL
"Miocene","16","16.25","million years (Ma)"
"Miocene","16","18","million years (Ma)"
"Miocene","16.1","16.5","Ma"
"Miocene","18.9","19.3","Ma"
"Miocene","22.6","22.6","Ma"
"Miocene",NULL,"8.2","million years (Ma)"
"Miocene",NULL,NULL,NULL
"Miocene--Pliocene",NULL,NULL,NULL
"Miocene- Pliocene",NULL,NULL,NULL
"Miocene-Pliocene",NULL,NULL,NULL
"Miocene (?)",NULL,NULL,NULL
"Miocene (Serravallian)","13.27","13.29","13.28"
"Miocene (uncertain)",NULL,NULL,NULL
"Miocene or younger",NULL,NULL,NULL
"MIOCENE to HOLOCENE","0","23","Ma"
"MIOCENE to HOLOCENE",NULL,NULL,NULL
"Miocene, Burdigalian",NULL,NULL,NULL
"Miocene/Oligocene",NULL,NULL,NULL
"MIS 5.5; Quaternary",NULL,NULL,NULL
"MIS 5e",NULL,NULL,NULL
"MIS 5e?",NULL,NULL,NULL
"MIS4","78000","96000","years"
"MIS7","187000","225000","years"
"Mississippian",NULL,NULL,NULL
"Mississippian > Lower/Early",NULL,NULL,NULL
"Mississippian > Upper/Late",NULL,NULL,NULL
"Mississippian or Cretaceous?",NULL,NULL,NULL
"Mississippian to Pennsylvanian",NULL,NULL,NULL
"Mississippian, Arnsbergian",NULL,NULL,NULL
"Mississippian, Pendleian",NULL,NULL,NULL
"Mississippian, Permian",NULL,NULL,NULL
"Mississippian?",NULL,NULL,NULL
"Missourian",NULL,NULL,NULL
"mixed ages",NULL,NULL,NULL
"mixed Eocene & Oligocene",NULL,NULL,NULL
"modern","1960","2016","years"
"modern","1970","2016","years"
"Modern","1854",NULL,"years"
"Modern","1942",NULL,"years"
"Modern","1953",NULL,"years"
"Modern","1986","2012","A.D"
"Modern","1990",NULL,"years"
"Modern","1994","2012","A.D"
"Modern",NULL,NULL,"ka"
"Modern",NULL,NULL,NULL
"Modern (Mesoproterozoic detritus)",NULL,NULL,NULL
"Namurian (middle Carboniferous)",NULL,"322.6","million years (Ma)"
"Neo-Mesoproterozoic",NULL,NULL,NULL
"Neoarchean",NULL,NULL,NULL
"Neogene","0","10","Ma"
"Neogene",NULL,NULL,NULL
"Neogene > Miocene",NULL,NULL,NULL
"Neogene > Miocene > Lower/Early",NULL,NULL,NULL
"Neogene > Miocene to Neogene > Pliocene",NULL,NULL,NULL
"Neogene > Pleistocene",NULL,NULL,NULL
"Neogene > Pliocene",NULL,NULL,NULL
"Neogene > Pliocene to Quaternary > Pleistocene",NULL,NULL,NULL
"Neoproterozoic","628",NULL,NULL
"Neoproterozoic","629",NULL,NULL
"Neoproterozoic","630","670","Ma"
"Neoproterozoic","630",NULL,NULL
"Neoproterozoic","633",NULL,NULL
"Neoproterozoic","679",NULL,NULL
"Neoproterozoic","692",NULL,NULL
"Neoproterozoic","717","780","Ma"
"Neoproterozoic","717","780","million years (Ma)"
"Neoproterozoic","717","780",NULL
"Neoproterozoic","717","850","million years (Ma)"
"Neoproterozoic",NULL,NULL,NULL
"Neoproterozoic-Cambrian",NULL,NULL,NULL
"Neoproterozoic-Paleozoic",NULL,NULL,NULL
"Norian/Rhaetian (Triassic)",NULL,NULL,NULL
"Not Applicable",NULL,NULL,NULL
"Oligocene","5.3","33.9","Ma"
"Oligocene","18.86",NULL,"Ma"
"Oligocene","19.2","29.8","million years (Ma)"
"Oligocene","23","28.4","million years (Ma)"
"Oligocene","23","33.9","Ma"
"Oligocene","23","34","million years (Ma)"
"Oligocene","24","24","Ma"
"Oligocene","24","25",NULL
"Oligocene","24.2","24.2","Ma"
"Oligocene","24.3",NULL,NULL
"Oligocene","24.5","24.5","Ma"
"Oligocene","24.6","24.6","Ma"
"Oligocene","24.7","24.7","Ma"
"Oligocene","24.7",NULL,"Ma"
"Oligocene","24.8","24.8","Ma"
"Oligocene","24.88",NULL,NULL
"Oligocene","24.9","24.9","Ma"
"Oligocene","25","25","Ma"
"Oligocene","25.2","25.2","Ma"
"Oligocene","25.3","25.3","Ma"
"Oligocene","25.83",NULL,"Ma"
"Oligocene","26","28","million years (Ma)"
"Oligocene","26","29","million years (Ma)"
"Oligocene","26.8","36.4","million years (Ma)"
"Oligocene","26.98",NULL,"Ma"
"Oligocene","27.1","27.1","million years (Ma)"
"Oligocene","27.13",NULL,"Ma"
"Oligocene","27.22",NULL,"Ma"
"Oligocene","28","30.5","million years (Ma)"
"Oligocene","29.3",NULL,"Ma"
"Oligocene","29.99",NULL,"Ma"
"Oligocene","30.09",NULL,"Ma"
"Oligocene","30.21",NULL,"Ma"
"Oligocene","30.45",NULL,"Ma"
"Oligocene","30.62",NULL,"Ma"
"Oligocene","31.11",NULL,"Ma"
"Oligocene","31.3",NULL,"Ma"
"Oligocene",NULL,NULL,NULL
"Oligocene--Miocene",NULL,NULL,NULL
"Oligocene-Miocene","2.6","5.3","Ma"
"Oligocene-Miocene","5.3","33.9","Ma"
"Oligocene-Miocene",NULL,NULL,NULL
"Oligocene (uncertain)",NULL,NULL,NULL
"Oligocene probably",NULL,NULL,NULL
"Oligocene(uncertain)",NULL,NULL,NULL
"Ordovician","443.8","470","million years (Ma)"
"Ordovician","585.6",NULL,"million years (Ma)"
"Ordovician","592.8",NULL,"million years (Ma)"
"Ordovician",NULL,"592.6",NULL
"Ordovician",NULL,NULL,NULL
"Ordovician-Silurian?",NULL,NULL,NULL
"Ordovician ",NULL,NULL,NULL
"Ordovician ?",NULL,NULL,NULL
"Ordovician > Lower/Early",NULL,NULL,NULL
"Ordovician > Lower/Early to Proterozoic > Upper/Late",NULL,NULL,NULL
"Ordovician > Middle",NULL,NULL,NULL
"Ordovician > Upper/Late",NULL,NULL,NULL
"Ordovician > Upper/Late to Cambrian > Lower/Early",NULL,NULL,NULL
"Ordovician Era",NULL,NULL,NULL
"Ordovician/Silurian",NULL,NULL,NULL
"Paibian","494","497","Ma"
"Palaeozoic",NULL,NULL,NULL
"Paleoarchaean","3260",NULL,"Ma"
"Paleoarchaean","3261",NULL,"Ma"
"Paleoarchaean","3262",NULL,"Ma"
"Paleoarchaean","3263",NULL,"Ma"
"Paleoarchaean","3264",NULL,"Ma"
"Paleoarchaean","3265",NULL,"Ma"
"Paleoarchaean","3266",NULL,"Ma"
"Paleoarchaean","3267",NULL,"Ma"
"Paleoarchaean","3268",NULL,"Ma"
"Paleoarchaean","3269",NULL,"Ma"
"Paleoarchaean","3270",NULL,"Ma"
"Paleoarchaean","3271",NULL,"Ma"
"Paleoarchaean","3272",NULL,"Ma"
"Paleoarchaean","3273",NULL,"Ma"
"Paleoarchaean","3274",NULL,"Ma"
"Paleoarchaean","3275",NULL,"Ma"
"Paleoarchaean","3276",NULL,"Ma"
"Paleoarchaean","3277",NULL,"Ma"
"Paleoarchaean","3278",NULL,"Ma"
"Paleoarchaean","3279",NULL,"Ma"
"Paleoarchaean","3280",NULL,"Ma"
"Paleoarchaean","3281",NULL,"Ma"
"Paleoarchaean","3282",NULL,"Ma"
"Paleoarchaean","3283",NULL,"Ma"
"Paleoarchaean","3284",NULL,"Ma"
"Paleoarchaean","3285",NULL,"Ma"
"Paleoarchaean","3286",NULL,"Ma"
"Paleoarchaean","3287",NULL,"Ma"
"Paleoarchaean","3288",NULL,"Ma"
"Paleoarchaean","3289",NULL,"Ma"
"Paleoarchaean","3290",NULL,"Ma"
"Paleoarchaean","3291",NULL,"Ma"
"Paleoarchaean","3292",NULL,"Ma"
"Paleoarchaean","3293",NULL,"Ma"
"Paleoarchaean","3294",NULL,"Ma"
"Paleoarchaean","3295",NULL,"Ma"
"Paleoarchaean","3296",NULL,"Ma"
"Paleoarchaean","3297",NULL,"Ma"
"Paleoarchaean","3298",NULL,"Ma"
"Paleoarchaean","3299",NULL,"Ma"
"Paleoarchaean","3300",NULL,"Ma"
"Paleoarchaean","3301",NULL,"Ma"
"Paleoarchaean","3302",NULL,"Ma"
"Paleoarchaean","3303",NULL,"Ma"
"Paleoarchaean","3304",NULL,"Ma"
"Paleoarchaean","3305",NULL,"Ma"
"Paleoarchaean","3306",NULL,"Ma"
"Paleoarchaean","3307",NULL,"Ma"
"Paleoarchaean","3308",NULL,"Ma"
"Paleoarchaean","3309",NULL,"Ma"
"Paleoarchaean","3310",NULL,"Ma"
"Paleoarchaean","3311",NULL,"Ma"
"Paleoarchaean","3312",NULL,"Ma"
"Paleoarchaean","3313",NULL,"Ma"
"Paleoarchaean","3314",NULL,"Ma"
"Paleoarchaean","3315",NULL,"Ma"
"Paleoarchaean","3316",NULL,"Ma"
"Paleoarchaean","3317",NULL,"Ma"
"Paleoarchaean","3318",NULL,"Ma"
"Paleoarchaean","3319",NULL,"Ma"
"Paleoarchaean","3320",NULL,"Ma"
"Paleoarchaean","3321",NULL,"Ma"
"Paleoarchaean","3322",NULL,"Ma"
"Paleoarchaean","3323",NULL,"Ma"
"Paleoarchaean","3324",NULL,"Ma"
"Paleoarchaean","3325",NULL,"Ma"
"Paleoarchaean","3326",NULL,"Ma"
"Paleoarchaean","3327",NULL,"Ma"
"Paleoarchaean","3328",NULL,"Ma"
"Paleoarchaean","3329",NULL,"Ma"
"Paleoarchaean","3330",NULL,"Ma"
"Paleoarchaean","3331",NULL,"Ma"
"Paleoarchaean","3332",NULL,"Ma"
"Paleoarchaean","3333",NULL,"Ma"
"Paleoarchaean","3334",NULL,"Ma"
"Paleoarchaean","3335",NULL,"Ma"
"Paleoarchaean","3336",NULL,"Ma"
"Paleoarchaean","3337",NULL,"Ma"
"Paleoarchaean","3338",NULL,"Ma"
"Paleoarchaean","3339",NULL,"Ma"
"Paleoarchaean","3340",NULL,"Ma"
"Paleoarchaean","3341",NULL,"Ma"
"Paleoarchaean","3342",NULL,"Ma"
"Paleoarchaean","3343",NULL,"Ma"
"Paleoarchaean","3344",NULL,"Ma"
"Paleoarchaean","3345",NULL,"Ma"
"Paleoarchaean","3346",NULL,"Ma"
"Paleoarchaean","3347",NULL,"Ma"
"Paleoarchaean","3348",NULL,"Ma"
"Paleoarchaean","3349",NULL,"Ma"
"Paleoarchaean","3350",NULL,"Ma"
"Paleoarchaean","3351",NULL,"Ma"
"Paleoarchaean","3352",NULL,"Ma"
"Paleoarchaean","3353",NULL,"Ma"
"Paleoarchaean","3354",NULL,"Ma"
"Paleoarchaean","3355",NULL,"Ma"
"Paleoarchaean","3356",NULL,"Ma"
"Paleoarchaean","3357",NULL,"Ma"
"Paleoarchaean","3358",NULL,"Ma"
"Paleoarchaean","3359",NULL,"Ma"
"Paleoarchaean","3360",NULL,"Ma"
"Paleoarchaean","3361",NULL,"Ma"
"Paleoarchaean","3362",NULL,"Ma"
"Paleoarchaean","3363",NULL,"Ma"
"Paleoarchaean","3364",NULL,"Ma"
"Paleoarchaean","3365",NULL,"Ma"
"Paleoarchaean","3366",NULL,"Ma"
"Paleoarchaean","3367",NULL,"Ma"
"Paleoarchaean","3368",NULL,"Ma"
"Paleoarchaean","3369",NULL,"Ma"
"Paleoarchaean","3370",NULL,"Ma"
"Paleoarchaean","3371",NULL,"Ma"
"Paleoarchaean","3372",NULL,"Ma"
"Paleoarchaean","3373",NULL,"Ma"
"Paleoarchaean","3374",NULL,"Ma"
"Paleoarchaean","3375",NULL,"Ma"
"Paleoarchaean","3376",NULL,"Ma"
"Paleoarchaean","3377",NULL,"Ma"
"Paleoarchaean","3378",NULL,"Ma"
"Paleoarchaean","3379",NULL,"Ma"
"Paleoarchaean","3380",NULL,"Ma"
"Paleoarchaean","3381",NULL,"Ma"
"Paleoarchaean","3382",NULL,"Ma"
"Paleoarchaean","3383",NULL,"Ma"
"Paleoarchaean","3384",NULL,"Ma"
"Paleoarchaean","3385",NULL,"Ma"
"Paleoarchaean","3386",NULL,"Ma"
"Paleoarchaean","3387",NULL,"Ma"
"Paleoarchaean","3388",NULL,"Ma"
"Paleoarchaean","3389",NULL,"Ma"
"Paleoarchaean","3390",NULL,"Ma"
"Paleoarchaean","3391",NULL,"Ma"
"Paleoarchaean","3392",NULL,"Ma"
"Paleoarchaean","3393",NULL,"Ma"
"Paleoarchaean","3394",NULL,"Ma"
"Paleoarchaean","3395",NULL,"Ma"
"Paleoarchaean","3396",NULL,"Ma"
"Paleoarchaean","3397",NULL,"Ma"
"Paleoarchaean","3398",NULL,"Ma"
"Paleoarchaean","3399",NULL,"Ma"
"Paleoarchaean","3400",NULL,"Ma"
"Paleoarchaean","3401",NULL,"Ma"
"Paleoarchaean","3402",NULL,"Ma"
"Paleoarchaean","3403",NULL,"Ma"
"Paleoarchaean","3404",NULL,"Ma"
"Paleoarchaean","3405",NULL,"Ma"
"Paleoarchaean","3406",NULL,"Ma"
"Paleoarchaean","3407",NULL,"Ma"
"Paleoarchaean","3408",NULL,"Ma"
"Paleoarchaean","3409",NULL,"Ma"
"Paleoarchaean","3410",NULL,"Ma"
"Paleoarchaean","3411",NULL,"Ma"
"Paleoarchaean","3412",NULL,"Ma"
"Paleoarchaean","3413",NULL,"Ma"
"Paleoarchaean","3414",NULL,"Ma"
"Paleoarchaean","3415",NULL,"Ma"
"Paleoarchaean","3416",NULL,"Ma"
"Paleoarchaean","3417",NULL,"Ma"
"Paleoarchaean","3418",NULL,"Ma"
"Paleoarchaean","3419",NULL,"Ma"
"Paleoarchaean","3420",NULL,"Ma"
"Paleoarchaean","3421",NULL,"Ma"
"Paleoarchaean","3422",NULL,"Ma"
"Paleoarchaean","3423",NULL,"Ma"
"Paleoarchaean","3424",NULL,"Ma"
"Paleoarchaean","3425",NULL,"Ma"
"Paleoarchaean","3426",NULL,"Ma"
"Paleoarchaean","3427",NULL,"Ma"
"Paleoarchaean","3428",NULL,"Ma"
"Paleoarchaean","3429",NULL,"Ma"
"Paleoarchaean","3430",NULL,"Ma"
"Paleoarchaean","3431",NULL,"Ma"
"Paleoarchaean","3432",NULL,"Ma"
"Paleoarchaean","3433",NULL,"Ma"
"Paleoarchaean","3434",NULL,"Ma"
"Paleoarchaean","3435",NULL,"Ma"
"Paleoarchaean","3436",NULL,"Ma"
"Paleoarchaean","3437",NULL,"Ma"
"Paleoarchaean","3438",NULL,"Ma"
"Paleoarchaean","3439",NULL,"Ma"
"Paleoarchaean","3440",NULL,"Ma"
"Paleoarchaean","3441",NULL,"Ma"
"Paleoarchaean","3442",NULL,"Ma"
"Paleoarchaean","3443",NULL,"Ma"
"Paleoarchaean","3444",NULL,"Ma"
"Paleoarchaean","3445",NULL,"Ma"
"Paleoarchaean","3446",NULL,"Ma"
"Paleoarchaean","3447",NULL,"Ma"
"Paleoarchaean","3448",NULL,"Ma"
"Paleoarchaean","3449",NULL,"Ma"
"Paleoarchaean","3450",NULL,"Ma"
"Paleoarchaean","3451",NULL,"Ma"
"Paleoarchaean","3452",NULL,"Ma"
"Paleoarchaean","3453",NULL,"Ma"
"Paleoarchaean","3454",NULL,"Ma"
"Paleoarchaean","3455",NULL,"Ma"
"Paleoarchaean","3456",NULL,"Ma"
"Paleoarchaean","3457",NULL,"Ma"
"Paleoarchaean","3458",NULL,"Ma"
"Paleoarchaean","3459",NULL,"Ma"
"Paleoarchaean","3460",NULL,"Ma"
"Paleoarchaean","3461",NULL,"Ma"
"Paleoarchaean","3462",NULL,"Ma"
"Paleoarchaean","3463",NULL,"Ma"
"Paleoarchaean","3464",NULL,"Ma"
"Paleoarchaean","3465",NULL,"Ma"
"Paleoarchaean","3466",NULL,"Ma"
"Paleoarchaean","3467",NULL,"Ma"
"Paleoarchaean","3468",NULL,"Ma"
"Paleoarchaean","3469",NULL,"Ma"
"Paleoarchaean","3470",NULL,"Ma"
"Paleoarchaean","3471",NULL,"Ma"
"Paleoarchaean","3472",NULL,"Ma"
"Paleoarchaean","3473",NULL,"Ma"
"Paleoarchaean","3474",NULL,"Ma"
"Paleoarchaean","3475",NULL,"Ma"
"Paleoarchaean","3476",NULL,"Ma"
"Paleoarchaean","3477",NULL,"Ma"
"Paleoarchaean","3478",NULL,"Ma"
"Paleoarchaean","3479",NULL,"Ma"
"Paleoarchaean","3480",NULL,"Ma"
"Paleoarchaean","3481",NULL,"Ma"
"Paleoarchaean","3482",NULL,"Ma"
"Paleoarchaean","3483",NULL,"Ma"
"Paleoarchaean","3484",NULL,"Ma"
"Paleoarchaean","3485",NULL,"Ma"
"Paleoarchaean","3486",NULL,"Ma"
"Paleoarchaean","3487",NULL,"Ma"
"Paleoarchaean","3488",NULL,"Ma"
"Paleoarchaean","3489",NULL,"Ma"
"Paleoarchaean","3490",NULL,"Ma"
"Paleoarchaean","3491",NULL,"Ma"
"Paleoarchaean","3492",NULL,"Ma"
"Paleoarchaean","3493",NULL,"Ma"
"Paleoarchaean","3494",NULL,"Ma"
"Paleoarchaean","3495",NULL,"Ma"
"Paleoarchaean","3496",NULL,"Ma"
"Paleoarchaean","3497",NULL,"Ma"
"Paleoarchaean","3498",NULL,"Ma"
"Paleoarchaean","3499",NULL,"Ma"
"Paleoarchaean","3500",NULL,"Ma"
"Paleoarchaean","3501",NULL,"Ma"
"Paleoarchaean","3502",NULL,"Ma"
"Paleoarchaean","3503",NULL,"Ma"
