"sample_type_id","depth_min","depth_max","depth_scale","elevation","elevation_end","vertical_datum"
1,NULL,NULL,NULL,"-1922.52",NULL,NULL
1,NULL,NULL,NULL,"-388",NULL,NULL
1,NULL,NULL,NULL,"-705.2168",NULL,NULL
1,NULL,NULL,NULL,"-1621",NULL,NULL
2,NULL,NULL,NULL,"48.16","-2165.91",NULL
2,NULL,NULL,NULL,"7.01","755.6",NULL
2,NULL,NULL,NULL,"91.44","1550.21",NULL
1,NULL,NULL,NULL,"-2669.11835097",NULL,NULL
1,NULL,NULL,NULL,"-1204.91694667",NULL,NULL
1,NULL,NULL,NULL,"460",NULL,NULL
2,NULL,NULL,NULL,"113.69","1178.05",NULL
2,NULL,NULL,NULL,"-3657.7",NULL,NULL
2,NULL,NULL,NULL,"175","-13725",NULL
2,NULL,NULL,NULL,"8.23","688.85",NULL
1,NULL,NULL,NULL,"-1698.24",NULL,NULL
2,NULL,NULL,NULL,"128.02","755.9",NULL
2,NULL,NULL,NULL,"-2711",NULL,NULL
1,NULL,NULL,NULL,"-22.7",NULL,NULL
2,NULL,NULL,NULL,"275",NULL,NULL
2,NULL,NULL,NULL,"158.5","661.72",NULL
2,NULL,NULL,NULL,"25.3","3636.26",NULL
2,NULL,NULL,NULL,"34",NULL,NULL
1,NULL,NULL,NULL,"-3047.148797",NULL,NULL
1,NULL,NULL,NULL,"277.4",NULL,"MSL"
2,NULL,NULL,NULL,"84.43","1731.26",NULL
2,NULL,NULL,NULL,"-2143",NULL,NULL
2,NULL,NULL,NULL,"-5036.8",NULL,NULL
2,NULL,NULL,NULL,"363.6","-2013.4","MSL"
1,NULL,NULL,NULL,"-2329.14",NULL,NULL
2,NULL,NULL,NULL,"146","1554.48",NULL
1,NULL,NULL,NULL,"-443.581638",NULL,NULL
