classification_id,material_id,classification_label,label,description,material_role_id
2833,2833,Griphite,Griphite,,
2834,2834,Grischunite,Grischunite,,
2835,2835,Grossite,Grossite,,
2836,2836,Grossular,Grossular,,
2837,2837,Groutite,Groutite,,
2838,2838,Grumantite,Grumantite,,
2839,2839,Grumiplucite,Grumiplucite,,
2840,2840,Grunerite,Grunerite,,
2841,2841,Gruzdevite,Gruzdevite,,
2842,2842,Guanajuatite,Guanajuatite,,
2843,2843,Guanine,Guanine,,
2844,2844,Guarinoite,Guarinoite,,
2845,2845,Gudmundite,Gudmundite,,
2846,2846,Guerinite,Guerinite,,
2847,2847,Guettardite,Guettardite,,
2848,2848,Gugiaite,Gugiaite,,
2849,2849,Guildite,Guildite,,
2850,2850,Guilleminite,Guilleminite,,
2851,2851,Gummite(GeneralTerm),Gummite(GeneralTerm),,
2852,2852,Gunningite,Gunningite,,
2853,2853,Gupeiite,Gupeiite,,
2854,2854,Gustavite,Gustavite,,
2855,2855,Gutsevichite,Gutsevichite,,
2856,2856,Guyanaite,Guyanaite,,
2857,2857,Gwihabaite,Gwihabaite,,
2858,2858,Gypsum,Gypsum,,
2859,2859,Gyrolite,Gyrolite,,
2860,2860,Gysinite-(Nd),Gysinite-(Nd),,
2861,2861,Gorgeyite,Gorgeyite,,
2862,2862,Gotzenite,Gotzenite,,
2863,2863,Haapalaite,Haapalaite,,
2864,2864,Hafnon,Hafnon,,
2865,2865,Hagendorfite,Hagendorfite,,
2866,2866,Haggertyite,Haggertyite,,
2867,2867,Haidingerite,Haidingerite,,
2868,2868,Haigerachite,Haigerachite,,
2869,2869,Hainite,Hainite,,
2870,2870,Haiweeite,Haiweeite,,
2871,2871,Hakite,Hakite,,
2872,2872,Halite,Halite,,
2873,2873,Hallimondite,Hallimondite,,
2874,2874,Halloysite,Halloysite,,
2875,2875,Halotrichite,Halotrichite,,
2876,2876,Halurgite,Halurgite,,
2877,2877,Hambergite,Hambergite,,
2878,2878,Hammarite,Hammarite,,
2879,2879,Hanawaltite,Hanawaltite,,
2880,2880,Hancockite,Hancockite,,
2881,2881,Hanksite,Hanksite,,
2882,2882,Hannayite,Hannayite,,
2883,2883,Hannebachite,Hannebachite,,
2884,2884,Haradaite,Haradaite,,
2885,2885,Hardystonite,Hardystonite,,
2886,2886,Harkerite,Harkerite,,
2887,2887,Harmotome,Harmotome,,
2888,2888,Harrisonite,Harrisonite,,
2889,2889,Harstigite,Harstigite,,
