classification_id,material_id,classification_label,label,description,material_role_id
3286,3286,Khatyrkite,Khatyrkite,,
3287,3287,Khibinskite,Khibinskite,,
3288,3288,Khinite,Khinite,,
3289,3289,Khmaralite,Khmaralite,,
3290,3290,Khomyakovite,Khomyakovite,,
3291,3291,Khristovite-(Ce),Khristovite-(Ce),,
3292,3292,Kiddcreekite,Kiddcreekite,,
3293,3293,Kidwellite,Kidwellite,,
3294,3294,Kieftite,Kieftite,,
3295,3295,Kieserite,Kieserite,,
3296,3296,Kilchoanite,Kilchoanite,,
3297,3297,Killalaite,Killalaite,,
3298,3298,Kimrobinsonite,Kimrobinsonite,,
3299,3299,Kimuraite-(Y),Kimuraite-(Y),,
3300,3300,Kimzeyite,Kimzeyite,,
3301,3301,Kingite,Kingite,,
3302,3302,Kingsmountite,Kingsmountite,,
3303,3303,Kinichilite,Kinichilite,,
3304,3304,Kinoite,Kinoite,,
3305,3305,Kinoshitalite,Kinoshitalite,,
3306,3306,Kintoreite,Kintoreite,,
3307,3307,Kipushite,Kipushite,,
3308,3308,Kirkiite,Kirkiite,,
3309,3309,Kirschsteinite,Kirschsteinite,,
3310,3310,Kitaibelite,Kitaibelite,,
3311,3311,Kitkaite,Kitkaite,,
3312,3312,Kittatinnyite,Kittatinnyite,,
3313,3313,Kivuite,Kivuite,,
3314,3314,Kladnoite,Kladnoite,,
3315,3315,Kladonite,Kladonite,,
3316,3316,Klebelsbergite,Klebelsbergite,,
3317,3317,Kleemanite,Kleemanite,,
3318,3318,Kleinite,Kleinite,,
3319,3319,Klockmannite,Klockmannite,,
3320,3320,Klyuchevskite,Klyuchevskite,,
3321,3321,Knorringite,Knorringite,,
3322,3322,Koashvite,Koashvite,,
3323,3323,Kobeite-(Y),Kobeite-(Y),,
3324,3324,Kobellite,Kobellite,,
3325,3325,Kochkarite,Kochkarite,,
3326,3326,Koechlinite,Koechlinite,,
3327,3327,Koenenite,Koenenite,,
3328,3328,Kogarkoite,Kogarkoite,,
3329,3329,Koktaite,Koktaite,,
3330,3330,Kolarite,Kolarite,,
3331,3331,Kolbeckite,Kolbeckite,,
3332,3332,Kolfanite,Kolfanite,,
3333,3333,Kolicite,Kolicite,,
3334,3334,Kolovratite,Kolovratite,,
3335,3335,Kolwezite,Kolwezite,,
3336,3336,Kolymite,Kolymite,,
3337,3337,Komarovite,Komarovite,,
3338,3338,Kombatite,Kombatite,,
3339,3339,Komkovite,Komkovite,,
3340,3340,Konderite,Konderite,,
3341,3341,Koninckite,Koninckite,,
3342,3342,Konyaite,Konyaite,,
3343,3343,Koragoite,Koragoite,,
3344,3344,Koritnigite,Koritnigite,,
3345,3345,Kornelite,Kornelite,,
3346,3346,Kornerupine,Kornerupine,,
3347,3347,Kornite,Kornite,,
3348,3348,Korobitsynite,Korobitsynite,,
3349,3349,Korshunovskite,Korshunovskite,,
3350,3350,Korzhinskite,Korzhinskite,,
3351,3351,Kosmochlor,Kosmochlor,,
3352,3352,Kosnarite,Kosnarite,,
3353,3353,Kostovite,Kostovite,,
3354,3354,Kostylevite,Kostylevite,,
3355,3355,Kotoite,Kotoite,,
3356,3356,Kotulskite,Kotulskite,,
3357,3357,Koutekite,Koutekite,,
3358,3358,Kovdorskite,Kovdorskite,,
3359,3359,Kozoite-(Nd),Kozoite-(Nd),,
3360,3360,Kozulite,Kozulite,,
3361,3361,Kraisslite,Kraisslite,,
3362,3362,Krasnovite,Krasnovite,,
3363,3363,Kratochvilite,Kratochvilite,,
3364,3364,Krausite,Krausite,,
3365,3365,Krauskopfite,Krauskopfite,,
3366,3366,Krautite,Krautite,,
3367,3367,Kremersite,Kremersite,,
3368,3368,Krennerite,Krennerite,,
3369,3369,Krettnichite,Krettnichite,,
3370,3370,Kribergite,Kribergite,,
3371,3371,Krinovite,Krinovite,,
3372,3372,Kristiansenite,Kristiansenite,,
3373,3373,Krupkaite,Krupkaite,,
3374,3374,Krutaite,Krutaite,,
3375,3375,Krutovite,Krutovite,,
3376,3376,Kryzhanovskite,Kryzhanovskite,,
3377,3377,Krohnkite,Krohnkite,,
3378,3378,Ktenasite,Ktenasite,,
3379,3379,Kukharenkoite-(Ce),Kukharenkoite-(Ce),,
3380,3380,Kukisvumite,Kukisvumite,,
3381,3381,Kuksite,Kuksite,,
3382,3382,Kulanite,Kulanite,,
3383,3383,Kuliokite-(Y),Kuliokite-(Y),,
3384,3384,Kulkeite,Kulkeite,,
3385,3385,Kullerudite,Kullerudite,,
3386,3386,Kupletskite,Kupletskite,,
3387,3387,Kuramite,Kuramite,,
3388,3388,Kuranakhite,Kuranakhite,,
3389,3389,Kurchatovite,Kurchatovite,,
3390,3390,Kurnakovite,Kurnakovite,,
3391,3391,Kurumsakite,Kurumsakite,,
3392,3392,Kusachiite,Kusachiite,,
3393,3393,Kutinaite,Kutinaite,,
3394,3394,Kutnahorite,Kutnahorite,,
3395,3395,Kutnohorite,Kutnohorite,,
3396,3396,Kuzelite,Kuzelite,,
3397,3397,Kuzmenkoite,Kuzmenkoite,,
3398,3398,Kuzminite,Kuzminite,,
3399,3399,Kuznetsovite,Kuznetsovite,,
3400,3400,Kvanefjeldite,Kvanefjeldite,,
3401,3401,Kyanite,Kyanite,,
3402,3402,Kyzylkumite,Kyzylkumite,,
3403,3403,Kottigite,Kottigite,,
3404,3404,Labradorite,Labradorite,,
3405,3405,Labuntsovite,Labuntsovite,,
3406,3406,Lacroixite,Lacroixite,,
3407,3407,Laffittite,Laffittite,,
3408,3408,Laforetite,Laforetite,,
3409,3409,Laihunite,Laihunite,,
3410,3410,Laitakarite,Laitakarite,,
3411,3411,Lammerite,Lammerite,,
3412,3412,Lamprophyllite,Lamprophyllite,,
3413,3413,Lanarkite,Lanarkite,,
3414,3414,Landauite,Landauite,,
3415,3415,Landesite,Landesite,,
3416,3416,Langbanite,Langbanite,,
3417,3417,Langbeinite,Langbeinite,,
3418,3418,Langisite,Langisite,,
3419,3419,Langite,Langite,,
3420,3420,Lannonite,Lannonite,,
3421,3421,Lansfordite,Lansfordite,,
3422,3422,Lanthanite,Lanthanite,,
3423,3423,Lanthanite-(Ce),Lanthanite-(Ce),,
3424,3424,Lanthanite-(La),Lanthanite-(La),,
3425,3425,Lanthanite-(Nd),Lanthanite-(Nd),,
3426,3426,Laphamite,Laphamite,,
3427,3427,Lapieite,Lapieite,,
3428,3428,Laplandite-(Ce),Laplandite-(Ce),,
3429,3429,Larderellite,Larderellite,,
3430,3430,Larnite,Larnite,,
3431,3431,Larosite,Larosite,,
3432,3432,Larsenite,Larsenite,,
3433,3433,Latiumite,Latiumite,,
3434,3434,Latrappite,Latrappite,,
3435,3435,Laueite,Laueite,,
3436,3436,Laumontite,Laumontite,,
3437,3437,Launayite,Launayite,,
3438,3438,Laurelite,Laurelite,,
3439,3439,Laurionite,Laurionite,,
3440,3440,Laurite,Laurite,,
3441,3441,Lausenite,Lausenite,,
3442,3442,Lautarite,Lautarite,,
3443,3443,Lautenthalite,Lautenthalite,,
3444,3444,Lautite,Lautite,,
3445,3445,Lavendulan,Lavendulan,,
3446,3446,Lavenite,Lavenite,,
3447,3447,Lavrentievite,Lavrentievite,,
3448,3448,Lawrencite,Lawrencite,,
3449,3449,Lawsonbauerite,Lawsonbauerite,,
3450,3450,Lawsonite,Lawsonite,,
3451,3451,Lazarenkoite,Lazarenkoite,,
3452,3452,Lazulite,Lazulite,,
3453,3453,Lazurite,Lazurite,,
3454,3454,Lead,Lead,,
3455,3455,Leadamalgam,Leadamalgam,,
3456,3456,Leadhillite,Leadhillite,,
3457,3457,Leakeite,Leakeite,,
3458,3458,Leconite,Leconite,,
3459,3459,Lecontite,Lecontite,,
3460,3460,Legrandite,Legrandite,,
3461,3461,Lehnerite,Lehnerite,,
3462,3462,Leifite,Leifite,,
3463,3463,Leightonite,Leightonite,,
3464,3464,Leisingite,Leisingite,,
3465,3465,Leiteite,Leiteite,,
3466,3466,Lemanskiite,Lemanskiite,,
3467,3467,Lemmleinite,Lemmleinite,,
3468,3468,Lemoynite,Lemoynite,,
3469,3469,Lenaite,Lenaite,,
3470,3470,Lengenbachite,Lengenbachite,,
3471,3471,Leningradite,Leningradite,,
3472,3472,Lennilenapeite,Lennilenapeite,,
3473,3473,Lenoblite,Lenoblite,,
3474,3474,Leonite,Leonite,,
3475,3475,Lepersonnite-(Gd),Lepersonnite-(Gd),,
3476,3476,Lepidocrocite,Lepidocrocite,,
3477,3477,Lepidolite,Lepidolite,,
3478,3478,Lepidolite-2m,Lepidolite-2m,,
3479,3479,Lermontovite,Lermontovite,,
3480,3480,Lesukite,Lesukite,,
3481,3481,Letovicite,Letovicite,,
3482,3482,Leucite,Leucite,,
3483,3483,Leucophanite,Leucophanite,,
3484,3484,Leucophoenicite,Leucophoenicite,,
3485,3485,Leucophosphite,Leucophosphite,,
3486,3486,Leucosphenite,Leucosphenite,,
3487,3487,Levinsonite-(Y),Levinsonite-(Y),,
3488,3488,Levyclaudite,Levyclaudite,,
3489,3489,Levyne,Levyne,,
3490,3490,Levyne-Ca,Levyne-Ca,,
3491,3491,Levyne-Na,Levyne-Na,,
3492,3492,Lewisite,Lewisite,,
3493,3493,Liandratite,Liandratite,,
3494,3494,Liberite,Liberite,,
3495,3495,Libethenite,Libethenite,,
3496,3496,Liddicoatite,Liddicoatite,,
3497,3497,Liebauite,Liebauite,,
3498,3498,Liebenbergite,Liebenbergite,,
3499,3499,Liebigite,Liebigite,,
3500,3500,Likasite,Likasite,,
3501,3501,Lillianite,Lillianite,,
3502,3502,Lime,Lime,,
3503,3503,Limonite,Limonite,,
3504,3504,Limonite(GeneralTerm),Limonite(GeneralTerm),,
3505,3505,Linarite,Linarite,,
3506,3506,Lindackerite,Lindackerite,,
3507,3507,Lindgrenite,Lindgrenite,,
3508,3508,Lindqvistite,Lindqvistite,,
3509,3509,Lindsleyite,Lindsleyite,,
3510,3510,Lindstromite,Lindstromite,,
3511,3511,Linnaeite,Linnaeite,,
3512,3512,Lintisite,Lintisite,,
3513,3513,Liottite,Liottite,,
3514,3514,Lipscombite,Lipscombite,,
3515,3515,Liroconite,Liroconite,,
3516,3516,Lisetite,Lisetite,,
3517,3517,Lishizhenite,Lishizhenite,,
3518,3518,Lisitsynite,Lisitsynite,,
3519,3519,Liskeardite,Liskeardite,,
3520,3520,Bismite,Bismite,,
3521,3521,Bismoclite,Bismoclite,,
3522,3522,Bismuth,Bismuth,,
3523,3523,Bismuthinite,Bismuthinite,,
3524,3524,Bismutite,Bismutite,,
3525,3525,Bismutocolumbite,Bismutocolumbite,,
3526,3526,Bismutoferrite,Bismutoferrite,,
3527,3527,Bismutohauchecornite,Bismutohauchecornite,,
3528,3528,Bismutomicrolite,Bismutomicrolite,,
3529,3529,Bismutopyrochlore,Bismutopyrochlore,,
3530,3530,Bismutostibiconite,Bismutostibiconite,,
3531,3531,Bismutotantalite,Bismutotantalite,,
3532,3532,Bityite,Bityite,,
3533,3533,Bixbyite,Bixbyite,,
3534,3534,Bjarebyite,Bjarebyite,,
3535,3535,Blakeite,Blakeite,,
3536,3536,Blatonite,Blatonite,,
3537,3537,Blatterite,Blatterite,,
3538,3538,Bleasdaleite,Bleasdaleite,,
3539,3539,Blixite,Blixite,,
3540,3540,Blossite,Blossite,,
3541,3541,Blodite,Blodite,,
3542,3542,Bobfergusonite,Bobfergusonite,,
3543,3543,Bobierrite,Bobierrite,,
3544,3544,Bogdanovite,Bogdanovite,,
3545,3545,Boggildite,Boggildite,,
3546,3546,Boggsite,Boggsite,,
3547,3547,Bogvadite,Bogvadite,,
3548,3548,Bohdanowiczite,Bohdanowiczite,,
3549,3549,Bokite,Bokite,,
3550,3550,Boleite,Boleite,,
3551,3551,Bolivarite,Bolivarite,,
3552,3552,Boltwoodite,Boltwoodite,,
3553,3553,Bonaccordite,Bonaccordite,,
3554,3554,Bonattite,Bonattite,,
3555,3555,Bonshtedtite,Bonshtedtite,,
3556,3556,Boothite,Boothite,,
3557,3557,Boracite,Boracite,,
3558,3558,Boralsilite,Boralsilite,,
3559,3559,Borax,Borax,,
3560,3560,Borcarite,Borcarite,,
3561,3561,Borishanskiite,Borishanskiite,,
3562,3562,Bornemanite,Bornemanite,,
3563,3563,Bornhardtite,Bornhardtite,,
3564,3564,Bornite,Bornite,,
3565,3565,Borodaevite,Borodaevite,,
3566,3566,Boromuscovite,Boromuscovite,,
3567,3567,Borovskite,Borovskite,,
3568,3568,Bostwickite,Bostwickite,,
3569,3569,Botallackite,Botallackite,,
3570,3570,Botryogen,Botryogen,,
3571,3571,Bottinoite,Bottinoite,,
3572,3572,Boulangerite,Boulangerite,,
3573,3573,Bournonite,Bournonite,,
3574,3574,Boussingaultite,Boussingaultite,,
3575,3575,Boussingualtite,Boussingualtite,,
3576,3576,Bowieite,Bowieite,,
3577,3577,Boyleite,Boyleite,,
3578,3578,Brabantite,Brabantite,,
3579,3579,Bracewellite,Bracewellite,,
3580,3580,Brackebuschite,Brackebuschite,,
3581,3581,Bradleyite,Bradleyite,,
3582,3582,Braggite,Braggite,,
3583,3583,Braitschite-(Ce),Braitschite-(Ce),,
3584,3584,Brammallite,Brammallite,,
3585,3585,Brandholzite,Brandholzite,,
3586,3586,Brandtite,Brandtite,,
3587,3587,Brannerite,Brannerite,,
3588,3588,Brannockite,Brannockite,,
3589,3589,Brassite,Brassite,,
3590,3590,Braunite,Braunite,,
3591,3591,Bravoite,Bravoite,,
3592,3592,Brazilianite,Brazilianite,,
3593,3593,Bredigite,Bredigite,,
3594,3594,Breithauptite,Breithauptite,,
3595,3595,Brenkite,Brenkite,,
3596,3596,Brewsterite,Brewsterite,,
3597,3597,Brewsterite-Ba,Brewsterite-Ba,,
3598,3598,Brewsterite-Sr,Brewsterite-Sr,,
3599,3599,Brezinaite,Brezinaite,,
3600,3600,Brianite,Brianite,,
3601,3601,Brianroulstonite,Brianroulstonite,,
3602,3602,Brianyoungite,Brianyoungite,,
3603,3603,Briartite,Briartite,,
3604,3604,Brindleyite,Brindleyite,,
3605,3605,Britholite,Britholite,,
3606,3606,Britholite-(Ce),Britholite-(Ce),,
3607,3607,Britholite-(Y),Britholite-(Y),,
3608,3608,Brizziite,Brizziite,,
3609,3609,Brochantite,Brochantite,,
3610,3610,Brockite,Brockite,,
3611,3611,Brokenhillite,Brokenhillite,,
3612,3612,Bromargyrite,Bromargyrite,,
3613,3613,Bromellite,Bromellite,,
3614,3614,Brookite,Brookite,,
3615,3615,Brownmillerite,Brownmillerite,,
3616,3616,Brucite,Brucite,,
3617,3617,Brugnatellite,Brugnatellite,,
3618,3618,Brunogeierite,Brunogeierite,,
3619,3619,Brushite,Brushite,,
3620,3620,Bruggenite,Bruggenite,,
3621,3621,Buchwaldite,Buchwaldite,,
3622,3622,Buckhornite,Buckhornite,,
3623,3623,Buddingtonite,Buddingtonite,,
3624,3624,Buergerite,Buergerite,,
3625,3625,Buetschliite,Buetschliite,,
3626,3626,Bukovite,Bukovite,,
3627,3627,Bukovskyite,Bukovskyite,,
3628,3628,Bulachite,Bulachite,,
3629,3629,Bultfonteinite,Bultfonteinite,,
3630,3630,Bunsenite,Bunsenite,,
3631,3631,Burangaite,Burangaite,,
3632,3632,Burbankite,Burbankite,,
3633,3633,Burckhardtite,Burckhardtite,,
3634,3634,Burkeite,Burkeite,,
3635,3635,Burpalite,Burpalite,,
3636,3636,Bursaite,Bursaite,,
3637,3637,Burtite,Burtite,,
3638,3638,Bustamite,Bustamite,,
3639,3639,Butlerite,Butlerite,,
3640,3640,Buttgenbachite,Buttgenbachite,,
3641,3641,Byelorussite-(Ce),Byelorussite-(Ce),,
3642,3642,Byelorussite-[ce],Byelorussite-[ce],,
3643,3643,Bystrite,Bystrite,,
3644,3644,Bystromite,Bystromite,,
3645,3645,Bytownite,Bytownite,,
3646,3646,Bohmite,Bohmite,,
3647,3647,Butschliite,Butschliite,,
3648,3648,Cabalzarite,Cabalzarite,,
3649,3649,Cabriite,Cabriite,,
3650,3650,Cacoxenite,Cacoxenite,,
3651,3651,Cadmium,Cadmium,,
3652,3652,Cadmoselite,Cadmoselite,,
3653,3653,Cadwaladerite,Cadwaladerite,,
3654,3654,Cafarsite,Cafarsite,,
3655,3655,Cafetite,Cafetite,,
3656,3656,Cahnite,Cahnite,,
3657,3657,Calaverite,Calaverite,,
3658,3658,Calciborite,Calciborite,,
3659,3659,Calcio-ancylite,Calcio-ancylite,,
3660,3660,Calcio-ancylite-(Ce),Calcio-ancylite-(Ce),,
3661,3661,Calcio-ancylite-(Nd),Calcio-ancylite-(Nd),,
3662,3662,Calcioaravaipaite,Calcioaravaipaite,,
3663,3663,Calciobetafite,Calciobetafite,,
3664,3664,Calcioburbankite,Calcioburbankite,,
3665,3665,Calciocopiapite,Calciocopiapite,,
3666,3666,Calcioferrite,Calcioferrite,,
3667,3667,Calciohilairite,Calciohilairite,,
3668,3668,Calciosamarskite,Calciosamarskite,,
3669,3669,Calciotantite,Calciotantite,,
3670,3670,Calciouranoite,Calciouranoite,,
3671,3671,Calciovolborthite,Calciovolborthite,,
3672,3672,Calcite,Calcite,,
3673,3673,CalciumCatapleiite,CalciumCatapleiite,,
3674,3674,Calcjarlite,Calcjarlite,,
3675,3675,Calclacite,Calclacite,,
3676,3676,Calcurmolite,Calcurmolite,,
3677,3677,Calderite,Calderite,,
3678,3678,Caledonite,Caledonite,,
3679,3679,Calkinsite-(Ce),Calkinsite-(Ce),,
3680,3680,Callaghanite,Callaghanite,,
3681,3681,Calomel,Calomel,,
3682,3682,Calumetite,Calumetite,,
3683,3683,Calzirtite,Calzirtite,,
3684,3684,Camerolaite,Camerolaite,,
3685,3685,Cameronite,Cameronite,,
3686,3686,Camgasite,Camgasite,,
3687,3687,Caminite,Caminite,,
3688,3688,Campigliaite,Campigliaite,,
3689,3689,Canaphite,Canaphite,,
3690,3690,Canasite,Canasite,,
3691,3691,Canavesite,Canavesite,,
3692,3692,Cancrinite,Cancrinite,,
3693,3693,Cancrisilite,Cancrisilite,,
3694,3694,Canfieldite,Canfieldite,,
3695,3695,Canizzarite,Canizzarite,,
3696,3696,Cannizzarite,Cannizzarite,,
3697,3697,Cannonite,Cannonite,,
3698,3698,Caoxite,Caoxite,,
3699,3699,Capgaronnite,Capgaronnite,,
3700,3700,Capgarronite,Capgarronite,,
3701,3701,Cappelenite-(Y),Cappelenite-(Y),,
3702,3702,Caracolite,Caracolite,,
3703,3703,Carboborite,Carboborite,,
3704,3704,Carbocernaite,Carbocernaite,,
3705,3705,Carboirite,Carboirite,,
3706,3706,Carbonate-cyanotrichite,Carbonate-cyanotrichite,,
3707,3707,Carbonate-fluorapatite,Carbonate-fluorapatite,,
3708,3708,Carbonate-hydroxylapatite,Carbonate-hydroxylapatite,,
3709,3709,Caresite-3t,Caresite-3t,,
3710,3710,Carletonite,Carletonite,,
3711,3711,Carlfriesite,Carlfriesite,,
3712,3712,Carlhintzeite,Carlhintzeite,,
3713,3713,Carlinite,Carlinite,,
3714,3714,Carlosruizite,Carlosruizite,,
3715,3715,Carlosturanite,Carlosturanite,,
3716,3716,Carlsbergite,Carlsbergite,,
3717,3717,Carmichaelite,Carmichaelite,,
3718,3718,Carminite,Carminite,,
3719,3719,Carnallite,Carnallite,,
3720,3720,Carnotite,Carnotite,,
3721,3721,Carobbiite,Carobbiite,,
3722,3722,Carpholite,Carpholite,,
3723,3723,Carraraite,Carraraite,,
3724,3724,Carrboydite,Carrboydite,,
3725,3725,Carrollite,Carrollite,,
3726,3726,Caryinite,Caryinite,,
3727,3727,Caryopilite,Caryopilite,,
3728,3728,Cascandite,Cascandite,,
3729,3729,Cassedanneite,Cassedanneite,,
3730,3730,Cassidyite,Cassidyite,,
3731,3731,Cassiterite,Cassiterite,,
3732,3732,Caswellsilverite,Caswellsilverite,,
3733,3733,Catapleiite,Catapleiite,,
3734,3734,Cattierite,Cattierite,,
3735,3735,Cavansite,Cavansite,,
3736,3736,Caysichite-(Y),Caysichite-(Y),,
3737,3737,Cebaite-(Ce),Cebaite-(Ce),,
3738,3738,Cebaite-(Nd),Cebaite-(Nd),,
3739,3739,Cebollite,Cebollite,,
3740,3740,Cechite,Cechite,,
3741,3741,Cejkaite,Cejkaite,,
3742,3742,Celadonite,Celadonite,,
3743,3743,Celestite,Celestite,,
3744,3744,Celsian,Celsian,,
3745,3745,Cerianite-(Ce),Cerianite-(Ce),,
3746,3746,Ceriopyrochlore-(Ce),Ceriopyrochlore-(Ce),,
3747,3747,Cerite-(Ce),Cerite-(Ce),,
3748,3748,Cernyite,Cernyite,,
3749,3749,Cerotungstite-(Ce),Cerotungstite-(Ce),,
3750,3750,Ceruleite,Ceruleite,,
3751,3751,Cerussite,Cerussite,,
3752,3752,Cervandonite-(Ce),Cervandonite-(Ce),,
3753,3753,Cervantite,Cervantite,,
3754,3754,Cervelleite,Cervelleite,,
3755,3755,Cesanite,Cesanite,,
3756,3756,Cesarolite,Cesarolite,,
3757,3757,Cesbronite,Cesbronite,,
3758,3758,CesiumKupletskite,CesiumKupletskite,,
3759,3759,Cesium-kupletskite,Cesium-kupletskite,,
3760,3760,Cesplumtantite,Cesplumtantite,,
3761,3761,Cesstibtantite,Cesstibtantite,,
3762,3762,Cetineite,Cetineite,,
3763,3763,Chabazite,Chabazite,,
3764,3764,Chabazite-Ca,Chabazite-Ca,,
3765,3765,Chabazite-K,Chabazite-K,,
3766,3766,Chabazite-Na,Chabazite-Na,,
3767,3767,Chabazite-Sr,Chabazite-Sr,,
3768,3768,Chabourneite,Chabourneite,,
3769,3769,Chaidamuite,Chaidamuite,,
3770,3770,Chalcanthite,Chalcanthite,,
3771,3771,Chalcoalumite,Chalcoalumite,,
3772,3772,Chalcocite,Chalcocite,,
3773,3773,Chalcocyanite,Chalcocyanite,,
3774,3774,Chalcomenite,Chalcomenite,,
3775,3775,Chalconatronite,Chalconatronite,,
3776,3776,Chalcophanite,Chalcophanite,,
3777,3777,Chalcophyllite,Chalcophyllite,,
3778,3778,Chalcopyrite,Chalcopyrite,,
3779,3779,Chalcosiderite,Chalcosiderite,,
3780,3780,Chalcostibite,Chalcostibite,,
3781,3781,Chalcothallite,Chalcothallite,,
3782,3782,Chambersite,Chambersite,,
3783,3783,Chameanite,Chameanite,,
3784,3784,Chamosite,Chamosite,,
3785,3785,Changbaiite,Changbaiite,,
3786,3786,Changchengite,Changchengite,,
3787,3787,Changoite,Changoite,,
3788,3788,Chantalite,Chantalite,,
3789,3789,Chaoite,Chaoite,,
3790,3790,Chapmanite,Chapmanite,,
3791,3791,Charlesite,Charlesite,,
3792,3792,Charmarite-2h,Charmarite-2h,,
3793,3793,Charmarite-3t,Charmarite-3t,,
3794,3794,Charoite,Charoite,,
3795,3795,Chatkalite,Chatkalite,,
3796,3796,Chayesite,Chayesite,,
3797,3797,Chekhovichite,Chekhovichite,,
3798,3798,Chelkarite,Chelkarite,,
3799,3799,Chenevixite,Chenevixite,,
3800,3800,Chengdeite,Chengdeite,,
3801,3801,Cheralite-(Ce),Cheralite-(Ce),,
3802,3802,Cheremnykhite,Cheremnykhite,,
3803,3803,Cherepanovite,Cherepanovite,,
3804,3804,Chernikovite,Chernikovite,,
3805,3805,Chernovite-(Y),Chernovite-(Y),,
3806,3806,Chernykhite,Chernykhite,,
3807,3807,Chervetite,Chervetite,,
3808,3808,Chessexite,Chessexite,,
3809,3809,Chesterite,Chesterite,,
3810,3810,Chestermanite,Chestermanite,,
3811,3811,Chevkinite,Chevkinite,,
3812,3812,Chevkinite-(Ce),Chevkinite-(Ce),,
3813,3813,Chiavennite,Chiavennite,,
3814,3814,Childrenite,Childrenite,,
3815,3815,Chiluite,Chiluite,,
3816,3816,Chilunite,Chilunite,,
3817,3817,Chiolite,Chiolite,,
3818,3818,Chkalovite,Chkalovite,,
3819,3819,Chladniite,Chladniite,,
3820,3820,Chloraluminite,Chloraluminite,,
3821,3821,Chlorapatite,Chlorapatite,,
3822,3822,Chlorargyrite,Chlorargyrite,,
3823,3823,Chlorartinite,Chlorartinite,,
3824,3824,Chlorellestadite,Chlorellestadite,,
3825,3825,ChloriteGroup,ChloriteGroup,,
3826,3826,Chloritoid,Chloritoid,,
3827,3827,Chlormagaluminite,Chlormagaluminite,,
3828,3828,Chlormanganokalite,Chlormanganokalite,,
3829,3829,Chlorocalcite,Chlorocalcite,,
3830,3830,Chloromenite,Chloromenite,,
3831,3831,Chlorophoenicite,Chlorophoenicite,,
3832,3832,Chlorothionite,Chlorothionite,,
3833,3833,Chloroxiphite,Chloroxiphite,,
3834,3834,Choloalite,Choloalite,,
3835,3835,Chondrodite,Chondrodite,,
3836,3836,Chrisstanleyite,Chrisstanleyite,,
3837,3837,Christelite,Christelite,,
3838,3838,Christite,Christite,,
3839,3839,Chromatite,Chromatite,,
3840,3840,Chrombismite,Chrombismite,,
3841,3841,Chromceladonite,Chromceladonite,,
3842,3842,Chromdravite,Chromdravite,,
3843,3843,Chromferide,Chromferide,,
3844,3844,Chromite,Chromite,,
3845,3845,Chromium,Chromium,,
3846,3846,Chromphyllite,Chromphyllite,,
3847,3847,Chrysoberyl,Chrysoberyl,,
3848,3848,Chrysocolla,Chrysocolla,,
3849,3849,Chrysotile,Chrysotile,,
3850,3850,Chudobaite,Chudobaite,,
3851,3851,Chukhrovite,Chukhrovite,,
3852,3852,Chukhrovite-(Ce),Chukhrovite-(Ce),,
3853,3853,Chukhrovite-(Y),Chukhrovite-(Y),,
3854,3854,Churchite-(Y),Churchite-(Y),,
3855,3855,Chursinite,Chursinite,,
3856,3856,Chvaleticeite,Chvaleticeite,,
3857,3857,Chvilevaite,Chvilevaite,,
3858,3858,Cianciulliite,Cianciulliite,,
3859,3859,Ciguenza,Ciguenza,,
3860,3860,Cinnabar,Cinnabar,,
3861,3861,Clairite,Clairite,,
3862,3862,Claraite,Claraite,,
3863,3863,Claringbullite,Claringbullite,,
3864,3864,Clarkeite,Clarkeite,,
3865,3865,Claudetite,Claudetite,,
3866,3866,Clausthalite,Clausthalite,,
3867,3867,Clearcreekite,Clearcreekite,,
3868,3868,Clerite,Clerite,,
3869,3869,Cliffordite,Cliffordite,,
3870,3870,Cliftonite,Cliftonite,,
3871,3871,Clinoatacamite,Clinoatacamite,,
3872,3872,Clinobehoite,Clinobehoite,,
3873,3873,Clinobisvanite,Clinobisvanite,,
3874,3874,Clinocervantite,Clinocervantite,,
3875,3875,Clinochalcomenite,Clinochalcomenite,,
3876,3876,Clinochlore,Clinochlore,,
3877,3877,Clinochrysotile,Clinochrysotile,,
3878,3878,Clinoclase,Clinoclase,,
3879,3879,Clinoenstatite,Clinoenstatite,,
3880,3880,Clinoferroholmquistite,Clinoferroholmquistite,,
3881,3881,Clinoferrosilite,Clinoferrosilite,,
3882,3882,Clinohedrite,Clinohedrite,,
3883,3883,Clinoholmquistite,Clinoholmquistite,,
3884,3884,Clinohumite,Clinohumite,,
3885,3885,Clinojimthompsonite,Clinojimthompsonite,,
3886,3886,Clinokurchatovite,Clinokurchatovite,,
3887,3887,Clinomimetite,Clinomimetite,,
3888,3888,Clinophosinaite,Clinophosinaite,,
3889,3889,Clinoptilolite,Clinoptilolite,,
3890,3890,Clinoptilolite-Ca,Clinoptilolite-Ca,,
3891,3891,Clinoptilolite-K,Clinoptilolite-K,,
3892,3892,Clinoptilolite-Na,Clinoptilolite-Na,,
3893,3893,Clinosafflorite,Clinosafflorite,,
3894,3894,Clinotobermorite,Clinotobermorite,,
3895,3895,Clinotyrolite,Clinotyrolite,,
3896,3896,Clinoungemachite,Clinoungemachite,,
3897,3897,Clinozoisite,Clinozoisite,,
3898,3898,Clintonite,Clintonite,,
3899,3899,Coalingite,Coalingite,,
3900,3900,CobaltPentlandite,CobaltPentlandite,,
