"method"
" Coring>JumboPistonCorer"
" Shop bought - Northern Geological Supplies Ltd"
"	Coring>HandHeldCorer"
"	Cut from American Museum of Natural History Mineral Collection # 100242"
">2 mm size fraction"
">38 um size fraction"
">63 um size fraction"
"0.22 µm, PES"
"0.22μm"
"0.45 µm, PES"
"0.45μm"
"0.8/0.2 micron cartridge filter (AcroPak)"
"0.8/0.2 micron cartridge filter (AcroPak), no preservative"
"2-inch diameter hand corer"
"2mm sieved soil sample, quartered, ground and homogenized in an agate mill."
"4 inch hand auger"
"Agassiz trawl"
"air-dried soil sample sieved in 2mm and 250 µm mesh by mechanical agitation."
"Alvin"
"Alvin Grab"
"ALVIN grab"
"Aquatic Instruments Universal Corer"
"Auger"
"augered soil core"
"Beam Trawl"
"Big Bertha"
"Blake Trawl"
"Blake Trawl/Menzie Trawl"
"Blake Trawl/Menzies Trawl"
"Blasting"
"Borehole"
"borosilicate glass bottle, 0.8/0.2 micron cartridge filter (AcroPak), HgCl2 preservative"
"Box corer"
"Bulk Sample"
"CA-IDTIMS"
"Camera Grab"
"Camera Grab/Blake Trawl"
"Camera Sled"
"Camera SledCamera tow"
"Camera tow"
"Camera>Yoyo"
"Campbell Grab"
"Ceramic Cup"
"CeramicCup"
"Chain-saw"
"Chain saw"
"ChainBagDredge, Sediment Trap"
"Chainsaw"
"channel across strata or layer"
"channel through entire stratum or layer"
"channel through selected sub-interval of stratum or layer"
"chip sample"
"Collected from outcrop (hammer)"
"Collected from river bed"
"Collected from scree below outcrop"
"Collected from trench"
"Collected in situ 2.5 months after eruption"
"Collected in situ during explosive eruption"
"Collected predawn in field and dried at 70 C before shipping to ORNL"
"Collected with clean scupula"
"Collecting fresh outcrops by hammering and chiseling away weathered parts "
"Collection method"
"Continental Drilling"
"core"
"Core"
"core catcher"
"Core collected during well installation"
"Core section"
"core, gravity"
"Core>Syringe"
"Core>Wax"
"Corer - camera mounted"
"Corer - submersible mounted"
"Corer > Syringe"
"Corer>auger corer"
"Corer>slide hammer corer"
"Corer>VibratingCorer"
"CorerCoring>DrillCorer"
"coring"
"Coring"
"Coring - Jumbo Piston Core"
"Coring - Jumbo Piston Corer"
"Coring - Jumbo Trigger Core"
"Coring - Jumbo Trigger Corer"
"Coring - Kasten Core"
"Coring - Kasten Corer"
"Coring - Mulit Core"
"Coring - Multi Core"
"Coring - Phleger"
"Coring - Phleger Core"
"Coring - Phleger Core "
"Coring - Phleger Corec"
"Coring - Piston Core"
"Coring - Piston Corer"
"Coring - Push Core"
"Coring - Trigger Core"
"Coring - Trigger Corer"
"Coring > Push Corer"
"Coring > Syringe"
"Coring>"
"Coring> HandHeldCorer"
"Coring> Jumbo Piston Core"
"Coring> Jumbo Piston Corer"
"Coring> Jumbo Trigger Core"
"Coring> Jumbo Trigger Corer"
"Coring> Mulit Core"
"Coring> Multi Core"
"Coring> Phleger Core"
"Coring> Piston Core"
"Coring> Piston Corer"
"Coring> Push Core"
"Coring> Trigger Core"
"Coring> TriggerCorer"
"Coring>BoxCore"
"Coring>BoxCorer"
"Coring>BucketAuger"
"Coring>CameraMounted"
"Coring>CameraMountedCorer"
