s	label	match
gcmin:chloroferrokinoshitalite	Chloroferrokinoshitalite	<https://www.mindat.org/1:1:53312:4>
gcmin:chloromagnesite	Chloromagnesite	<https://www.mindat.org/1:1:1022:7>
gcmin:chloromenite	Chloromenite	<https://www.mindat.org/1:1:6869:3>
gcmin:chlorophoenicite	Chlorophoenicite	<https://www.mindat.org/1:1:946:9>
<https://w3id.org/geochem/1.0/mingroup/53332>	Chlorophoenicite Group	<https://www.mindat.org/1:1:53332:8>
gcmin:chlorothionite	Chlorothionite	<https://www.mindat.org/1:1:982:1>
gcmin:chloroxiphite	Chloroxiphite	<https://www.mindat.org/1:1:953:9>
gcmin:choloalite	Choloalite	<https://www.mindat.org/1:1:1026:5>
gcmin:chondrodite	Chondrodite	<https://www.mindat.org/1:1:1027:2>
gcmin:chongite	Chongite	<https://www.mindat.org/1:1:46711:3>
gcmin:chopinite	Chopinite	<https://www.mindat.org/1:1:29096:4>
gcmin:chovanite	Chovanite	<https://www.mindat.org/1:1:39970:6>
gcmin:chrisstanleyite	Chrisstanleyite	<https://www.mindat.org/1:1:1028:9>
gcmin:christelite	Christelite	<https://www.mindat.org/1:1:6870:9>
gcmin:christite	Christite	<https://www.mindat.org/1:1:1029:6>
gcmin:christofschaferite-ce	Christofschäferite-(Ce)	<https://www.mindat.org/1:1:42733:7>
gcmin:chromatite	Chromatite	<https://www.mindat.org/1:1:1030:2>
gcmin:chrombismite	Chrombismite	<https://www.mindat.org/1:1:6871:6>
gcmin:chromceladonite	Chromceladonite	<https://www.mindat.org/1:1:7091:7>
gcmin:chromferide	Chromferide	<https://www.mindat.org/1:1:1035:7>
gcmin:chromio-pargasite	Chromio-pargasite	<https://www.mindat.org/1:1:41970:9>
gcmin:chromite	Chromite	<https://www.mindat.org/1:1:1036:4>
gcmin:chromium	Chromium	<https://www.mindat.org/1:1:1037:1>
gcmin:chromium-dravite	Chromium-dravite	<https://www.mindat.org/1:1:1031:9>
gcmin:chromo-alumino-povondraite	Chromo-alumino-povondraite	<https://www.mindat.org/1:1:39891:0>
gcmin:chromphyllite	Chromphyllite	<https://www.mindat.org/1:1:6872:3>
gcmin:chromschieffelinite	Chromschieffelinite	<https://www.mindat.org/1:1:41959:6>
gcmin:chrysoberyl	Chrysoberyl	<https://www.mindat.org/1:1:1039:5>
gcmin:chrysocolla	Chrysocolla	<https://www.mindat.org/1:1:1040:1>
gcmin:chrysothallite	Chrysothallite	<https://www.mindat.org/1:1:43874:0>
gcmin:chrysotile	Chrysotile	<https://www.mindat.org/1:1:975:1>
gcmin:chubarovite	Chubarovite	<https://www.mindat.org/1:1:46141:0>
gcmin:chudobaite	Chudobaite	<https://www.mindat.org/1:1:1043:2>
gcmin:chukhrovite-ca	Chukhrovite-(Ca)	<https://www.mindat.org/1:1:41907:3>
gcmin:chukhrovite-ce	Chukhrovite-(Ce)	<https://www.mindat.org/1:1:1044:9>
gcmin:chukhrovite-y	Chukhrovite-(Y)	<https://www.mindat.org/1:1:1045:6>
gcmin:churchite-y	Churchite-(Y)	<https://www.mindat.org/1:1:1047:0>
gcmin:chursinite	Chursinite	<https://www.mindat.org/1:1:1048:7>
gcmin:chvaleticeite	Chvaleticeite	<https://www.mindat.org/1:1:1049:4>
gcmin:chvilevaite	Chvilevaite	<https://www.mindat.org/1:1:1050:0>
gcmin:cianciulliite	Cianciulliite	<https://www.mindat.org/1:1:1051:7>
gcmin:cinnabar	Cinnabar	<https://www.mindat.org/1:1:1052:4>
gcmin:ciprianiite	Ciprianiite	<https://www.mindat.org/1:1:10799:2>
gcmin:ciriottiite	Ciriottiite	<https://www.mindat.org/1:1:46686:8>
gcmin:clairite	Clairite	<https://www.mindat.org/1:1:1056:2>
gcmin:claraite	Claraite	<https://www.mindat.org/1:1:1057:9>
gcmin:claringbullite	Claringbullite	<https://www.mindat.org/1:1:1058:6>
gcmin:clarkeite	Clarkeite	<https://www.mindat.org/1:1:1059:3>
gcmin:claudetite	Claudetite	<https://www.mindat.org/1:1:1060:9>
<https://w3id.org/geochem/1.0/mingroup/42824>	Claudetite Group	<https://www.mindat.org/1:1:42824:8>
gcmin:clausthalite	Clausthalite	<https://www.mindat.org/1:1:1061:6>
gcmin:claymineral	Clay Mineral	<https://www.mindat.org/1:1:49430:2>
<https://w3id.org/geochem/1.0/mingroup/1062>	Clay minerals	<https://www.mindat.org/1:1:1062:3>
gcmin:clearcreekite	Clearcreekite	<https://www.mindat.org/1:1:7073:3>
gcmin:clerite	Clerite	<https://www.mindat.org/1:1:6876:1>
gcmin:cleusonite	Cleusonite	<https://www.mindat.org/1:1:26262:4>
gcmin:cliffordite	Cliffordite	<https://www.mindat.org/1:1:1064:7>
gcmin:clino-ferri-holmquistite	Clino-ferri-holmquistite	<https://www.mindat.org/1:1:6928:7>
gcmin:clino-ferro-ferri-holmquistite	Clino-ferro-ferri-holmquistite	<https://www.mindat.org/1:1:6927:0>
gcmin:clino-ferro-suenoite	Clino-ferro-suenoite	<https://www.mindat.org/1:1:52566:6>
<https://w3id.org/geochem/1.0/mingroup/1513>	Clino-holmquistite Root Name Group	<https://www.mindat.org/1:1:1513:0>
gcmin:clino-suenoite	Clino-suenoite	<https://www.mindat.org/1:1:51589:0>
gcmin:clinoatacamite	Clinoatacamite	<https://www.mindat.org/1:1:1065:4>
gcmin:clinobehoite	Clinobehoite	<https://www.mindat.org/1:1:1066:1>
gcmin:clinobisvanite	Clinobisvanite	<https://www.mindat.org/1:1:1067:8>
gcmin:clinocervantite	Clinocervantite	<https://www.mindat.org/1:1:6879:2>
gcmin:clinochlore	Clinochlore	<https://www.mindat.org/1:1:1070:8>
gcmin:clinoclase	Clinoclase	<https://www.mindat.org/1:1:1055:5>
gcmin:clinoenstatite	Clinoenstatite	<https://www.mindat.org/1:1:1072:2>
gcmin:clinoferrosilite	Clinoferrosilite	<https://www.mindat.org/1:1:1073:9>
gcmin:clinohedrite	Clinohedrite	<https://www.mindat.org/1:1:1075:3>
gcmin:clinohumite	Clinohumite	<https://www.mindat.org/1:1:1077:7>
gcmin:clinojimthompsonite	Clinojimthompsonite	<https://www.mindat.org/1:1:1078:4>
gcmin:clinokurchatovite	Clinokurchatovite	<https://www.mindat.org/1:1:1079:1>
gcmin:clinometaborite	Clinometaborite	<https://www.mindat.org/1:1:40567:2>
gcmin:clinophosinaite	Clinophosinaite	<https://www.mindat.org/1:1:1081:4>
<https://w3id.org/geochem/1.0/mingroup/1082>	Clinoptilolite	<https://www.mindat.org/1:1:1082:1>
gcmin:clinoptilolite-ca	Clinoptilolite-Ca	<https://www.mindat.org/1:1:6882:2>
gcmin:clinoptilolite-k	Clinoptilolite-K	<https://www.mindat.org/1:1:6883:9>
gcmin:clinoptilolite-na	Clinoptilolite-Na	<https://www.mindat.org/1:1:6884:6>
<https://w3id.org/geochem/1.0/mingroup/7630>	Clinopyroxene Subgroup	<https://www.mindat.org/1:1:7630:8>
gcmin:clinosafflorite	Clinosafflorite	<https://www.mindat.org/1:1:1083:8>
gcmin:clinotobermorite	Clinotobermorite	<https://www.mindat.org/1:1:1084:5>
gcmin:clinoungemachite	Clinoungemachite	<https://www.mindat.org/1:1:1086:9>
gcmin:clinozoisite	Clinozoisite	<https://www.mindat.org/1:1:1087:6>
gcmin:clintonite	Clintonite	<https://www.mindat.org/1:1:1088:3>
gcmin:cloncurryite	Cloncurryite	<https://www.mindat.org/1:1:29262:5>
gcmin:coalblend	Coal blend	<https://www.mindat.org/1:1:44045:3>
gcmin:coalingite	Coalingite	<https://www.mindat.org/1:1:1095:1>
gcmin:cobaltarthurite	Cobaltarthurite	<https://www.mindat.org/1:1:11113:5>
gcmin:cobaltaustinite	Cobaltaustinite	<https://www.mindat.org/1:1:1099:9>
gcmin:cobaltite	Cobaltite	<https://www.mindat.org/1:1:1093:7>
<https://w3id.org/geochem/1.0/mingroup/29282>	Cobaltite Group	<https://www.mindat.org/1:1:29282:9>
gcmin:cobaltkieserite	Cobaltkieserite	<https://www.mindat.org/1:1:26414:5>
gcmin:cobaltkoritnigite	Cobaltkoritnigite	<https://www.mindat.org/1:1:1091:3>
gcmin:cobaltlotharmeyerite	Cobaltlotharmeyerite	<https://www.mindat.org/1:1:6885:3>
gcmin:cobaltneustadtelite	Cobaltneustädtelite	<https://www.mindat.org/1:1:11015:4>
gcmin:cobaltoblodite	Cobaltoblödite	<https://www.mindat.org/1:1:43582:2>
gcmin:cobaltomenite	Cobaltomenite	<https://www.mindat.org/1:1:1092:0>
gcmin:cobaltpentlandite	Cobaltpentlandite	<https://www.mindat.org/1:1:1097:5>
gcmin:cobalttsumcorite	Cobalttsumcorite	<https://www.mindat.org/1:1:7095:5>
gcmin:cobaltzippeite	Cobaltzippeite	<https://www.mindat.org/1:1:1098:2>
gcmin:coccinite	Coccinite	<https://www.mindat.org/1:1:1100:2>
gcmin:cochromite	Cochromite	<https://www.mindat.org/1:1:1101:9>
gcmin:coconinoite	Coconinoite	<https://www.mindat.org/1:1:1102:6>
gcmin:coesite	Coesite	<https://www.mindat.org/1:1:1104:0>
gcmin:coffinite	Coffinite	<https://www.mindat.org/1:1:1106:4>
gcmin:cohenite	Cohenite	<https://www.mindat.org/1:1:1107:1>
<https://w3id.org/geochem/1.0/mingroup/50245>	Cohenite Subgroup	<https://www.mindat.org/1:1:50245:2>
gcmin:coiraite	Coiraite	<https://www.mindat.org/1:1:27610:4>
gcmin:coldwellite	Coldwellite	<https://www.mindat.org/1:1:46423:1>
gcmin:colemanite	Colemanite	<https://www.mindat.org/1:1:1108:8>
gcmin:colimaite	Colimaite	<https://www.mindat.org/1:1:35575:7>
gcmin:colinowensite	Colinowensite	<https://www.mindat.org/1:1:43366:6>
gcmin:collinsite	Collinsite	<https://www.mindat.org/1:1:1109:5>
gcmin:coloradoite	Coloradoite	<https://www.mindat.org/1:1:1110:1>
gcmin:colquiriite	Colquiriite	<https://www.mindat.org/1:1:1111:8>
<https://w3id.org/geochem/1.0/mingroup/41586>	Columbite Group	<https://www.mindat.org/1:1:41586:4>
<https://w3id.org/geochem/1.0/mingroup/56150>	Columbite Supergroup	<https://www.mindat.org/1:1:56150:7>
gcmin:columbite-fe	Columbite-(Fe)	<https://www.mindat.org/1:1:1514:7>
gcmin:columbite-mg	Columbite-(Mg)	<https://www.mindat.org/1:1:2541:2>
gcmin:columbite-mn	Columbite-(Mn)	<https://www.mindat.org/1:1:2520:7>
gcmin:colusite	Colusite	<https://www.mindat.org/1:1:1113:2>
gcmin:comancheite	Comancheite	<https://www.mindat.org/1:1:1114:9>
gcmin:combeite	Combeite	<https://www.mindat.org/1:1:1115:6>
gcmin:comblainite	Comblainite	<https://www.mindat.org/1:1:1116:3>
gcmin:compreignacite	Compreignacite	<https://www.mindat.org/1:1:1117:0>
gcmin:congolite	Congolite	<https://www.mindat.org/1:1:1118:7>
gcmin:conichalcite	Conichalcite	<https://www.mindat.org/1:1:1119:4>
gcmin:connellite	Connellite	<https://www.mindat.org/1:1:1120:0>
gcmin:cookeite	Cookeite	<https://www.mindat.org/1:1:1121:7>
gcmin:coombsite	Coombsite	<https://www.mindat.org/1:1:1122:4>
gcmin:cooperite	Cooperite	<https://www.mindat.org/1:1:1123:1>
gcmin:coparsite	Coparsite	<https://www.mindat.org/1:1:6889:1>
gcmin:copiapite	Copiapite	<https://www.mindat.org/1:1:1124:8>
<https://w3id.org/geochem/1.0/mingroup/29284>	Copiapite Group	<https://www.mindat.org/1:1:29284:7>
gcmin:copper	Copper	<https://www.mindat.org/1:1:1209:2>
<https://w3id.org/geochem/1.0/mingroup/32720>	Copper Group	<https://www.mindat.org/1:1:32720:4>
gcmin:coquandite	Coquandite	<https://www.mindat.org/1:1:1125:5>
gcmin:coquimbite	Coquimbite	<https://www.mindat.org/1:1:1126:2>
<https://w3id.org/geochem/1.0/mingroup/43979>	Coquimbite Group	<https://www.mindat.org/1:1:43979:4>
gcmin:coralloite	Coralloite	<https://www.mindat.org/1:1:40140:9>
gcmin:corderoite	Corderoite	<https://www.mindat.org/1:1:1127:9>
gcmin:cordierite	Cordierite	<https://www.mindat.org/1:1:1128:6>
<https://w3id.org/geochem/1.0/mingroup/43732>	Cordylite	<https://www.mindat.org/1:1:43732:5>
gcmin:cordylite-ce	Cordylite-(Ce)	<https://www.mindat.org/1:1:1129:3>
gcmin:cordylite-la	Cordylite-(La)	<https://www.mindat.org/1:1:41169:1>
gcmin:corkite	Corkite	<https://www.mindat.org/1:1:1130:9>
gcmin:cornetite	Cornetite	<https://www.mindat.org/1:1:1131:6>
gcmin:cornubite	Cornubite	<https://www.mindat.org/1:1:1132:3>
gcmin:cornwallite	Cornwallite	<https://www.mindat.org/1:1:1133:0>
gcmin:coronadite	Coronadite	<https://www.mindat.org/1:1:1134:7>
<https://w3id.org/geochem/1.0/mingroup/29285>	Coronadite Group	<https://www.mindat.org/1:1:29285:6>
gcmin:correianevesite	Correianevesite	<https://www.mindat.org/1:1:43669:0>
gcmin:corrensite	Corrensite	<https://www.mindat.org/1:1:1135:4>
gcmin:corundum	Corundum	<https://www.mindat.org/1:1:1136:1>
gcmin:corvusite	Corvusite	<https://www.mindat.org/1:1:1138:5>
gcmin:cosalite	Cosalite	<https://www.mindat.org/1:1:1139:2>
gcmin:coskrenite-ce	Coskrenite-(Ce)	<https://www.mindat.org/1:1:6890:7>
gcmin:cossaite	Cossaite	<https://www.mindat.org/1:1:39568:5>
gcmin:costibite	Costibite	<https://www.mindat.org/1:1:1140:8>
gcmin:cotunnite	Cotunnite	<https://www.mindat.org/1:1:1141:5>
<https://w3id.org/geochem/1.0/mingroup/51904>	Coulsellite Group	<https://www.mindat.org/1:1:51904:5>
gcmin:coulsonite	Coulsonite	<https://www.mindat.org/1:1:1142:2>
gcmin:cousinite	Cousinite	<https://www.mindat.org/1:1:1143:9>
gcmin:coutinhoite	Coutinhoite	<https://www.mindat.org/1:1:26529:6>
gcmin:covellite	Covellite	<https://www.mindat.org/1:1:1144:6>
gcmin:cowlesite	Cowlesite	<https://www.mindat.org/1:1:1145:3>
gcmin:coyoteite	Coyoteite	<https://www.mindat.org/1:1:1146:0>
gcmin:crandallite	Crandallite	<https://www.mindat.org/1:1:1147:7>
gcmin:cranswickite	Cranswickite	<https://www.mindat.org/1:1:40267:5>
gcmin:crawfordite	Crawfordite	<https://www.mindat.org/1:1:1148:4>
gcmin:creaseyite	Creaseyite	<https://www.mindat.org/1:1:1149:1>
gcmin:crednerite	Crednerite	<https://www.mindat.org/1:1:1150:7>
gcmin:creedite	Creedite	<https://www.mindat.org/1:1:1151:4>
gcmin:crerarite	Crerarite	<https://www.mindat.org/1:1:6891:4>
gcmin:crichtonite	Crichtonite	<https://www.mindat.org/1:1:1153:8>
<https://w3id.org/geochem/1.0/mingroup/29190>	Crichtonite Group	<https://www.mindat.org/1:1:29190:9>
gcmin:criddleite	Criddleite	<https://www.mindat.org/1:1:1154:5>
gcmin:cristobalite	Cristobalite	<https://www.mindat.org/1:1:1155:2>
gcmin:crocobelonite	Crocobelonite	<https://www.mindat.org/1:1:54653:5>
gcmin:crocoite	Crocoite	<https://www.mindat.org/1:1:1157:6>
gcmin:cronstedtite	Cronstedtite	<https://www.mindat.org/1:1:1158:3>
gcmin:crookesite	Crookesite	<https://www.mindat.org/1:1:1159:0>
gcmin:cryolite	Cryolite	<https://www.mindat.org/1:1:1161:3>
<https://w3id.org/geochem/1.0/mingroup/50241>	Cryolite Subgroup	<https://www.mindat.org/1:1:50241:6>
gcmin:cryolithionite	Cryolithionite	<https://www.mindat.org/1:1:1162:0>
gcmin:cryptochalcite	Cryptochalcite	<https://www.mindat.org/1:1:46612:3>
gcmin:cryptohalite	Cryptohalite	<https://www.mindat.org/1:1:1163:7>
gcmin:cryptomelane	Cryptomelane	<https://www.mindat.org/1:1:1164:4>
gcmin:cryptophyllite	Cryptophyllite	<https://www.mindat.org/1:1:39306:7>
gcmin:cualstibite	Cualstibite	<https://www.mindat.org/1:1:1167:5>
<https://w3id.org/geochem/1.0/mingroup/43288>	Cualstibite Group	<https://www.mindat.org/1:1:43288:9>
gcmin:cubanite	Cubanite	<https://www.mindat.org/1:1:1168:2>
gcmin:cubo-ice	Cubo-ice	<https://www.mindat.org/1:1:51969:2>
gcmin:cuboargyrite	Cuboargyrite	<https://www.mindat.org/1:1:6893:8>
gcmin:cumengeite	Cumengeite	<https://www.mindat.org/1:1:6894:5>
gcmin:cummingtonite	Cummingtonite	<https://www.mindat.org/1:1:1170:5>
gcmin:cuprite	Cuprite	<https://www.mindat.org/1:1:1172:9>
gcmin:cuproauride	Cuproauride	<https://www.mindat.org/1:1:4681:3>
gcmin:cuprobismutite	Cuprobismutite	<https://www.mindat.org/1:1:1177:4>
<https://w3id.org/geochem/1.0/mingroup/51381>	Cuprobismutite Homologous Series	<https://www.mindat.org/1:1:51381:0>
gcmin:cuprocopiapite	Cuprocopiapite	<https://www.mindat.org/1:1:1181:1>
gcmin:cuprodongchuanite	Cuprodongchuanite	<https://www.mindat.org/1:1:55610:7>
gcmin:cuproiridsite	Cuproiridsite	<https://www.mindat.org/1:1:1186:6>
gcmin:cuprokalininite	Cuprokalininite	<https://www.mindat.org/1:1:40142:7>
gcmin:cupromakopavonite	Cupromakopavonite	<https://www.mindat.org/1:1:28892:3>
gcmin:cupromakovickyite	Cupromakovickyite	<https://www.mindat.org/1:1:26457:0>
gcmin:cupromolybdite	Cupromolybdite	<https://www.mindat.org/1:1:41953:2>
gcmin:cuproneyite	Cuproneyite	<https://www.mindat.org/1:1:39287:3>
gcmin:cupropavonite	Cupropavonite	<https://www.mindat.org/1:1:1187:3>
gcmin:cupropearceite	Cupropearceite	<https://www.mindat.org/1:1:35576:6>
gcmin:cupropolybasite	Cupropolybasite	<https://www.mindat.org/1:1:35952:2>
gcmin:cuprorhodsite	Cuprorhodsite	<https://www.mindat.org/1:1:1188:0>
gcmin:cuprorivaite	Cuprorivaite	<https://www.mindat.org/1:1:1189:7>
gcmin:cuprosklodowskite	Cuprosklodowskite	<https://www.mindat.org/1:1:1191:0>
gcmin:cuprospinel	Cuprospinel	<https://www.mindat.org/1:1:1192:7>
gcmin:cuprostibite	Cuprostibite	<https://www.mindat.org/1:1:1193:4>
gcmin:cuprotungstite	Cuprotungstite	<https://www.mindat.org/1:1:1194:1>
gcmin:cuprozheshengite	Cuprozheshengite	<https://www.mindat.org/1:1:56037:7>
gcmin:curetonite	Curetonite	<https://www.mindat.org/1:1:1195:8>
gcmin:curienite	Curienite	<https://www.mindat.org/1:1:1196:5>
gcmin:curite	Curite	<https://www.mindat.org/1:1:1197:2>
gcmin:cuspidine	Cuspidine	<https://www.mindat.org/1:1:1198:9>
gcmin:cuzticite	Cuzticite	<https://www.mindat.org/1:1:1199:6>
gcmin:cyanochroite	Cyanochroite	<https://www.mindat.org/1:1:1200:9>
gcmin:cyanotrichite	Cyanotrichite	<https://www.mindat.org/1:1:1203:0>
gcmin:cylindrite	Cylindrite	<https://www.mindat.org/1:1:1204:7>
<https://w3id.org/geochem/1.0/mingroup/39594>	Cylindrite Group	<https://www.mindat.org/1:1:39594:0>
gcmin:cymrite	Cymrite	<https://www.mindat.org/1:1:1205:4>
gcmin:cyprine	Cyprine	<https://www.mindat.org/1:1:46798:2>
gcmin:cyrilovite	Cyrilovite	<https://www.mindat.org/1:1:1206:1>
gcmin:czochralskiite	Czochralskiite	<https://www.mindat.org/1:1:46631:8>
gcmin:camaraite	Cámaraite	<https://www.mindat.org/1:1:39451:6>
gcmin:cesarferreiraite	Césarferreiraite	<https://www.mindat.org/1:1:43865:2>
<https://w3id.org/geochem/1.0/mingroup/43430>	D'Ansite Group	<https://www.mindat.org/1:1:43430:0>
gcmin:dansite-fe	D'Ansite-(Fe)	<https://www.mindat.org/1:1:42848:8>
gcmin:dansite	D'ansite	<https://www.mindat.org/1:1:1211:5>
gcmin:dansite-fe	D'ansite-(Fe)	<https://www.mindat.org/1:1:42848:8>
gcmin:dansite-mn	D'ansite-(Mn)	<https://www.mindat.org/1:1:42846:0>
<https://w3id.org/geochem/1.0/mingroup/1212>	Dachiardite	<https://www.mindat.org/1:1:1212:2>
gcmin:dachiardite-ca	Dachiardite-Ca	<https://www.mindat.org/1:1:6895:2>
gcmin:dachiardite-na	Dachiardite-Na	<https://www.mindat.org/1:1:6896:9>
gcmin:dadsonite	Dadsonite	<https://www.mindat.org/1:1:1213:9>
gcmin:dagenaisite	Dagenaisite	<https://www.mindat.org/1:1:51849:9>
gcmin:dalnegorskite	Dalnegorskite	<https://www.mindat.org/1:1:52916:7>
gcmin:dalnegroite	Dalnegroite	<https://www.mindat.org/1:1:39758:6>
gcmin:dalyite	Dalyite	<https://www.mindat.org/1:1:1214:6>
<https://w3id.org/geochem/1.0/mingroup/39518>	Dalyite Group	<https://www.mindat.org/1:1:39518:0>
gcmin:damaraite	Damaraite	<https://www.mindat.org/1:1:1215:3>
gcmin:damiaoite	Damiaoite	<https://www.mindat.org/1:1:6897:6>
gcmin:danalite	Danalite	<https://www.mindat.org/1:1:1341:9>
gcmin:danbaite	Danbaite	<https://www.mindat.org/1:1:1217:7>
gcmin:danburite	Danburite	<https://www.mindat.org/1:1:1218:4>
gcmin:danielsite	Danielsite	<https://www.mindat.org/1:1:1219:1>
gcmin:dantopaite	Dantopaite	<https://www.mindat.org/1:1:39325:2>
gcmin:daomanite	Daomanite	<https://www.mindat.org/1:1:1222:1>
gcmin:daqingshanite-ce	Daqingshanite-(Ce)	<https://www.mindat.org/1:1:1224:5>
gcmin:darapskite	Darapskite	<https://www.mindat.org/1:1:1226:9>
gcmin:darrellhenryite	Darrellhenryite	<https://www.mindat.org/1:1:43340:8>
gcmin:dashkovaite	Dashkovaite	<https://www.mindat.org/1:1:10175:8>
gcmin:datolite	Datolite	<https://www.mindat.org/1:1:1340:2>
<https://w3id.org/geochem/1.0/mingroup/50362>	Datolite Subgroup	<https://www.mindat.org/1:1:50362:8>
gcmin:daubreeite	Daubréeite	<https://www.mindat.org/1:1:1229:0>
gcmin:daubreelite	Daubréelite	<https://www.mindat.org/1:1:1230:6>
gcmin:davanite	Davanite	<https://www.mindat.org/1:1:1231:3>
gcmin:davemaoite	Davemaoite	<https://www.mindat.org/1:1:55255:4>
gcmin:davidite-ce	Davidite-(Ce)	<https://www.mindat.org/1:1:1233:7>
gcmin:davidite-la	Davidite-(La)	<https://www.mindat.org/1:1:1234:4>
gcmin:davidlloydite	Davidlloydite	<https://www.mindat.org/1:1:42229:9>
gcmin:davidsmithite	Davidsmithite	<https://www.mindat.org/1:1:50778:5>
gcmin:davinciite	Davinciite	<https://www.mindat.org/1:1:42815:0>
gcmin:davreuxite	Davreuxite	<https://www.mindat.org/1:1:1237:5>
gcmin:davyne	Davyne	<https://www.mindat.org/1:1:1238:2>
gcmin:dawsonite	Dawsonite	<https://www.mindat.org/1:1:1240:5>
gcmin:deanesmithite	Deanesmithite	<https://www.mindat.org/1:1:1242:9>
gcmin:debattistiite	Debattistiite	<https://www.mindat.org/1:1:42726:7>
gcmin:decrespignyite-y	Decrespignyite-(Y)	<https://www.mindat.org/1:1:9294:0>
gcmin:deerite	Deerite	<https://www.mindat.org/1:1:1245:0>
<https://w3id.org/geochem/1.0/mingroup/46597>	Deerite-Howieite Group	<https://www.mindat.org/1:1:46597:5>
gcmin:defernite	Defernite	<https://www.mindat.org/1:1:1246:7>
gcmin:delafossite	Delafossite	<https://www.mindat.org/1:1:1248:1>
<https://w3id.org/geochem/1.0/mingroup/39486>	Delafossite Group	<https://www.mindat.org/1:1:39486:2>
gcmin:delhayelite	Delhayelite	<https://www.mindat.org/1:1:1251:1>
gcmin:delhuyarite-ce	Delhuyarite-(Ce)	<https://www.mindat.org/1:1:51415:6>
gcmin:deliensite	Deliensite	<https://www.mindat.org/1:1:6899:0>
gcmin:delindeite	Delindeite	<https://www.mindat.org/1:1:1252:8>
gcmin:dellagiustaite	Dellagiustaite	<https://www.mindat.org/1:1:52860:9>
gcmin:dellaite	Dellaite	<https://www.mindat.org/1:1:1253:5>
gcmin:deloneite	Deloneite	<https://www.mindat.org/1:1:6900:3>
gcmin:deloryite	Deloryite	<https://www.mindat.org/1:1:1254:2>
gcmin:delrioite	Delrioite	<https://www.mindat.org/1:1:1255:9>
gcmin:deltalumite	Deltalumite	<https://www.mindat.org/1:1:47933:0>
gcmin:delvauxite	Delvauxite	<https://www.mindat.org/1:1:1257:3>
gcmin:demartinite	Demartinite	<https://www.mindat.org/1:1:30908:6>
gcmin:demesmaekerite	Demesmaekerite	<https://www.mindat.org/1:1:1259:7>
gcmin:demicheleite-br	Demicheleite-(Br)	<https://www.mindat.org/1:1:32198:1>
gcmin:demicheleite-cl	Demicheleite-(Cl)	<https://www.mindat.org/1:1:38694:2>
gcmin:demicheleite-i	Demicheleite-(I)	<https://www.mindat.org/1:1:39683:3>
gcmin:denisovite	Denisovite	<https://www.mindat.org/1:1:1261:0>
gcmin:denningite	Denningite	<https://www.mindat.org/1:1:1262:7>
gcmin:depmeierite	Depmeierite	<https://www.mindat.org/1:1:39787:8>
gcmin:derbylite	Derbylite	<https://www.mindat.org/1:1:1263:4>
gcmin:derriksite	Derriksite	<https://www.mindat.org/1:1:1264:1>
gcmin:dervillite	Dervillite	<https://www.mindat.org/1:1:1265:8>
gcmin:desautelsite	Desautelsite	<https://www.mindat.org/1:1:1266:5>
gcmin:descloizite	Descloizite	<https://www.mindat.org/1:1:1267:2>
gcmin:despujolsite	Despujolsite	<https://www.mindat.org/1:1:1269:6>
gcmin:dessauite-y	Dessauite-(Y)	<https://www.mindat.org/1:1:6902:7>
gcmin:destinezite	Destinezite	<https://www.mindat.org/1:1:5222:7>
gcmin:deveroite-ce	Deveroite-(Ce)	<https://www.mindat.org/1:1:43870:4>
gcmin:devilline	Devilline	<https://www.mindat.org/1:1:1270:2>
<https://w3id.org/geochem/1.0/mingroup/39487>	Devilline Group	<https://www.mindat.org/1:1:39487:1>
gcmin:devitoite	Devitoite	<https://www.mindat.org/1:1:39450:7>
<https://w3id.org/geochem/1.0/mingroup/46964>	Devitoite Group	<https://www.mindat.org/1:1:46964:3>
gcmin:dewindtite	Dewindtite	<https://www.mindat.org/1:1:1273:3>
gcmin:dewitite	Dewitite	<https://www.mindat.org/1:1:55616:1>
gcmin:diaboleite	Diaboleite	<https://www.mindat.org/1:1:1276:4>
<https://w3id.org/geochem/1.0/mingroup/50247>	Diaboleite Subgroup	<https://www.mindat.org/1:1:50247:0>
gcmin:diadochite	Diadochite	<https://www.mindat.org/1:1:1279:5>
gcmin:diamond	Diamond	<https://www.mindat.org/1:1:1282:5>
gcmin:diaoyudaoite	Diaoyudaoite	<https://www.mindat.org/1:1:1283:2>
gcmin:diaphorite	Diaphorite	<https://www.mindat.org/1:1:1284:9>
gcmin:diaspore	Diaspore	<https://www.mindat.org/1:1:1285:6>
<https://w3id.org/geochem/1.0/mingroup/39566>	Diaspore Group	<https://www.mindat.org/1:1:39566:7>
gcmin:dickinsonite-kmnna	Dickinsonite-(KMnNa)	<https://www.mindat.org/1:1:1286:3>
gcmin:dickite	Dickite	<https://www.mindat.org/1:1:1287:0>
gcmin:dickthomssenite	Dickthomssenite	<https://www.mindat.org/1:1:11216:1>
gcmin:dietrichite	Dietrichite	<https://www.mindat.org/1:1:1289:4>
gcmin:dietzeite	Dietzeite	<https://www.mindat.org/1:1:1290:0>
gcmin:digenite	Digenite	<https://www.mindat.org/1:1:1291:7>
gcmin:dimorphite	Dimorphite	<https://www.mindat.org/1:1:1292:4>
gcmin:dingdaohengite-ce	Dingdaohengite-(Ce)	<https://www.mindat.org/1:1:27437:3>
gcmin:dinite	Dinite	<https://www.mindat.org/1:1:6904:1>
