s	label	match
gcmin:ancylite-la	Ancylite-(La)	<https://www.mindat.org/1:1:6800:6>
gcmin:andalusite	Andalusite	<https://www.mindat.org/1:1:217:4>
gcmin:andersonite	Andersonite	<https://www.mindat.org/1:1:219:2>
gcmin:andesine	Andesine	<https://www.mindat.org/1:1:220:8>
gcmin:andorite_iv	Andorite IV	<https://www.mindat.org/1:1:11345:2>
gcmin:andorite_vi	Andorite VI	<https://www.mindat.org/1:1:29150:1>
gcmin:andradite	Andradite	<https://www.mindat.org/1:1:223:5>
gcmin:andrianovite	Andrianovite	<https://www.mindat.org/1:1:31664:2>
gcmin:andrieslombaardite	Andrieslombaardite	<https://www.mindat.org/1:1:470603:4>
gcmin:androsite-ce	Androsite-(Ce)	<https://www.mindat.org/1:1:46245:5>
gcmin:andremeyerite	Andrémeyerite	<https://www.mindat.org/1:1:225:3>
gcmin:anduoite	Anduoite	<https://www.mindat.org/1:1:227:1>
gcmin:andychristyite	Andychristyite	<https://www.mindat.org/1:1:46681:3>
gcmin:andymcdonaldite	Andymcdonaldite	<https://www.mindat.org/1:1:53543:2>
gcmin:andyrobertsite	Andyrobertsite	<https://www.mindat.org/1:1:6802:0>
gcmin:angarfite	Angarfite	<https://www.mindat.org/1:1:41909:1>
gcmin:angastonite	Angastonite	<https://www.mindat.org/1:1:35972:6>
gcmin:angelellite	Angelellite	<https://www.mindat.org/1:1:231:4>
gcmin:anglesite	Anglesite	<https://www.mindat.org/1:1:233:2>
gcmin:anhydrite	Anhydrite	<https://www.mindat.org/1:1:234:1>
gcmin:anhydrokainite	Anhydrokainite	<https://www.mindat.org/1:1:235:0>
gcmin:anilite	Anilite	<https://www.mindat.org/1:1:236:9>
gcmin:ankerite	Ankerite	<https://www.mindat.org/1:1:239:6>
gcmin:ankinovichite	Ankinovichite	<https://www.mindat.org/1:1:11516:8>
gcmin:annabergite	Annabergite	<https://www.mindat.org/1:1:240:2>
gcmin:annite	Annite	<https://www.mindat.org/1:1:241:1>
gcmin:anorpiment	Anorpiment	<https://www.mindat.org/1:1:42349:2>
gcmin:anorthite	Anorthite	<https://www.mindat.org/1:1:246:6>
gcmin:anorthoclase	Anorthoclase	<https://www.mindat.org/1:1:248:4>
gcmin:anorthominasragrite	Anorthominasragrite	<https://www.mindat.org/1:1:25587:3>
gcmin:ansermetite	Ansermetite	<https://www.mindat.org/1:1:26443:7>
gcmin:antarcticite	Antarcticite	<https://www.mindat.org/1:1:251:8>
gcmin:anthoinite	Anthoinite	<https://www.mindat.org/1:1:252:7>
gcmin:anthonyite	Anthonyite	<https://www.mindat.org/1:1:253:6>
gcmin:anthophyllite	Anthophyllite	<https://www.mindat.org/1:1:254:5>
<https://w3id.org/geochem/1.0/mingroup/43520>	Anthophyllite Root Name Group	<https://www.mindat.org/1:1:43520:2>
gcmin:antigorite	Antigorite	<https://www.mindat.org/1:1:260:6>
gcmin:antimonselite	Antimonselite	<https://www.mindat.org/1:1:266:0>
gcmin:antimony	Antimony	<https://www.mindat.org/1:1:262:4>
gcmin:antipinite	Antipinite	<https://www.mindat.org/1:1:46162:3>
gcmin:antlerite	Antlerite	<https://www.mindat.org/1:1:268:8>
gcmin:antofagastaite	Antofagastaite	<https://www.mindat.org/1:1:53142:7>
gcmin:anyuiite	Anyuiite	<https://www.mindat.org/1:1:271:2>
gcmin:anzaite-ce	Anzaite-(Ce)	<https://www.mindat.org/1:1:43871:3>
gcmin:apachite	Apachite	<https://www.mindat.org/1:1:272:1>
<https://w3id.org/geochem/1.0/mingroup/29229>	Apatite	<https://www.mindat.org/1:1:29229:0>
<https://w3id.org/geochem/1.0/mingroup/32275>	Apatite Group	<https://www.mindat.org/1:1:32275:9>
<https://w3id.org/geochem/1.0/mingroup/274>	Apatite Supergroup	<https://www.mindat.org/1:1:274:9>
gcmin:aphthitalite	Aphthitalite	<https://www.mindat.org/1:1:280:0>
<https://w3id.org/geochem/1.0/mingroup/55731>	Aphthitalite Group	<https://www.mindat.org/1:1:55731:9>
gcmin:apjohnite	Apjohnite	<https://www.mindat.org/1:1:281:9>
gcmin:aplowite	Aplowite	<https://www.mindat.org/1:1:282:8>
<https://w3id.org/geochem/1.0/mingroup/283>	Apophyllite Group	<https://www.mindat.org/1:1:283:7>
gcmin:apuanite	Apuanite	<https://www.mindat.org/1:1:285:5>
gcmin:aqualite	Aqualite	<https://www.mindat.org/1:1:27558:5>
gcmin:aradite	Aradite	<https://www.mindat.org/1:1:43920:8>
gcmin:aragonite	Aragonite	<https://www.mindat.org/1:1:307:6>
<https://w3id.org/geochem/1.0/mingroup/29269>	Aragonite Group	<https://www.mindat.org/1:1:29269:8>
gcmin:arakiite	Arakiite	<https://www.mindat.org/1:1:6805:1>
gcmin:aramayoite	Aramayoite	<https://www.mindat.org/1:1:310:0>
gcmin:arangasite	Arangasite	<https://www.mindat.org/1:1:43332:9>
gcmin:arapovite	Arapovite	<https://www.mindat.org/1:1:27530:9>
gcmin:aravaipaite	Aravaipaite	<https://www.mindat.org/1:1:311:9>
gcmin:arcanite	Arcanite	<https://www.mindat.org/1:1:314:6>
gcmin:archerite	Archerite	<https://www.mindat.org/1:1:315:5>
gcmin:arctite	Arctite	<https://www.mindat.org/1:1:316:4>
<https://w3id.org/geochem/1.0/mingroup/55634>	Arctite Group 	<https://www.mindat.org/1:1:55634:7>
<https://w3id.org/geochem/1.0/mingroup/53194>	Arctite Supergroup	<https://www.mindat.org/1:1:53194:0>
gcmin:arcubisite	Arcubisite	<https://www.mindat.org/1:1:318:2>
gcmin:ardaite	Ardaite	<https://www.mindat.org/1:1:320:7>
gcmin:ardealite	Ardealite	<https://www.mindat.org/1:1:321:6>
<https://w3id.org/geochem/1.0/mingroup/46923>	Ardennite Group	<https://www.mindat.org/1:1:46923:6>
gcmin:ardennite-as	Ardennite-(As)	<https://www.mindat.org/1:1:322:5>
gcmin:ardennite-si	Ardennite-(Si)	<https://www.mindat.org/1:1:53843:9>
gcmin:ardennite-v	Ardennite-(V)	<https://www.mindat.org/1:1:28893:2>
gcmin:arfvedsonite	Arfvedsonite	<https://www.mindat.org/1:1:325:2>
<https://w3id.org/geochem/1.0/mingroup/8603>	Arfvedsonite Root Name Group	<https://www.mindat.org/1:1:8603:1>
gcmin:argandite	Argandite	<https://www.mindat.org/1:1:40277:2>
gcmin:argentobaumhauerite	Argentobaumhauerite	<https://www.mindat.org/1:1:571:9>
gcmin:argentojarosite	Argentojarosite	<https://www.mindat.org/1:1:290:7>
gcmin:argentopearceite	Argentopearceite	<https://www.mindat.org/1:1:55110:2>
gcmin:argentopentlandite	Argentopentlandite	<https://www.mindat.org/1:1:291:6>
gcmin:argentopyrite	Argentopyrite	<https://www.mindat.org/1:1:299:8>
gcmin:argentotennantite-zn	Argentotennantite-(Zn)	<https://www.mindat.org/1:1:319:1>
gcmin:argentotetrahedrite	Argentotetrahedrite	<https://www.mindat.org/1:1:10677:1>
gcmin:argentotetrahedrite-fe	Argentotetrahedrite-(Fe)	<https://www.mindat.org/1:1:46256:1>
gcmin:argentotetrahedrite-hg	Argentotetrahedrite-(Hg)	<https://www.mindat.org/1:1:55306:7>
gcmin:argentotetrahedrite-zn	Argentotetrahedrite-(Zn)	<https://www.mindat.org/1:1:53914:6>
gcmin:argesite	Argesite	<https://www.mindat.org/1:1:42369:6>
gcmin:argutite	Argutite	<https://www.mindat.org/1:1:330:4>
gcmin:argyrodite	Argyrodite	<https://www.mindat.org/1:1:331:3>
<https://w3id.org/geochem/1.0/mingroup/32575>	Argyrodite Group	<https://www.mindat.org/1:1:32575:6>
gcmin:arhbarite	Arhbarite	<https://www.mindat.org/1:1:333:1>
gcmin:ariegilatite	Ariegilatite	<https://www.mindat.org/1:1:51569:6>
gcmin:arisite-ce	Arisite-(Ce)	<https://www.mindat.org/1:1:39483:5>
gcmin:arisite-la	Arisite-(La)	<https://www.mindat.org/1:1:39549:0>
gcmin:aristarainite	Aristarainite	<https://www.mindat.org/1:1:334:0>
gcmin:armalcolite	Armalcolite	<https://www.mindat.org/1:1:341:0>
gcmin:armangite	Armangite	<https://www.mindat.org/1:1:342:9>
gcmin:armbrusterite	Armbrusterite	<https://www.mindat.org/1:1:28891:4>
gcmin:armenite	Armenite	<https://www.mindat.org/1:1:343:8>
gcmin:armstrongite	Armstrongite	<https://www.mindat.org/1:1:344:7>
<https://w3id.org/geochem/1.0/mingroup/28960>	Arrojadite Group	<https://www.mindat.org/1:1:28960:3>
gcmin:arrojadite-bana	Arrojadite-(BaNa)	<https://www.mindat.org/1:1:29414:6>
gcmin:arrojadite-kfe	Arrojadite-(KFe)	<https://www.mindat.org/1:1:351:7>
gcmin:arrojadite-kna	Arrojadite-(KNa)	<https://www.mindat.org/1:1:28959:7>
gcmin:arrojadite-pbfe	Arrojadite-(PbFe)	<https://www.mindat.org/1:1:29064:5>
gcmin:arrojadite-srfe	Arrojadite-(SrFe)	<https://www.mindat.org/1:1:28889:9>
gcmin:arsenbrackebuschite	Arsenbrackebuschite	<https://www.mindat.org/1:1:6807:5>
gcmin:arsendescloizite	Arsendescloizite	<https://www.mindat.org/1:1:356:2>
