"locality","locality_description"
"1m above DB-233",NULL
"1st Sovietskiy Mine",NULL
"2-A-II",NULL
"2-B-I",NULL
"2 C-II",NULL
"2 D-I, Green Town",NULL
"2 km S of Pichucalco",NULL
"2 miles below Rattlesnake Bluff",NULL
"20",NULL
"20 Mule Team Canyon",NULL
"20+ feet of section taken at knob of land NE of Tanaga volcano, by coast, ~1mi W of Falls Pt",NULL
"2000' SW of Sugar Loaf Peak / 1000' NW Sugarloaf Head",NULL
"200m above summit camp",NULL
"203312",NULL
"2060707",NULL
"2060711",NULL
"2070710",NULL
"20ARDR001","Section 30 of Soto and Alvarado (2006), adjacent to the road. Sample found Ash layer found 6-8 cm above paleosol that occurs in the middle of AR-20 unit (formerly ET2)."
"20ARDR001","Section 30 of Soto and Alvarado (2006), adjacent to the road. Sample from basal unit of AR-20 (formerly ET2), lowest layer (~2-3 cm thick) which contacts the paleosol. Lower AR-20."
"20ARDR001","Section 30 of Soto and Alvarado (2006), adjacent to the road. Sample from Upper AR-19 unit(formerly ET3)."
"20ARDR001","Section 30 of Soto and Alvarado (2006), adjacent to the road. Sample is the upper part (~10 cm thick) of the basal layer which contacts the layer sampled with 20ARDR001-2. Middle AR-20 (formerly ET2)."
"20ARDR001","Section 30 of Soto and Alvarado (2006), adjacent to the road. Xenolith sample collected from in unit AR-20 (formerly ET2)."
"20ARDR001","Section 30 of Soto and Alvarado (2006), adjacent to the road. Xenolith sample found above paleosol in AR-20 (formerly ET2). Fell out of outcrop."
"20ARDR002","Montaña de Fuego of Soto and Alvarado (2006). The section is located on side of a small, plateau adjacent to the road. Section faces west. Lower AR-17 unit (formerly ET5)."
"20ARDR002","Montaña de Fuego of Soto and Alvarado (2006). The section is located on side of a small, plateau adjacent to the road. Section faces west. Lower AR-18 unit (formerly ET4)."
"20ARDR003","Montaña de Fuego of Soto and Alvarado (2006). The section is located on side of a small, plateau adjacent to the road. On same plateau feature as Z0ARDR002.. Section faces west. Lower AR-15 unit (formlery ET7)."
"20ARDR003","Montaña de Fuego of Soto and Alvarado (2006). The section is located on side of a small, plateau adjacent to the road. On same plateau feature as Z0ARDR002.. Section faces west. Lower AR-16 unit (formerly ET6)."
"21",NULL
"21 North study area",NULL
"2139685",NULL
"2173911",NULL
"21st April","See attached map for details"
"21st April River","See attached map for details"
"22-Map 3B",NULL
"23",NULL
"24",NULL
"25",NULL
"26",NULL
"266 Hykeham Road,Lincoln LN6 8BJ",NULL
"29-Map 3B",NULL
"295 excavation",NULL
"2mi W Jct 12 & 410",NULL
"3-C-I",NULL
"3-D-I",NULL
"3-D-II",NULL
"3 Devils Grade","Rattlesnake Springs quad"
"3 Devils Grade, ""Billingsley Ranch section""","Rattlesnake Springs quad"
"3 M Quarry",NULL
"3.7km SSW of Maubisse",NULL
"30",NULL
"3042004",NULL
"3042005",NULL
"3042007",NULL
"3052002",NULL
"3052004",NULL
"3052803",NULL
"3052804",NULL
"3052805",NULL
"3052810",NULL
"3053002",NULL
"3053003",NULL
"3060102",NULL
"31",NULL
"31st Avenue, Jackson",NULL
"32-El Apriso",NULL
"33-Hotel Termal",NULL
"34-Map 4B",NULL
"3862286",NULL
"395-Hatton exit",NULL
"395-Lind exit",NULL
"4-A-II",NULL
"4-C-II, Green Town",NULL
"4-D-II Open",NULL
"4-Delgaditas",NULL
"4-Jail Road",NULL
"4 KM ENE of Cry Lake",NULL
"4 km SW of Hafrafell",NULL
"4 km W of Ostuacan",NULL
"4.5 km east of Laisvall",NULL
"4014501",NULL
"4099753",NULL
"4100525",NULL
"4356710",NULL
"4470940",NULL
"4496",NULL
"4646810",NULL
"4746795",NULL
"4829764",NULL
"4956873",NULL
"4971068",NULL
"4th Of July Mine",NULL
"5-C-II",NULL
"5-D-I, Geen Town",NULL
