"name"
"mountain range"
"Seamount"
"oceanic island volcano"
"Delta"
"seamount"
"Volcano"
"Ridge crest"
"Submarine canyon"
"VOLCANO"
"Abyssal plain"
"Continental shelf"
"Axial valley"
"VOLCANIC ARC"
"sea"
"Fracture zone"
"rise, continental"
"Marginal plateau"
"Seamount [prov.]"
"Small ocean basin"
"Aseismic rise or ridge"
"Mid-ocean canyon"
"Insular slope"
"Harbor"
"island"
"Continental slope"
"Insular Shelf"
"Abyssal hills"
"Insular rise"
"Inland fresh water lake"
"Duckwater/McClure Section"
"Insular trench"
"slope, continental"
"Continental rise"
"lake"
"back-arc ridge"
"Oceanic plateau"
"Ridge flank"
"Marginal sea"
"Cont. margin trench"
"Archipelagic apron"
"Unspecified"
"Volcanic Seamount"
"backarc spreading center"
"Rear arc volcano"
"backarc ridge"
"Lava flow field"
"volcanic seamount"
"watershed"
"spreading center"
"metamorphic terrane"
"volcano"
"lava field"
"Margin"
"SpreadingCenter"
"mid-ocean ridge"
"Spreading_Center"
"Ocean Ridge"
"Continentall shelf"
"Continental Shelf"
"volcanic cone"
"submarine canyon"
"fault scarp"
"eroded volcanic peak"
"volcanic ridge"
"MidOceanRidge"
"ocean basin"
"Watershed"
"Ridgetop"
"Backslope"
"Footslope"
"Stream Terrace"
"stream bed"
"stream bank"
"Ocean"
"Alluvial Fan"
"Caldera"
"IceShelf"
"Island"
"Peninsula"
"Ridge"
"RidgeSegment"
"Rift"
"Sea"
"SubductionZone"
"Trench"
"Vent"
"VentCluster"
"VentField"
"road outcrop"
"ridgetop"
"Gulf"
"BackarcBasin"
"ridge"
"Rampart"
"Focus Site"
"Fjord"
"FocusSite"
"Spreading center ridge axis"
"submarine arc"
"forearc rift"
"fracture zone"
"canyon or channel, mid-ocean"
"rise or ridge, aseismic ocean"
"seamount or seamount province"
"ridge flank"
"axial valley"
"ridge crest"
"unspecified"
"Forearc"
"batholith"
"abyssal plain"
"Metamorphic terrane"
"Metamorphic Terrane"
"Volcanic Arc"
"Intra-arc Sedimentary Basin"
"Catchment"
"Coulee"
"Old volcanic caldera"
"Lava flow"
"Small volcanic island"
"Mafic dike"
"Near summit"
"Crater Rim"
"Spreading Center"
"""Tree"""
"River"
"Mountain"
"Steep slope (>50 degrees) on southern edge of Nautilus Basin around 3750m, >30 degree slope above 3600 to 3550 m"
">50 degree slope on fault scarp on southern edge of Nautilus Basin"
">35 degree slope on far NE corner of Chukchi Plateau near Healy Seamount. Seismic lines from HLY0503 shows feature to be normal fault scarp"
">40 degree slope near top of normal fault block imaged in seismic profile from HLY0503.  West of Northwind Ridge near top of fault scarp.  Target 750m water depth."
">40 degree slope on smal fault block along the Northwind Escarpment.  Feature is triangular shaped salient between larger normal fault segments."
"cinder cone"
"physiographic feature"
"backarc basin spreading center"
"caldera"
"Newark Basin"
"Gettysburg Basin"
"bank (hydrographic)"
"rift zone; volcano; crater"
"rift zone; volcano;"
"rift zone; volcano; lava field"
"Non-ridgetop"
"Primary physiographic feature"
"guyot"
"Basin & Range desert basin"
"delta"
"San Rafael Swell"
"Mountain Range"
"mountain"
"Back Arc"
"submarine volcano"
"roadcut"
"outcrop"
"Sulfide mound"
"Megamullion"
"Road outcrop"
"canyon"
"Lake"
"sea floor"
"continental margin"
"mineral deposit area"
"Lakebed"
"north slope of fault scarp"
"terrace on seamount"
"west side of 12d seamount"
"base of slope"
"east side of Wilde's guyot"
"top of Wilde's guyot"
"west side of a seamount"
"top of seamount"
"uncharted ridge"
"Makarov guyot"
"seamount of 33d"
"axial valley volcano adjacent to fracture zone"
"spine of ridge at south end of AMAR segment"
"main ridge in short segment N of FAMOUS"
"central volcano of broad segment"
"60m high nose in center of rift valley"
"summit cone on large split volcano in rift"
"40m high ridge N of split volcano"
"up and along 200m high ridge in center of rift valley, along strike of northern FZ volcano"
"seamount about 70km east of Azores triple junction"
