"locality","count"
"50029210560000","26"
"50029210690000","34"
"50029211060000","29"
"50029212850000","31"
"50029221210000","30"
"50029227390000","32"
"50029232870000","18"
"50103100020000","33"
"50103100030000","22"
"50223200020000","20"
"50223200040000","12"
"50223200260000","982"
"50223200270000","2184"
"50223200290000","612"
"5084868","1"
"5098214","210"
"5102466","1"
"5417618","1"
"5481136","1"
"5483974","1"
"5509151","2"
"5513795","1"
"55231000050000","12"
"5543199","1"
"5551752","2"
"5596512","1"
"57°23.27W007°20.06","1"
"5704200","1"
"5840426","1"
"5879092","1"
"5909050","1"
"6-A-II","1"
"6-B-I Township","1"
"6 R District","1"
"60 ft road Shera Kot","1"
"60 Mile","4"
"600m NW of Sögütcük along Antalya-Korkuteli road","55"
"6093943","1"
"6251999","1"
"62nd street and CPW","3"
"6343","1"
"63KAP","6"
"63SL","1"
"65AAM","1"
"65HU","1"
"65HUE","1"
"65KAAP","1"
"65KAI","1"
"65KAP","1"
"65KIHO","1"
"65KOHA","2"
"65LELE","1"
"65SAL","1"
"65th St. & 9th Ave.","1"
"65WAIM","5"
"66WAA","1"
"69MAK","1"
"69MCA","1"
"69SAL","2"
"69TAN","2"
"69WIL","1"
"6K502","13"
"6K503","8"
"7-Alegrias","2"
"7 bis","1"
"7 km NNE of  San Pedro","1"
"7 U 7 Ranch","21"
"70ALI","5"
"70SAL","31"
"71SAL","17"
"72-Swift Res. area","3"
"72 Kinnaid Rd Chiswick","1"
"72HIG-15","1"
"72HIG-20","2"
"72HIG-23","1"
"72HIG-24","4"
"72HIG-25","1"
"72HIG-34","1"
"72HIG-37","2"
"72HIG-41","1"
"72HIG-44","3"
"72HIG-48","2"
"72HIG-49","2"
"72HIG-51","4"
"72HIG-D4","2"
"73-Swift Res. area","1"
"74-Swift Res. area","3"
"75PET","1"
"77A","2"
"77b","17"
"79 Mine","5"
"8 Ball Mine","1"
"8 km S of Pichucalco","6"
"838 Muldrow Place Sloan Collection","1"
"83rd and Riverside Park","2"
"84-Jct N920 & unmark.","1"
"85-Jct N920 & unmark.","1"
"8854","1"
"89-Jct N836 & N836B","2"
"90th and Riverside Park","1"
"91-AV-19/2-D11","3"
"91-AV-19/2-D7","1"
"91-Jct N836 & N836B","2"
"91-Mile Canyon","1"
"953987","1"
"99999000010000","10"
"9m Chimney","5"
"A-2 Shah Fareed","1"
"A-3 Block","1"
"A-Block Gulshan Ravi","1"
"A-Block Jauhar Town","1"
"A-Block Rehmanpura","1"
"A-Block Sabzazar","1"
"A-Block Tajpura","1"
"A-Block, Muslim Town","1"
"A-I Gujjarpura","1"
"A 836, 0.5 miles N of Bettyhill turn off","1"
"A 836, 2 miles S. Lairg","1"
"a little higher than DB-232","1"
"A Mine","4"
"A.C. Perham Quarry","3"
"A.H. George","1"
"A.P. Hill School","3"
"A.T. & Minnis Mine","1"
"Aalbeke, clay pit Kobbe (clay pit Vermeulen)","1"
"Abancay","8"
"Abandoned Altajme Quarries","1"
"Abandoned Quarry","19"
"Abandoned Quarry and Branch","1"
"Abandoned Quarry and Roadside","3"
"Abandoned Quarry, Bluff & Tunnel Mill","1"
"Abandoned Quarry, Bluff, and Tunnel Mill","2"
"Abandoned Quarry, Clifty Creek","5"
"Abandoned Quarry, Laurel Cave Section","4"
"Abbeline Mine","1"
"Abbok Park","1"
"Abbots Hollow","1"
"Abbots Ripton","1"
"Abbott Peak","8"
"Abe Lincoln Mine","1"
"Abele Spur","70"
"Abenab Mine","7"
"Aberdeenshire","2"
"Aberfoyle Mine","1"
"Abitibi Greenstone Belt","2"
"Abner Marshall Farm","1"
"about 25 miles NE of Aquia Creek","18"
"above Big Salmon Lake","1"
"above Boha","2"
"above Chavat Church","2"
"above Kaurinda[617.5]","2"
"above Mathias Pt, Potomac River","3"
"above Oi Marai","3"
"Above Perry South CG","1"
"above Popes Creek, Potomac River","4"
"above Rairua","2"
"Above Refugio Citelli","2"
"above Summit camp","1"
"Abra Wolsey","2"
"Absareka Formation","1"
"ABU-02","1"
"ABU-06","1"
"ABU-08","1"
"ABU-11","1"
"ABU-14","1"
"ABU-16","1"
"ABU-17","1"
"ABU-26","1"
"Abu Bakar","1"
"Abundancia Mine","6"
"Abydos, Egypt","19"
"ABYMES","1"
"Academy Church","3"
"Academy for Global Citizenship","46"
"accretionary ridge south of Astoria Canyon","3"
"Ace-fay Mine","1"
"Ace of Diamonds Mine","14"
"Ace Of Diamonds Mine","3"
"Achant Garh","1"
"Achnaha Garden","1"
"Aci Catena","1"
"Acme mine","5"
"Acqua Acetosa","2"
"Across river downstream of Steelhead Falls","1"
"Actara","1"
"Acton Mine","1"
"Adaboroa","3"
"Adam's Brook","1"
"Adam Hebes Mine","1"
"Adams Brook","1"
"Adams Creek Field","1"
"Adams Hill Brook","2"
"Adams Mine","7"
"Adams Stone Quarry","1"
"Adare Basin","23"
"Adare Trough","125"
"Adda Ground","1"
"Addis","6"
"Addison Road","3"
"Adelaide Mine","8"
"Adelie Coast","1"
"Adervielle Mine","2"
"Adherentina midwayensis
 type locality","2"
"Adivoandelaka","2"
"Adobe Valley","1"
"Adriatic Sea - NW Brindisi","4"
"Adriatic Sea - S/SW Capo St. Maria di Leuca","2"
"Adriatic Sea - SW Gallipoli","4"
"Adun-Tschon","1"
"Adun Chilon Hills","8"
"Aduthurai","1"
"Advance Claim","1"
"Adventure Mine","2"
"Advocate","33"
"Aegean Sea - S Skopelos","4"
"Aegean Sea - SW Agion Oros","2"
"Aegean Sea - SW Skyros","6"
"Aeolian Buttes, Long Valley Caldera","6"
"Afar","58"
"Afrettara (115)","9"
"Africa","1"
"Afton Twp","1"
"AG","3"
"AG69-D19","22"
"AG69-D3","5"
"AG69-D4","9"
"Agia Varvara","2"
"Agios Andreas","3"
"Agios Constantinos","1"
"Agios Thomas","2"
"Agnew Meadow","1"
"Agnew Mine","1"
"Agnew Ni Deposit","1"
"Agrado","3"
"AGRI","70"
"Agriculture Site-Goose Creek (Corn field)","20"
"Agstone Quarry","1"
"Agua Fria Mine","1"
"Agua Rica project","1"
"Aguachile Mtn.","1"
"Aguas Calientes","1"
"Agulhas Plateau","21"
"Agustinas Mine","2"
"Ahata Makhan Singh","1"
"Ahata MoolChand No.1","1"
"Ahata MoolChand No.2","1"
"Ahata Thanedaran","1"
"Ahmad Block","1"
"Ahmed Town","1"
"Ahmeek Mine","9"
"Ahrnthal","1"
"Ahumada Mine","28"
"Aiguilles Rouges massif","1"
"AII-Block,","1"
"AII24-D2","2"
"AII24-D4","1"
"AII24-D5","5"
"AII32-D8 (Station 74)","1"
"Ailly Spainacien","1"
"Aïn El Aouda","1"
"Ain Kerma","1"
"Ainsworth peninsula - Seño Almirantazgo","5"
"Air-babouch","1"
"Air Laya pit","1"
"Airly Mine","30"
"airport runway-Nedge","1"
"Aishihik area","5"
"Ait Ahmane Mine","2"
"Aitken Cove","1"
"AJ Coyler Quarry","26"
"Ajanta Caves","1"
"Ajax Mine","9"
"Ajo District","2"
"Ajo Mine","1"
"Akadane","1"
"Akagi volcano","20"
"Akatani","1"
"Akatani Mine","1"
"Akbar Shaheed","1"
"Akenobe Mine","1"
"Aker","2"
"Akhmatovskaya Mine","9"
"Akland","1"
"Akram Park","1"
"Akram Park Sanda","1"
"Akri Pounda","17"
"Akroteri-caldera","5"
"Akuliarusiarsuup Kuua River","15"
"Akutan","343"
"Al-Badar","1"
"Al-Raqqa Site","6"
"Al Beere, Nile Trunk, Sudan","2"
"Al Hyat Mine","1"
"Al Khawd","1"
"Al Madad Park Colony","1"
"Al Wasta, north of Beni Suef, Nile Trunk, Egypt","1"
"Alabama Hills","7"
"Alabama River","5"
"Alabama River at county line","1"
"Alabama River at milepost 77.5","1"
"Alabama River at milepost 80","1"
"Alabama River between miles 70 and 71","6"
"Alabama River near Claiborne Bridge","17"
"Alabama River, near Gosport Landing","2"
"Alacran Mine","1"
"Alage basalt","1"
"Alaknanda and Bhagirathi Confluence","2"
"Alands Island","2"
"Alasca Mine","1"
"Alaska","8"
"Alaska Hwy","1"
"Alaska Mine","1"
"Alaska Peatland Experiment, Tanana River Floodplain","52"
"Alaskan Peatland Experiment","27"
"Alba Iulia","18"
"Albackhoved","16"
"Albani Hills","43"
"Albany core","85"
"Albany Quarry","21"
"Alberene Stone Division","1"
"Albergo Sorgente","1"
"Albericas","1"
"Alberoda","2"
"Albert Corlis Property","2"
"Albert James","6"
"Albert Mine","1"
"Albion Island","40"
"Albion Island Quarry","14"
"Albion Island Quarry ","1"
"Albion mine","1"
"Albion Range","15"
"Albion shaft","1"
"Albuquerque","1"
"Alcaparrosa Mine","1"
"Alchari","2"
"Alcoa Mine","1"
"Aldan Deposit","1"
"Aldeia do Eme","1"
"Aldeia Do Eme","1"
"Alder Island","1"
"Alderley-1","15"
"Aldrich Mine","1"
"Aldro","5"
"Alejandria Mine","1"
"Alesander Schaute mine","1"
"Aleutejo","6"
"Aleutian Arc","76"
"Aleutian Islands","1"
"Alexander Hills","9"
"Alexander Island","2"
"Alexander Mine","1"
"Alexandra Mine","3"
"Alexo Mine","1"
"Alexson Brook","1"
"Alfie's Elbow","17"
"ALFORD ESTATE","1"
"Alger #2 Mine","1"
"ALGERIA","25"
"Algoma","1"
"Algomah Mine","3"
"Ali Block","1"
"Ali Park","1"
"Ali Pura","1"
"Alia Town","1"
"Alibert Mine","1"
"Alicante Gulch","2"
"Alice Mine","2"
"Aljustrel","1"
"Allah Cooper Mine","5"
"Allah Wali Masjid","1"
"Allaire State Park C","16"
"Allaire State Park core # 2","48"
"Allalin Gabbro","14"
"Allchar","12"
"Allen Ranch","1"
"Allerton Park","54"
"Allies Mine","2"
"Allison Ranch Mine","1"
"Allmend Park","97"
"Allouez Mine","1"
"Alluiyv Hills","1"
"ALMA","2"
"Alma Hill","1"
"Alma Mine","1"
"Almaden","6"
"Almasu Mic De Munte","1"
"Almirez","2"
"Almklovdalen","4"
"Almodington Farm","16"
"Aloe Bay Field","2"
"Alona Bay","1"
"Along north shore of Kittiwake Lake","2"
"Along Panamerican Highway","1"
"Alp Munt","1"
"Alp Taspegn, Pt. 2357","1"
"Alpe Campolongo","1"
"Alpe Campolungo","2"
"Alpe Lercheltini","1"
"Alpe Ruschuna","4"
"Alpe Schwarzenstein","1"
"Alpi Alpusine","1"
"Alps","1"
"Alps Mine","1"
"Alsóhetény","16"
"Alsóhetenypuszta","25"
"Alsop Mine","1"
"Alta","1"
"Alta California Mine","1"
"Altai Mtns.","2"
"Altamana River at Doctortown","1"
"Altavilla Irpina","10"
"Alte Elizabeth Mine","1"
"Alte Hoffnung Gottes Mine","1"
"Alteo Pedroso","2"
"Alticry","1"
"Alto Da Varzea","2"
"Alto De Cruces Mine","1"
"Alto del Porrejón","1"
"Alto Do Giz","1"
"Alto Manoel","1"
"Alto Manoes","1"
"Alton Maughan Ranch","1"
"Altoona Mine","1"
"Altos Pochote Hill, SE flank","6"
"Altyn-tyube","6"
"Alum Bay","10"
"Alum King Mine","1"
"Alum Rock Canyon","2"
"Alunite Ridge","1"
"ALV1911","1"
"ALV1913","1"
"ALV1915","1"
"ALV2034","1"
"ALV3014","1"
"ALV4087","4"
"ALV4088","1"
"ALV4091","1"
"ALV4092","1"
"ALV4093","5"
"ALV4094","5"
"ALV4095","1"
"ALV4096","3"
"ALV4097","1"
"ALV4098","1"
"ALV4454","7"
"Alverson Prospect","1"
"Alwyns Kop","312"
"Am Rhine","1"
"Amacuro River","1"
"Amakdedulia Cove, Kamashak Bay","6"
"Amanda Lode claim","2"
"Amanda Mine","1"
"Amari Lode","1"
"Amaro Horst","15"
"Amasra, Turkey","4"
"AMAT05RR-01D","3"
"AMAT05RR-03D","3"
"AMAT05RR-04D","6"
"Amatignak","4"
"Amatrice Hill","1"
"Amazon","42"
"Amazon River","108"
"Ambalalehifotsy","3"
"Ambare","1"
"Ambatadrasaka","1"
"Ambatoasanoa","1"
"Ambatobe","1"
"Ambatofotsikely","25"
"Ambatofotsy","18"
"Ambatoharina","1"
"Ambatohasana","1"
"Ambatolahina","1"
"Ambatolahinanahary","1"
"Ambatomalaza","3"
"Ambatomena","1"
"Ambatosoratra","3"
"Ambdrijatova","1"
"Ambeau Mine","1"
"Amberg-auerbach Mine","1"
"Ambinanindrano","1"
"Ambinda","2"
"Ambindandrakemba","1"
"Ambindandrakomba","1"
"Ambo","2"
"Ambodiainana","1"
"Ambodibonara,","1"
"Ambodilaza","1"
"Ambodivoandelaka","4"
"Ambohibe","2"
"Ambohijanahary","1"
"Ambohijatova","2"
