"locality","count"
"James River, north of Burwell Bay","21"
"James River, southeast of Wakefield","12"
"Jamestown core","15"
"Jamila Abad","1"
"Jamshed Park","1"
"Janina Mine","1"
"Jansen Quarry","1"
"Japan Basin","43"
"Japan Sea","33"
"Japan Stope","1"
"Japarara","1"
"Jaqua Clara Melange","6"
"Jaqueto","1"
"Jaqui Spur","5"
"Jardin Mine","2"
"Jardine Peak","23"
"Jardinera No. 1 Mine","43"
"Jaron Cliffs","6"
"Jarosa Sierra Almagrera","1"
"Jaroso","1"
"Jaroso Canyon","7"
"Jarrow Coal Mine","1"
"Jarvis Island","2"
"Jas Roux","4"
"Jasper","23"
"Jassing","1"
"Jauguillo","1"
"Jawbone Canyon","1"
"Jaworzno Mine","2"
"Jay Gould Mine","1"
"Jct 1010 & 125","4"
"Jct 1021 & 125","1"
"Jct 1104 & 1302","2"
"Jct 125 & 1141","2"
"Jct 1302 & 1113","3"
"Jct 17 & 170","2"
"Jct 26 & 17","2"
"Jct 26 & Rte 90","2"
"Jct 90","4"
"Jct 905 & 123","3"
"Jct 920 & N836","3"
"Jct N73 & N641","1"
"Jct N73 & N714","1"
"Jct N76 & N714","3"
"Jct N84 & 123","1"
"Jct N92 & 100","5"
"Jct N920 & N923","1"
"Jct N932 & 25","5"
"Jct Rte 60 & 95","1"
"Jeddo Field","1"
"Jeddore Lake","1"
"Jefferson Freeway - KY155","2"
"Jefferson Freeway and KY 148","2"
"Jefferson Freeway and KY 149","1"
"Jefferson Gulch","2"
"Jefferson Island","1"
"Jefferson Park Apts, Rte 100, Scarsdale","2"
"Jeffersontown - I64 North","2"
"Jeffersontown - I64 South","1"
"Jeffrey Mine","32"
"Jeffrey Quarry","8"
"Jehial White Mine","1"
"Jemaa Lode","1"
"Jenks Mine","6"
"Jenner Beach","2"
"Jennifer mine","1"
"Jennifer Mine","2"
"Jensen mine","3"
"Jensen Quarry","2"
"Jerada","3"
"Jernigan Mill Creek","2"
"Jerusalem","55"
"Jesus Maria Mine","1"
"Jewel Tunnel","1"
"Jhuggian Shahabudin","1"
"Jia Moosa","1"
"Jim's Pond","5"
"Jinapsan Cave","606"
"Jingdezhen","21"
"Jinnah Colony","1"
"Jinnah Park","1"
"Jinny Hill Mine","1"
"Jisco mine","2"
"Jitotol","3"
"Jizerska Louka","3"
"Jo Dandy Mine","3"
"Joan Torres Mine","2"
"Joaquim Felicio","1"
"Jobs Point well","20"
"Jocao Mine","1"
"Joe Hill Mine","2"
"Joe Mountain","10"
"Joe Reynolds Mine","2"
"Joe Walters claim","1"
"Joel Sharpless Farm","3"
"Johann Schacht","1"
"johanngeorgenstadt","1"
"John B. Steele Crystal Mine","2"
"John Bessinger's property","1"
"John C. Lane Tract","2"
"John Day","97"
"john day river near clarno camp wheeler-grant co.","1"
"John Reed Mine","4"
"John Saul Mine","1"
"John W. Karch","10"
"John Whitlocks Pits","1"
"Johnnie Wash","2"
"Johns-Manville Quarry","1"
"Johns - Manville Mine","1"
"Johns Peaks","20"
"Johnson seamount group","1"
"Johnson Seamount group","1"
"Johnson Seamount Group","10"
"Johnson Talc Co. Mine","1"
"Johnsons Dock","48"
"Joinville-le-Pont","1"
"Jokuldalir","1"
"Jokulheimar-fissure","1"
"Jokulheimar hut","1"
"Jokulsa (125)","2"
"Jokulshofud (23A)","1"
"Jokyo","2"
"Jonas mine","1"
"Jones bank","2"
"Jones Mill","6"
"Jones Mine","5"
"Jones Quarry","1"
"Jones Tin Mine","2"
"Joppa","10"
"Joppa Hill","7"
"Joray Pull","1"
"Jordan Creek","1"
"Jordan Mine","9"
"Jordansmuhle","1"
"Josephine Creek","4"
"Josephine Mine","1"
"Joshua Tree National Park -- Science Permit JOTR-2017-SCI-003","38"
"Joujini Mtns.","1"
"Juá Quarry","3"
"Juan de Fuca Ridge","41"
"Juan De Fuca Ridge","143"
"Juan Fernandez Microplate","17"
"Juanita Mine","1"
"Juchlistock W Of Grimsel Bernese Oberland","1"
"Judd's Bridge","6"
"Juf","1"
"Jug Bay- Chris Swarth Boardwalk","16"
"Juipaardsville Estates","1"
"Julcani Mine","4"
"Julcani MIne","1"
"Juletoppane","6"
"Julia Fiske Mine","1"
"Julier pass","1"
"Jumbo Dome","4"
"Jumbo Extension Mine","1"
"Jumby Point","1"
"JUMBY POINT","1"
"Junction Mine","1"
"Junction Shaft","8"
"Jundee","1"
"Jungmaierhutte(Buchenau)","3"
"Junilla Claim","3"
"Junior mine","6"
"Juniper Creek","2"
"Juniper Green","2"
"Juno Mine","2"
"Jurua River","12"
"Juschakova","1"
"just above Watsons Point","2"
"just below Watsons Point","1"
"just east of Cooke Crossroads","4"
"just north of Givhans Ferry State Park","4"
"just northeast of Newton","9"
"just W of Lockhart Hwy and N of Cottonmouth Creek road","1"
"Just west of Cable Bay, south of Takawangha","4"
"just west of inters. N. rd. 28 - rd. 7713","6"
"Jutulhogget","7"
"Juurakko Quarry","1"
"K-1-81-HW-D10","7"
"K-1-81-HW-D11","9"
"K-1-81-HW-D12","11"
"K-1-81-HW-D13","4"
"K-1-81-HW-D14","7"
"K-1-81-HW-D15","12"
"K-1-81-HW-D15-A","2"
"K-1-81-HW-D15-B","1"
"K-1-81-HW-D15-C","2"
"K-1-81-HW-D15-D","1"
"K-1-81-HW-D16","7"
"K-1-81-HW-D16-A","3"
"K-1-81-HW-D17","24"
"K-1-81-HW-D17-A","6"
"K-1-81-HW-D17-B","2"
"K-1-81-HW-D18","7"
"K-1-81-HW-D18-A","2"
"K-1-81-HW-D18-B","1"
"K-1-81-HW-D19","22"
"K-1-81-HW-D19-A","3"
"K-1-81-HW-D19-B","2"
"K-1-81-HW-D19-C","1"
"K-1-81-HW-D19-D","1"
"K-1-81-HW-D19-E","1"
"K-1-81-HW-D19-F","1"
"K-1-81-HW-D19-G","1"
"K-1-81-HW-D19-H","1"
"K-1-81-HW-D19-I","1"
"K-1-81-HW-D20","25"
"K-1-81-HW-D20-A","3"
"K-1-81-HW-D20-B","1"
"K-1-81-HW-D20-C","1"
"K-1-81-HW-D20-D","2"
"K-1-81-HW-D20-E","1"
"K-1-81-HW-D21","11"
"K-1-81-HW-D21-A","1"
"K-1-81-HW-D21-B","1"
"K-1-81-HW-D21-C","2"
"K-1-81-HW-D22","22"
"K-1-81-HW-D22-A","9"
"K-1-81-HW-D23","23"
"K-1-81-HW-D23-A","1"
"K-1-81-HW-D23-B","1"
"K-1-81-HW-D23-C","1"
"K-1-81-HW-D23-D","1"
"K-1-81-HW-D23-E","1"
"K-1-81-HW-D24","12"
"K-1-81-HW-D24-A","2"
"K-1-81-HW-D24-B","3"
"K-1-81-HW-D24-C","1"
"K-1-81-HW-D25","10"
"K-1-81-HW-D25-A","3"
"K-1-81-HW-D25-B","1"
"K-1-81-HW-D26","13"
"K-1-81-HW-D26-A","4"
"K-1-81-HW-D26-B","1"
"K-1-81-HW-D27","32"
"K-1-81-HW-D27-A","3"
"K-1-81-HW-D27-B","2"
"K-1-81-HW-D27-D","1"
"K-1-81-HW-D27-E","2"
"K-1-81-HW-D27-F","2"
"K-1-81-HW-D27-G","3"
"K-1-81-HW-D27-H","1"
"K-1-81-HW-D27-I","1"
"K-1-81-HW-D27-J","1"
"K-1-81-HW-D28","11"
"K-1-81-HW-D28-A","2"
"K-1-81-HW-D28-B","1"
"K-1-81-HW-D29","25"
"K-1-81-HW-D29-A","3"
"K-1-81-HW-D29-B","1"
"K-1-81-HW-D29-C","2"
"K-1-81-HW-D29-D","1"
"K-1-81-HW-D30","13"
"K-1-81-HW-D30-A","3"
"K-1-81-HW-D30-B","1"
"K-1-81-HW-D30-D","1"
"K-1-81-HW-D30-E","1"
"K-1-81-HW-D31","10"
"K-1-81-HW-D31-A","4"
"K-1-81-HW-D31-B","1"
"K-1-81-HW-D9","9"
"K-Block","1"
"Ka Doke Dat Mine #7 B","1"
"Kaaden","1"
"Kaap Valley","1"
"Kaapsche Hoop","4"
"Kaapuna Flow","1"
"Kabamby","2"
"Kabua Gorge - Lokithok","3"
"Kadar Mountain","2"
"Kadogami Mine #2","1"
"Kaersut","3"
"Kafveltorp","2"
"Kaguyak","257"
"Kahlleite","45"
"Kahn Mine","1"
"Kaibana","1"
"Kaiserstuhl","1"
"Kaiserthal","1"
"Kajiya","1"
"Kakanda","1"
"kakanui mineral breccia","1"
"Kakanui mineral breccia","1"
"Kakdi Nadi","6"
"Kakucs","3"
"Kakuma","1"
"Kalakol","55"
"Kalamitsi","2"
"Kalangadoo 1","2"
"Kalbar-1","9"
"Kaldbakur","4"
"Kaldrananes","7"
"Kalima Mine","3"
"Kalisalzbergwerk","1"
"Kaliwerk - Neider-sachsen","1"
"Kalkar Quarry","4"
"Kalkfontein","1"
"Kalksteinbruch Olsa","1"
"Kalmar Castle","14"
"Kalongwe","1"
"Kalser-tauern","1"
"Kalstad Mine","2"
"Kalstadheien","1"
"Kaltim Prima coal mine","1"
"Kamari Rock","2"
"Kamb Ice Stream","292"
"Kambalda Mine","1"
"Kambfjoll (18)","2"
"Kambove","4"
"Kambsfell","1"
"Kami-taga","1"
"Kamikane","1"
"Kamishak Bay area near McNeil Head","6"
"Kamloops Lake","5"
"Kammern","1"
"Kamolandy","7"
"Kamoto","1"
"Kamran Block","1"
"Kamran Park","1"
"Kan'ei","9"
"Kanab Canyon","1"
"Kanab, Utah","5"
"Kanaga","87"
"Kanaka Crater","1"
"Kane-Atlantis","34"
"Kane Fans","91"
"Kane Lake","4"
"Kanei","3"
"Kangala Mine","2"
"Kangean island","1"
"Kangerdluarsuk","44"
"Kangerkluarsuk","1"
"Kangerkuarsuk Fjord","1"
"Kangerliasuk","2"
"Kangerluarsuk","1"
"Kangersussuaq","190"
"Kanjankollai","1"
"Kanji House","1"
"KANPUR","1"
"Kansanshi Mine","1"
"Kao Pipe","1"
"Kapaa Quadrangle","1"
"Kapadvanj Quarry","1"
"Kapfenberg","1"
"Kapikaya Section","8"
"Kapoho Flow, Cape Kumukahi","1"
"Kapolei Regional Park","1"
"Kapospula","13"
"Kapp Hansteen","8"
"Kapulehu Flow","23"
"Kara-tschagir Mtn.","3"
"Kara Dag","1"
"Karachi Plaza, Keer Kalan","1"
"Karakumy Desert","1"
"Karanga Mine","1"
"Kararfret Mine","2"
"Kararfvet","2"
"Kararfvet Mine","1"
"Karasawa Mine","1"
"Karastadir","1"
"Karavatu","1"
"Karavatu-bobo","1"
"Karazawa Mine","1"
"Karch Stone Co. Quarry","3"
"Kareem Block 1","1"
"Kareem Block 2","1"
"Kargrufven","1"
"Karim Nagar","1"
"Karim Park","1"
"Karim park Block No. 3","1"
"Kariz","2"
"Karloning Pegmatite","1"
"Karmabad","1"
"Karnasurt Mtn.","4"
"Karo Hills","6"
"Karombo","2"
"Karowe mine","1"
"Karterwald","1"
"Kasatochi","191"
"Kashmiri Gate","1"
"Kashwitna Creek","1"
"Kasmere Lake","2"
"Kaso Mine","3"
"Kasolo","2"
"Kasolo Mine","5"
"Kassa Island","2"
"Kastor Claim","3"
"Kasuga Mine","1"
"Kataboi Bore Hole","3"
"Katahdin Iron Works Mine","1"
"Katakali ","2"
"Katcha Nisbat Road","1"
"Katemcy","1"
"Katerina Mine","1"
"Katerina Mine, Radvanice","2"
"Katherine Mine","8"
"Katla","2"
"Katni","1"
"Katrinka Mine","2"
"Katthammarsvik 3","1"
"Katybell Ridge","1"
"Katzenbuckel","2"
"Kauffman & Beauchamp locality KB-3","2"
"Kaula Gulch","2"
"Kausern","1"
"Kautenbach Mine","3"
"Kaveltorp","2"
"Kavik Creek","5"
"Kawadzu Mine","4"
"Kawarage","1"
"Kawato Mine","1"
"Kawinda","1"
"Kawukawa Coal Mines","1"
"Kaxdorp","1"
"Kayak Beach","4"
"Kayak Mountain anticline; tributary W of Nanushuk River","1"
"Kayou volcano","2"
"Kaza-oba","1"
"Kazbek Mtn.","1"
"KB","13"
"Kearny Mine","1"
"Kearsarge","1"
"Kearsarge Mine","1"
"Keauhou","8"
"Kechin Abeda, Atbara/Tekeze, Ethiopia","1"
"Kedabek","2"
"Kedykverpakhk Mountain","1"
"Keeley Mine","6"
"Keeley Silver Mine","5"
"Keen Mountain mine","3"
"Keenan mine","1"
"Keewagama Lake","1"
"Kef Semmah Guergour","1"
"Kefalos","2"
"Keia","1"
"Keian","1"
"Keikamspoort","1"
"Keilberg distal foreslope, Namibia","14"
"Keilberg inner platform, Namibia","84"
"Keilberg upper foreslope, Namibia","24"
"Keith Quarry","18"
"Kejulik","8"
"Keller Peninsula","67"
"Kelley's Island","13"
"Kelly Bank Mine","4"
"Kelly Lake","1"
"Kelly Mine","23"
"Kellyvale","1"
"Kelowna","1"
"Kelsey Lake Mine","1"
"Kemmlitz Deposit","1"
"Kemp Prospect","3"
"Kenawyer Mine","1"
"Kenchi Stop","1"
"Kendall Terrace","3"
"KENDEACE HILL","1"
"Kennecott Mine","1"
"Kennedy","25"
"Kenneth Quarry","3"
"Kennicant Mine","4"
"Keno Hill","5"
"Kenora Mine","1"
"Kenoyer Mine","1"
"Kensico Dam Quarry","1"
"Kent County core","31"
"Kent Gap","11"
"Kentland Quarry","1"
"Kentucky County Stone Co. #5","15"
"Kentucky County Stone Co. #9 Hayden","11"
"Kentucky Stone #1 Owsley","44"
"Kentucky Stone Co. Quarry","1"
"Kentucky Stone Stephenson Quarry","5"
"Kenya Kyanite Co.","1"
"Kerguelen","51"
"Kerguelen Plateau","3"
"Kerlingafjoll-base","1"
"Kerlingardalur (65)","1"
"Kerlingarfjall volcano, Snaefellsnes","1"
"Kerr Addison Claim","1"
"Kerr Addison Mine","1"
"Kerr Farm","1"
"Kerteminde Marl Cliff","6"
"Keszthely-Fenékpuszta","93"
"Keta Ano","1"
"Ketton, Rutland","18"
"Keweenaw Bay","30"
"Keweenaw Peninsula","1"
"Keweenaw Point","1"
"Keyes #1 Mine","2"
"Keyes Mine","16"
"Keyes Mines","10"
"Keystone","2"
"Keystone Mine","1"
"Keystone Trappe Rock Quarry","5"
"Keyworth","11"
"KG 41 locality","1"
"Khairpur 9 core","12"
"Khalilovo Deposit","1"
"Khan Colony","1"
"Khan Mtns.","4"
"Khandivali","8"
"Kharak","1"
"Khari-Nadi","9"
"Khawaja Bihari Darbar","1"
"khibinsky mtns. kola pen.","1"
"Khibiny Massif","6"
"Khibiny Tundra","29"
"Khokhar Rd No.1","1"
"Khokhar Rd No.2","1"
"Khokhar Rd No.3","1"
"Khokhar Rd No.4","1"
"Khorgo","1"
"Khorixas","1"
"Khuda Bakhsh Park","1"
"Khuren Dukh ","1"
"KI75-1","25"
"Kiangsi","1"
"Kiawah Island","2"
"Kibblehouse Quarry","5"
"Kickapoo Sand & Gravel Corp.","12"
"Kickinghorse Valley","1"
"Kidd Creek mine","4"
"Kidd Creek Mine","4"
"Kidder Lane","1"
"Kidney Bank surrounding Matterhorn Pinnacle","2"
"Kidwell (uncertain)","1"
"Kiirunavaara","2"
"Kikaseki Formosa","1"
"Kilahannechaur paleoseismic site","32"
"Kilauea","253"
"Kīlauea","146"
"Kilauea-lki","1"
"Kilauea ","1"
"Kilauea caldera","6"
"Kilauea Iki","12"
"Kilauea Iki Crater","2"
"Kilauea Iki, Hawaii","1"
"Kilbride","1"
"Kilinito","1"
"Killarney 1","2"
"Killer Kopf","3"
"Killifreth Mine","1"
"Kilspindie","2"
"Kilui-kalon","1"
"Kimages Creek","16"
"kimball ledge (songo pond) albany","1"
"Kimberley mine dumps","18"
"Kimberly-Clark test well","1"
"Kimberly Mine","1"
"kimki ridge and its associated fault","1"
"Kimki_Ridge","5"
"Kimposan","1"
"Kimzey Calcite Quarry","4"
"Kinaldie","2"
"Kincaid mine","1"
"KINDACE PT","1"
"King's Cave Quarry","2"
"King's Creek Marsh (Nature Conservancy Site)","16"
"King Beaver Mine","1"
"King Island","6"
"King Lithia Mine","4"
"King Mine","8"
"King Philip Cave","1"
"King Point","21"
"King Scott","9"
"Kingdon Mine","6"
"Kingman & Palmyra","58"
"Kingman Reef","24"
"Kingman Reef National Wildlife Refuge","30"
"Kingman Reef Notch","1"
"Kings Bridge","2"
"Kings Gate Amesbury","2"
"KINGS HILL","1"
"Kings Hill North,Cirencester","4"
"Kings Kanyon Pegmatites Larimer Co.","1"
"Kings Mtn.","1"
"Kingsgate","8"
"Kingsmill below Jamestown","1"
"Kingston Mtns.","1"
"kingston off rt. 53","1"
"Kingston Range","2"
"Kington Down","1"
"Kinkle's Quarry","5"
"Kinshasa","98"
"Kinsman Notch","1"
"Kinta Valley","1"
"Kintore Open Cut","5"
"Kipawa Alkalic Complex","2"
"Kipos","2"
"Kipps Beach","1"
"Kipwa","2"
"Kirghese Steppes","1"
"Kirinyaga","1"
"Kiritehere","24"
"Kiritimati","16"
"Kiritimati Atoll","1"
"Kirk Branch","2"
"Kirk Mine","1"
"Kirkinriola House","2"
"Kirkland Field","3"
"Kirkland Lake","3"
"Kirschofen","1"
"Kiruna","1"
"Kirunavaara","4"
"Kirunavara","2"
"Kirwa Wolfram Mine","3"
"Kishangarh","1"
"Kiska","21"
"Kiska Volcano Area","2"
"Kisonthegy","1"
"Kistualda","1"
"Kit Hill Mine","1"
"Kitchekan mine","1"
"Kitoy River","1"
"Kiura mine","1"
"Kiura Mine Oita Pref.","1"
"Kiurazawa Mine Ashio-machi Kamitsuga-gun Tochigi Pref.","1"
"Kixmiller Bros.","1"
"Kjolur","4"
"Kjorholt Mine","1"
"KK-01-S4-RD5","1"
"KK-84-04-28-RD24","1"
"KK2-83-NP-D1","8"
"KK2-83-NP-D10","1"
"KK2-83-NP-D11","5"
"KK2-83-NP-D12","2"
"KK2-83-NP-D13","3"
"KK2-83-NP-D14","9"
"KK2-83-NP-D15","1"
"KK2-83-NP-D16","4"
"KK2-83-NP-D17","10"
"KK2-83-NP-D2","4"
"KK2-83-NP-D3","6"
"KK2-83-NP-D4","5"
"KK2-83-NP-D6","11"
"KK2-83-NP-D7","7"
"KK2-83-NP-D9","3"
"KK76-01-S6-RD7","2"
"KK801010-D01","1"
"KK801010-D02","7"
"KK840425-RD01","1"
"KK840425-RD02","1"
"KK840425-RD03","1"
"KK840425-RD04","2"
"KK840428-D09","1"
"KK840428-PD14","6"
"KK840428-RD24","1"
"KK840428-RD25","2"
"KK840428-RD27","5"
"KK840428 STA28","3"
"KK840428 STA29","2"
"KK840428 STA30","7"
"KK840428 STA32","6"
"KK840428 STA40","1"
"Kladno","1"
"Klagenfurt aeroport","1"
"Klamath River","1"
"Klamath River District","1"
"Klamath_Knoll_Seep","8"
"Klappa Kampit Mine","1"
"Klappa Klampit Mine","1"
"Kleftiko","3"
"Kleggasen","3"
"Klein Spitzkopje","47"
"Klein Steinheim","1"
"kleine spitzkopje","2"
"Kleinthal","1"
"Klery Creek","1"
"Klif","1"
"kliphius","1"
"Klipulei","1"
"Klofgil (98)","1"
"Klondike Mine","3"
"Klovsteinen","2"
"Knaben, Norway","1"
"Knappach Toll","1"
"Knappenberg","1"
"knappenwand","2"
"Knappenwand","9"
"Knappenwand Sulzbachtal","2"
"Knappenwand Untersulzbachthal","4"
"Knez mine","2"
"Knezevich Rock","5"
"Knife River mine","7"
"Knight","1"
"Knight Mine","4"
"Knight Quarry","1"
"Knightdale","1"
"Knippa Quarry","7"
"Knittelfeld","2"
"Knittenfeld","1"
"Knob Point","1"
"Knockerdown","1"
"Knokke Well","2"
"Knouseley","1"
"KNOWSLEY PARK","1"
"Knowsley South","1"
"Ko-mine","1"
"KOA","1"
"Kobe Kyoto Pref.","1"
"Kobokobo Pegmatite","1"
"Kochi Ishitoya-machi Heinuki-gun Iwate Pref.","1"
"Koehimichen Loeche","1"
"Koehler Tunnel","1"
"Koganzan","1"
"Kogl","1"
"Kohistan, Pakistan","309"
"Kohlwald Mine","1"
"Koingnass","4"
"Kökenydomb","174"
"Kokiselei","3"
"Kokkini Spilia","1"
"Kokko Mine","1"
"Kokomo Creek Stone Co.","10"
"Kokscha Valley","1"
"koksin","1"
"Koktscha","2"
"Kol'skiy Poluostrov","5"
"Kola","1"
"Kola peninsula","1"
"Kolarsky Vrch Mine","1"
"Kolbeinsey Ridge","3"
"Kollafjordur","7"
"Kollergraben","3"
"Kollergraben Binnenthal","1"
"Kolomoki Creek","5"
"Kolonne","7"
"Kolu Ghar","1"
"Kolwezi Mine","6"
"Komati Fm","157"
"Kombat Mine","5"
"Kommern","1"
"Kon-Tiki Nunatak","129"
"Konchen","5"
"Konder Massif","4"
"Kondoolka Station","1"
"Kondoolka Stn.","1"
"Kong Plong","3"
"Kongen's mine","1"
"Kongen's Mine","2"
"Konigsberg","2"
"Kop Duglari","1"
"Kop Krum Mine","1"
"Kopperston mine","3"
"Koralpe","1"
"Korarfoit","1"
"Korath Range","7"
"Korkora","1"
"Korot","1"
"Kortemark, Desimpel clay pit","3"
"Kosakow","1"
"Kosco Peak","2"
"Koseinitz","1"
"Kosemnitz","1"
"Koskullskulle","1"
"Kosmos Battletown Quarry","18"
"Kostálov","2"
"Kostic prospect","1"
"Kot Abdullah Shah","1"
"Kot Khwaja Saeed New","1"
"Kotaki","1"
"Kotelny Island","13"
"Kotli Ghasi","1"
"Kotli Peer Abdul Rehman","1"
"Koudian","1"
"kovdor kola pen.","1"
"Kowala Quarry","27"
"Koye","2"
"Kozano Mujan","2"
"KPS","1"
"Kraemer Island","1"
"Krafla","2"
"Krafla-Leirkunkur vt spatter","1"
"Krafla cald.-NE rim","2"
"Krafla caldera-W rim","1"
"Krafla caldera-W rim fall","1"
"Krall Crags","1"
"KRAMAKU","1"
"KRAMAKU RIVER","1"
"Kramat Pulai Perok","1"
"kramer dep. kern co.","1"
"Kramer deposit","1"
"Kranzberg Mine","1"
"Krasna Hora","1"
"Kratzenberg Habachtal","1"
"Kraubath","1"
"Kraut Rocks","5"
"kremnica slovensko","1"
"Krepoljin","1"
"Kreuzberg","1"
"Kreuzlipass Vorderrheintal","1"
"Kriegat Falu Gruvor","1"
"Kriki (87)","1"
"Kriki (88)","1"
"Kriki (89)","1"
"Krimml Rauris","1"
"Krishan Nagar, Islampura","1"
"Krishnarajanegara","2"
"Kristineberg","1"
"Kritz Rakonitz","1"
"Krokvat 1","2"
"Kroměříž-Hradisko","16"
"Kroner Lake","44"
"Kroner Lake crater","1"
"Kropback Quarry","1"
"Kruisriver Mine","2"
"Kruslymayer Mtns.","1"
"Krysuvik","1"
"Kualanui Point","1"
"Küblis, Schanielabach","1"
"Kubra Mosque","1"
"Kuehl Lake","2"
"Kuhschacht","1"
"Kukak","10"
"Kula","1"
"Kullands 1","1"
"Kumch'on-Chochun mine","2"
"Kuna Butte","2"
"Kundalilla deposit","1"
"Kunene region","3"
"Kunibert Mine","1"
"Kunimiyama Mine","2"
"Kunlun Mts","5"
"Kunlun Mts.","1"
"Kupferberg","1"
"Kupfergrube Sadisdorf Schmiedeberg","1"
"Kuppen 3","1"
"KUR-11","1"
"KUR-13","1"
"KUR-5","1"
"KUR-8","1"
"KUR-9","1"
"Kuratani Mine","1"
"Kuratomi Mine","1"
"Kurauchi-obira Mine Ogata-machi Ono-gun Oita-ken","1"
"Kuroshibu Hot Spring","1"
"Kurouchi-obira Mine","1"
"Kurprinz Friederich August Freiberg","1"
"Kurrvatitz","1"
"Kurupung Stream","1"
"Kushalbagar","1"
"Kushino Mine","1"
"Kuvunavaara","1"
"Kuykendall #1 Jamison","28"
"Kvanefjeld","1"
"Kvanefjeld Tunnel","8"
"Kwanza Basin","1"
"Kwatisore Peninsula","2"
"KY-79 roadcut","5"
"KY 1694 - N of Harrods Creek","1"
"KY 53 - South Side Harrod's Creek","3"
"Kyanite Mining Co.","1"
"Kyje","2"
"Kyle Canyon","157"
"Kyle Hills","8"
"Kyra/Lies","6"
"Kyurazawa Mine","1"
"Kyurazawa Mine Shinsanjin-ko","1"
"L-37","6"
"L-39","5"
"L-40","6"
"L-Block Garden Town","1"
"L-Block Jauhar Town","1"
"L ESPERANCE","1"
"L IVROGNE RIVER","1"
"L`etoile Mine","1"
"L11-81-WF-11","1"
"L11-81-WF-12","1"
"L11-81-WF-13","1"
"L11-81-WF-16","4"
"L11-81-WF-17","8"
"L11-81-WF-22","8"
"L11-81-WF-23","1"
"L11-81-WF-26","9"
"L11-81-WF-3","4"
"L11-81-WF-4","7"
"L11-81-WF-5","13"
"L11-81-WF-8","1"
"L12-80-WF-5-6","1"
"L12-80-WF-5-7","1"
"L12-80-WF-D4","20"
"L13-82-WF-14","1"
"L13-82-WF-2","6"
"L13-82-WF-3","2"
"L2-79-NC-S1","48"
"L2-79-NC-S1-D1","6"
"L2-79-NC-S2","15"
"L2-79-NC-S2-D1","1"
"L2-79-NC-S3","25"
"L2-79-NC-S3-D1","1"
"L2-79-NC-S4","42"
"L2-79-NC-S4-D1","1"
"L2-86-NC-12D","1"
"L2-86-NC-14D","1"
"L2-86-NC-16D","1"
"L2-86-NC-17D","1"
"L2-86-NC-22D","1"
"L2-86-NC-23D","1"
"L3-80-NP-3D","18"
"L3-80-NP-4D","17"
"L3-80-NP-5D","7"
"L3-80-NP-7D","13"
"L3-86-NC-10D","5"
"L3-86-NC-11D","3"
"L3-86-NC-12D-1","2"
"L3-86-NC-15D","3"
"L3-86-NC-2D","1"
"L3-86-NC-3D","3"
"L5-85-NC-10D","1"
"L5-85-NC-11D","1"
"L5-85-NC-12c/D","1"
"L5-85-NC-13D","3"
"L5-85-NC-23D","2"
"L5-85-NC-29D","20"
"L5-85-NC-2D","3"
"L5-85-NC-32D","2"
"L5-85-NC-33D","4"
"L5-85-NC-34D","11"
"L5-85-NC-35D","6"
"L5-85-NC-36D","7"
"L5-85-NC-38D","4"
"L5-85-NC-39D","4"
"L5-85-NC-3D","2"
"L5-85-NC-40D","2"
"L5-85-NC-41D","1"
"L5-85-NC-42D","4"
"L5-85-NC-43D","1"
"L5-85-NC-44D","2"
"L5-85-NC-45D","3"
"L5-85-NC-6D","2"
"L5-85-NC-7D","3"
"L5-85-NC-8D","2"
"L6-85-NC-31D","1"
"L6-85-NC-36D","8"
"L8-76-NP-D1","16"
"L8-82-NP-2","3"
"L8-82-NP-3","5"
"L8-82-NP-4","38"
"L9-78-HW-D2","26"
"La Aliada Mine","1"
"La Alondra","1"
"La Argentina","1"
"La Beaume","2"
"La Besseirolle Near Aussone","1"
"La Bin E Point","1"
"La Blanco Mine","1"
"La Bocana (Puerto Morelos, Mexico)","2"
"LA BORIE","1"
"La Buena Suerte Mine","2"
"La Bufa Mine","6"
"La Calera quarry","1"
"La Carrasca Quarry","21"
"La Chance quarry","1"
"la chance quarry brunswick","1"
"La Chuqui Mine","2"
"La Cloche Mtns.","1"
"La Colorada Mine","1"
"La Combe De La Sale","6"
"La Corne Mine","1"
"La Cortodera","1"
"La Entrada","1"
"La Estanzuela","1"
"La Floquerie","1"
"LA FORCE BRIDGE","1"
"La Gardette","10"
"LA GRANDE ANSE","1"
"La Grande Mine","1"
"La Houve","1"
"La Jara Creek Catchment","1584"
"La Limena Mine","2"
"La Llana Creek","1"
"La Lucette","2"
"La Luna-1 Well","2"
"La Luz Mine","2"
"La Madera Mtn.","1"
"La Madrelena Mine","1"
"La Marambo","1"
"LA MEDAILLE","1"
"La Meurthe","1"
"La Milagrosa","26"
"La Modera","1"
"La Mojina Mine","1"
"La Negra Deposit","1"
"La Oriental Mine","1"
"La Panega","1"
"La Plata","22"
"La Plata-2","3"
"La Plata Cnty Rd 318 Roadcut","1"
"La Platosa Mine","1"
"La Pointue- Lower level","1"
"La Pointue- upper Level","1"
"LA POMPE ROAD","2"
"La Purisima River","5"
"La Rastra exploration block","1"
"La Reina Mine","1"
"La Resbalosa","1"
"La Réunion, Piton de la Fournaise, Piton Chisny","27"
"LA RONDE","1"
"La Rose Mine","3"
"La Rose Vein Cobalt","1"
