"primary_location_name","count"
"Adeliaide Park","1"
"Adelphi Lode Mine","1"
"Adjacent to Johnson Creek","7"
"Adler Hollow Mine","1"
"Adler Mine","1"
"Adm Mine","2"
"Admiralty Island","51"
"Admiralty Mine","2"
"Adolphsgluck Mine","4"
"Aduddell Mine","2"
"Adventure Lake","1"
"Adventure Lease","2"
"Adventure Mine","2"
"Adwa-Adigrat road","1"
"Aegean Sea","4"
"Aegina","16"
"Aegina Island","2"
"Aeroplane","7"
"Aeroplane Group","11"
"Aerxiang","2"
"Aetna Extension Mine","1"
"Aetna Mine","11"
"Aetna Mine, Silver Bow Workings","2"
"Aetna Mine, Star Tunnel","1"
"Aetna Mine, Star Workings","2"
"Afanasenkov Seamount","5"
"Afar Depression","72"
"Africa Base Metal Mines","1"
"African Manganese Company","4"
"African Manganese Company Mine","1"
"African Mine","3"
"African Mine Co Mine","5"
"African Mineral Company Mine","2"
"Ag Ni Company Mine","2"
"agano","3"
"Agassiz Mine","1"
"Agate Peak","54"
"Agathla Peak","1"
"Agathla Peak, Diatreme","9"
"Agaunico Mine","4"
"Agean Sea","1"
"Aggenys Mine","1"
"Aggijjat, Durban Island","16"
"Aghbar mine","2"
"Agnes-Jenny Gold Prospect","1"
"Agnes Bell Mine","1"
"Agnes Mine","1"
"Agore Mine","1"
"Agoudal Mine","1"
"AGRICULTURE SOILS ","1"
"Agrigan","64"
"Agrigento Mines","1"
"Agua","1"
"Agua Botada Mine","1"
"Agua Fria Mine","4"
"Agua Fria Mine No. 2","1"
"Aguacate Mine","1"
"Aguachile Mine","4"
"Aguanico Mine","1"
"Aguarda Mine","1"
"Aguas Blancas","2"
"Aguilar Mine","1"
"Aguita Fria","1"
"Agung","7"
"Ah Phu mine","3"
"Aheim Olivine Quarry","1"
"Ahinchote Mine","26"
"Ahlat","1"
"Ahmad Abad Mine","3"
"Ahmeek Mine","9"
"Ahtanum Creek","1"
"Ahu Moa","3"
"Ahuichote Mine","1"
"Ahumada Mine","98"
"Ahuriri","1"
"Aibetsu Mine","5"
"Aidarbak Nickel Deposit","4"
"Aikhal mine","1"
"Ailsa Craig","1"
"Airstrip Crater","1"
"Aishihik area","25"
"Aite Alaun Mine","2"
"Aitken Nunatak","2"
"Aitutaki","5"
"Ajax","1"
"Ajax Mine","22"
"Ajax Or Independence Mine","1"
"Ajo","1"
"Ajo Copper Mines","1"
"Akagame Mine","3"
"Akan","1"
"Akaroa","15"
"Akasaba","1"
"Akatani Mine","5"
"Akatore Mine","1"
"Akchatau mine","3"
"Akche-Spasskiy Mine","1"
"Akenobe Mine","51"
"Akenobe Mine, Deisen Vein","1"
"Akenobe Mine, Hagashiyama Vein","1"
"Akenobe Mine, Sekiei Vein","1"
"Akenobe Mine, Vein 7","1"
"Akilia island","1"
"Akilia Island","1"
"Akobo Basin","2"
"Akron Cement Companys Quarry","1"
"Aktash Mine","1"
"Akula Plain","1"
"Akutan","1"
"Akutan V.","22"
"Al Azraq basin","1"
"Al Azraq Basin","2"
"Al Brummell Mine","1"
"Alabama Hills","7"
"Alabama Mine","1"
"Alacram Mine","2"
"Aladdin Mine","1"
"Alaid","3"
"Alakai","2"
"Alakhnanda","3"
"Alamagan","18"
"Alameda Mine","1"
"Alamein Range","13"
"Alamo Fen","4"
"Alanwood Iron Mine","1"
"Alarcon Rise","362"
"Alarcon Rise Ja Sit Vent Field","1"
"Alarcon Rise Meyibo Vent Field","2"
"Alarcon Rise Meyibo vents","8"
"Alarcon Rise rhyolite dome","1"
"Alarcon Rise west flank","5"
"Alarcon Seamounts","46"
"Alaska Industrial Co.","1"
"Alaska Marble Co Quarry","5"
"Alaska Marble Quarry","1"
"Alaska Mine","16"
"Alaska Shamrock Marble Co Quarry; Shamrock Claims","2"
"Alaska Treasure Consolidated Company Mine","1"
"Alaska:KodiakIslands","96"
"Alaskan-Mexican Mine","2"
"Alba Guyot","4"
"Alban Hills","13"
"Albatroz do Meio","2"
"Albemarle Island","2"
"Albemarle L. And Z. Co.","1"
"Albemarle Mine","3"
"Albemarle Sound, NC","33"
"Alberni","125"
"Alberston Quarry","1"
"Albert Lea Lake","1"
"Albert Manufacturing Company Quarries","3"
"Albert Mine","5"
"Alberta (Mine ?)","1"
"Alberta Mine","1"
"Albertine Mine","1"
"Albion Mine","25"
"Albion Quarry","1"
"Albion Silver Mine","1"
"Alboran Island","11"
"Alboran Sea","3"
"Alborn Fen","3"
"Albro Mine","1"
"Albuen","3"
"Alburquerque Mine","2"
"Alcade Mine","1"
"Alcalde Gold Mine, 400 Ft. Depth.","1"
"Alcaparrosa Mine","15"
"Alcatraz","4"
"Alcedo","7"
"Alcoa Mine","9"
"Alcoa Quarry","1"
"Alcorn Mine","1"
"Aldama Volcanic Field","10"
"Aldan Uplift","1"
"Alder Creek Tributary","1"
"Alderman's Quarry","1"
"Aleancen Mine","1"
"Aleck Quarry","1"
"Alejandro Selkirk Island","1"
"Aleuten Trench","28"
"Aleutian arc","567"
"Aleutian Basin-Bering Sea","4"
"Aleutian trench","9"
"Aleutian Trench","27"
"Alexander-Knox Quarry","2"
"Alexandria Quarry","1"
"Alexandrine Mine","2"
"Alexandrovskaja Mine","1"
"Alexo Nickel Mine","1"
"Alfie's Elbow","7"
"Alfred Bog","1"
"Alfred Mine","2"
"Algoma","2"
"Algoma District","1"
"Algoma Iron Mines","1"
"Algomah Mine","6"
"Algonquin Mine","9"
"Algonquin Mine, Algonquin Vein","4"
"Alhambra Mine","5"
"Alianza","3"
"Alianza Mine","1"
"Alibagh Quarry","1"
"Alibert Mine","1"
"Alicante Mine","1"
"Alice","1"
"Alice Bell Mine","1"
"Alice Glory Hole","1"
"Alice Mine","21"
"Alice Ray Mine","4"
"Alice Shaft","1"
"Alician Mine","1"
"Alima River","1"
"Alis cone","6"
"Alison Smt., South Fiji Basin","1"
"Aliva Mine","1"
"Alkali Lake","1"
"All Nations Claim Mine","1"
"Alla Mine","1"
"Allamoore Talc District","1"
"Allan Hills","12"
"Allan Mountains, ID","3"
"Allatoona Mine","1"
"Allchar","2"
"Allegan Bog","10"
"Alleghany","11"
"Allegheny Co.","6"
"Allen Bauxite Mine","1"
"Allen Complex","2"
"Allen Furr Mine","1"
"Allen Mica Mine","2"
"Allen Mill Spring Run","4"
"Allen Mine","3"
"Allen Quarry","7"
"Allen Quarry, New Opening","1"
"Allenhead Mine","2"
"Allens Mine","1"
"Allens Quarry","1"
"Allequash","36"
"Allequash Creek","1"
"Allequash Lake","1"
"Alley Spur","17"
"Allied Chemical Company Mine","1"
"Allihies Mine","1"
"Allison Lake","1"
"Allison Mine","1"
"Allison Ranch","2"
"Allison Ranch Mine","1"
"Allman Cove Mine","1"
"ALLOS","120"
"Allouez Mine","4"
"Allouez Mine #1","2"
"ALLU","17"
"Alma Mine","11"
"Almaden","4"
"Almaden Mine","11"
"Almadenyos Mine","1"
"Almands Mine","1"
"Almedia Mine","1"
"Almerindo Mine","1"
"Almy Mine","6"
"Alno Complex","4"
"Alno Island","40"
"along road to La Palma","1"
"Along street from Roque do Pico to Lajes do Pico (Transversal), 1 m thick lavaflow, small outcrop quarry like","1"
"Along street from Roque do Pico to Lajes do Pico (Transversal), 2 m thick lavaflow","1"
"Alp Munt","1"
"Alp River","3"
"Alp Taspegn, Pt. 2357","1"
"Alpamina Mine","2"
"Alpe Arami","17"
"Alpha FZ","32"
"Alpha Mine","7"
"Alpha Property","2"
"Alpha Ridge","6"
"Alpine Mine","6"
"Alpine Tungsten Mine","1"
"Alps Mine","2"
"Alps Mountains","21"
"Alstead Mine","1"
"Alsted Mica Mine","1"
"Alt Mine","2"
"Alta Argent Mine","2"
"Alta Claim","1"
"Alta de Florestra mine","1"
"Alta Gracia Vein","1"
"Alta Mine","9"
"Altai","2"
"Altamaha","10"
"Altamaha Formation","1"
"Altamaha River","65"
"Altar District","5"
"Altar Mine","1"
"Alte Alaun Mine","1"
"Alte Brugge Mine","2"
"Alte Constanz Mine","1"
"Alte Gluchsrad Mine","1"
"Alte Hoffnung Gottes Grube","7"
"Alte Mahlscheid Mine","1"
"Alte Weide Mine","3"
"Altenberg","7"
"Altenberg Mine","31"
"Altenburg Quarry","2"
"Altgluck Mine","1"
"Althec Modesti Mine","1"
"Altitude Mine","1"
"Altman Mine","1"
"Alto Cajazeiras mine","2"
"Alto Da Pedra Bonita Mine","1"
"Alto Do Giz Mine","1"
"Alto Do Sangradao Quarries","1"
"Alto dos Quintos mine","1"
"Alto Ligonha Mine","1"
"Alto Mine","3"
"Alton Gold Mine","1"
"Altoona Mine","3"
"Alturas Gold Hill Mine","1"
"Alturas Mine","1"
"Alum Camp Mine","11"
"Alum Mtns. Mine","1"
"Alum Springs Mine","1"
"Alutu","1"
"Alvin Barris Mine","1"
"Alvin Netherwood Quarry","1"
"Am. Cyan. Co. Mine","1"
"Amagorsa Mine","2"
"Amalgamated Tin Mines Of Nigeria","3"
"Amalia Mine","1"
"Amami Sankaku Basin","8"
"Amandus Flacher Mine","1"
"Amandus Mine","1"
"Amatignak Canyon","46"
"Amatitlan","2"
"Amax Mine","17"
"Amayapampa Mine","2"
"Amazon Claim","1"
"Amazon Mine","5"
"Amba Dongar Carbonatite Complex","9"
"Ambalada Peak","26"
"Ambasaguas Mine","2"
"Ambitle Island","10"
"Amblaux Massif","25"
"Ambon","2"
"Ambrim Island","1"
"Ambrose Mine","7"
"Ambrym","3"
"Amchitka Island","1"
"Amchixtan Chaxsxii","6"
"Ameise Mine","4"
"Amelia Mine","24"
"Amelia Mine, Lower Level","1"
"Amerdingen Quarry","6"
"America Mine","2"
"America Mine, 100 Foot Level","1"
"America Vein, 100-200 Foot Level","1"
"America Vein, 100 Foot Level","1"
"American Antimony Company Mine","2"
"American Antimony Mine","2"
"American Bell Mine","6"
"American Black Slate Co Upper Quarry","2"
"American Boy Mine","1"
"American Claim","1"
"American Copper Mine","1"
"American Cyanimid Co. # 4 Mine","1"
"American Eagle Mine","26"
"American Falls","1"
"American Feldspar And Mining Co Quarry","3"
"American Flag Lode","1"
"American Flag Mine","10"
"American Fork","1"
"American Fork Mine","4"
"American Girl Mine","5"
"American Granite Co Quarry","1"
"American Mine","34"
"American Mineral Products Company, Woodbury Quarry","2"
"American Nettie Mine","4"
"American Pioneer Mine","1"
"American Potash Co. Mine","2"
"American Quarry #1","1"
"American Quarry #2","1"
"American River","8"
"American Rutile Company","1"
"American Sister Mine","1"
"American Sisters Mine","4"
"American Standard Asphalt Company","1"
"American Tunnel","15"
"American Tunnel Mine","2"
"American Vein","2"
"Amethyst Mine","4"
"Amherst Lake","1"
"Amianthus Mine","2"
"Amicalola Quarry","2"
"Amie Mine","9"
"Amigo Mine","1"
"Amigos Mine","1"
"Amir Chah Prospects","1"
"Amitsoq Gneiss","14"
"Amlia Fracture Zone","28"
"Amma Jade Property","1"
"Ammonoosuc Volcanics","28"
"Amolanas Mine","1"
"Amphibole Peak","20"
"Amphitheater Pond","3"
"Amphlett Mine","3"
"Ampujaco","2"
"Amulet Mine","2"
"Amutara Mine","4"
"Ana Maria Claim","6"
"Anaconda-Britania Mine","1"
"Anaconda Company Mine","1"
"Anaconda Company Mine F-33","1"
"Anaconda Company Mine F-9","1"
"Anaconda Copper Co., Phosphate Deposits","1"
"Anaconda Copper Mining Co., Framway Vein","1"
"Anaconda Mine","22"
"Anadonda Mine","1"
"Anahi mine","1"
