"primary_location_name","count"
"Deep Pine Lake","1"
"Deep Shaft Colliery","1"
"Deep Shaft Colliery, Mammoth Vein","1"
"Deep Shaft Colliery, Primrose Vein","2"
"Deep Stream","1"
"Deer","1"
"Deer-Trail Monitor Mine","1"
"Deer Canyon","1"
"Deer Creek Mine","2"
"Deer Island","3"
"Deer Isle","1"
"Deer Lake","2"
"Deer Lodge Basin","11"
"Deer Park Mine","18"
"Deer Park Quarry","1"
"Deer Peak","2"
"Deer Print Lake","1"
"Deer Trail Mine","4"
"Deerhorn Mine","1"
"Deertrail","2"
"Defense Mine","4"
"Defiance Mine","31"
"DeGoes Cliff","1"
"Degraff Mine","1"
"Dehesa","1"
"Dehnel's Pit","1"
"Dehnels Pit","2"
"DeHoop Plain","11"
"Deihilfe Mine","1"
"Deirdre's garden","1"
"Deison Quarry","1"
"Dekalb","1"
"Del Carmen Mine","1"
"Del Monte Mine","6"
"Del Puerto Canyon","25"
"del Salto","1"
"Delamar Mine","26"
"Deland Quarry","1"
"Delank Mine","1"
"Delank Quarry","1"
"Delano Granite Works Quarry","1"
"Delano Quarry","3"
"Delaware Aquaduct","1"
"Delaware Mine","48"
"Delfina Mina","1"
"Deliçay","3"
"Delight Quarry","3"
"Delilah Guyot","5"
"Delinde Mine","1"
"Delker Mine","2"
"Della S. Mine","7"
"Dellen quarry","1"
"Dellwood Knolls","9"
"Dellwood Seamount","12"
"Delmonte Mine","5"
"Delphos Stone Company Quarry","2"
"Delta Bluff","1"
"Delta Island","1"
"Delta Lake","3"
"Delta Mine","11"
"Delta Peak","5"
"Delta So","7"
"Delton Mine","1"
"Demaria Peak","3"
"Demas Bluff","1"
"Deming Lake","13"
"Demiohin volcano","1"
"Demix Quarry","27"
"Democrat Basin","2"
"Democrat Basin and Swan Basin","1"
"Democrat Mine","3"
"Den Hartog Peak","3"
"Dendi 2","7"
"Dengjigacha","2"
"Denison Rivulet","1"
"Denning (?) Mine","1"
"Denning Mine No 2","1"
"Denny Mine","5"
"Denton Mine","20"
"Denver-Golden Oil And Uranium Company Mine","2"
"Denver Basin","59"
"Denver Mine","4"
"Dependable","23"
"Derby Lake","6"
"Deremo-Snyder Mine","3"
"Deremo Mine","1"
"Dernear Mine","1"
"Des Moines River","3"
"Descabecado Chico","2"
"Deschamps Mine","1"
"Deschutes Basin","413"
"Deschutes Formation","1"
"Deschutes River at Benham Falls","1"
"Deschutes River at La Pine","1"
"Deschutes River below Wikiup Reservoir","1"
"Deschutes River near Biggs","1"
"Deschutes River near Madras","1"
"Descubridora Mine","8"
"Descubridora Vein","1"
"Deseado Massif","51"
"Deseret Mine","1"
"Desert Mine","1"
"Desert Queen Mine","1"
"Desert Silver Claim","1"
"Deshongs Quarry","6"
"Desloge Diggins","1"
"Desloge Mine","3"
"Desourdy Quarry","13"
"DesRoches Nunataks","30"
"Detroit","1"
"Detroit Copper Mine","1"
"Detroit Copper Mining Co. Mines","1"
"Detroit Mine","8"
"Detroit Mine, Arizona Lode","1"
"Detroit seamount","144"
"Deus Me Livre Mine","1"
"DeValls Bluff","1"
"Devil's Lake","2"
"Devil Gate Limestone","1"
"Devils Canyon","3"
"Devils Canyon Tributary","4"
"Devils Chair, south of Belt Creek","1"
"Devils Elbow Deposit Mine","1"
"Devils Garden","100"
"Devils Gate Mine","1"
"Devils Kitchen","1"
"Devils Lake","4"
"Devon Great Consols Mine","5"
"Devon Island","2"
"Devothy Mine","1"
"Dewey Mine","12"
"Dewitt And Ferguson Mine","1"
"DeWitt Dike","1"
"DeWitt Nunatak","9"
"Dewitt Quarry","1"
"Dexter Limestone Quarry","3"
"Dexter Mine","2"
"Dexter No. 6 Claim","1"
"Dexter No. 7 Mine","27"
"Dhaulagiri Southwest Fault","45"
"Dhorpatan Fault","21"
"Di-Mix Quarry","1"
"Diablo Mine","6"
"Diablo Pass","2"
"Diamond Basin","1"
"Diamond Cave","1"
"Diamond Craters","173"
"Diamond Cross Mine","1"
"Diamond Head","10"
"Diamond Hill","39"
"Diamond Hill Mine","1"
"Diamond Hill mines","1"
"Diamond Jo Quarry","116"
"Diamond Jo Quarry, Near","1"
"Diamond Joe Quarry","4"
"Diamond Lake","2"
"Diamond Match Co Quarry","1"
"Diamond Mica Claim","15"
"Diamond Mica Mine","4"
"Diamond Mine","3"
"Diamond Rock","1"
"Diamond Valley Cone","3"
"Diamond Willow Mine","1"
"Diamondfield Triangle Mine","1"
"Diana Complex","2"
"Diana Complex Mine","1"
"Diana Mine","1"
"Diancangshan ","21"
"Dianne Mineral claims, Noranda Exploration Co.","4"
"Dias Padre Mine","1"
"Diavik mine","3"
"Dickel Mine","1"
"Dickens Mine","1"
"Dicker Willem carbonatite complex","8"
"Dickersons Mine","6"
"Dickey's Mine","2"
"Dickey Claim","1"
"Dickson Mine","1"
"Dicky Claim","2"
"Diego de Almagro","6"
"Diehl's Gold Mine","1"
"Diepenlinchen Mine","9"
"Dier Quarry","2"
"Diesse mine","1"
"Dietz Ridge","20"
"Dificultad Mine","9"
"Dike","4"
"Dike In Upper Carboniferous Strata","1"
"Dike, Almost 100 Ft Wide","1"
"Dikme Basin","1"
"Dillard Vein","2"
"Dillon's Ridge","3"
"Dillon Nickel Deposit","12"
"Dimple Lake","2"
"Diner Mine","1"
"Ding Dong Mine","1"
"Dingle Burn","1"
"Dingle Swamp","9"
"Dingo Dongo Cave","2"
"Dingo Rock Hole","5"
"Dinning Mine","1"
"Dinning Prospect","3"
"Dinorwic Lake","4"
"Dione Prospect","1"
"Diosa Mine","1"
"Dirt track 600m NW of Casa da Queimada de Baixo, 150m E of road junction","1"
"dirt track at Cabeo da Fonte, scoria cone, old quarry","1"
"Discovery Bay","41"
"Discovery Bluff","5"
"Discovery Mine","1"
"Discovery Ridge","135"
"Discovery Seamounts, Hess Rise","1"
"Dish Hill","1"
"Dishman Prospect","1"
"Disko Island","43"
"Dismal Buttress","4"
"Dismal Ridge","26"
"Disposish Claim","5"
"District Of Kussinsk Works","2"
"Divide","1"
"Divide Mine","5"
"Divisader Mine","1"
"Divisadero Mine","3"
"Dix Island","1"
"Dixie Bauxite Mine","3"
"Dixie Comstock","85"
"Dixie Granite Co","1"
"Dixie Lease Mine","1"
"Dixie Meadows","3"
"Dixie Mine","11"
"Dixie Mines ?","1"
"Dixie No. 3 Mine","1"
"Dixon Lake","1"
"Dixon Mine, Dixon Lode","1"
"Dixons Quarry","5"
"Djbel Nador","1"
"Djrbashian volcano","3"
"DK-7","1"
"DML","90"
"Dobbins Claim","2"
"Dobs Linn","8"
"Dobson","1"
"Dobson Creek","2"
"Dobson Mine","3"
"Dobu Island","1"
"Doce river mouth","36"
"Doctor Guaico Mine","1"
"Doctor Jack Pot Mine","2"
"Dodds West site","1"
"Dodge Claim","2"
"Dodling Hill Quarry","1"
"Dodson Gravel Mine","1"
"Doe Hill Diatreme","13"
"Doe Valley Mine","2"
"Dog's Eye","5"
"Dog's Head","2"
"Dog Lake, Davis Lake pluton","3"
"Doggis Group","1"
"Dogo Island","4"
"Dogwater Mine","2"
"Dolco Ath Mine","1"
"Dolcoath Claim","1"
"Dolcoath Lode","1"
"Dolcoath Mine","40"
"Dolirio Mine","1"
"Dollar Hide Mine","1"
"Dollar Mine","2"
"Dolliba Mine","1"
"Dolly Mine","1"
"Dolly Varden","23"
"Dolly Varden Mine","4"
"Dolomite Quarry","4"
"Dolores Iii Mine","1"
"Dolores Mine","29"
"Dolores Mine (Near)","1"
"Dolores Mine, Beta Vein","1"
"Dolores Mine, Delta Vein","1"
"Dolores Mine, Refugio Vein, 600 Foot Level","1"
"Dolores Mine, Regla Vein","1"
"Dolores Mine, Salvadora Vein","1"
"Dolores Mine, Tapona Vein","3"
"Dolores Mine, Tapona Vein, 350 Level","6"
"Dolores Mine, Tapona Vein, 350 Meter Level","1"
"Dolores prospect","1"
"Dolphin Spur","1"
"Dolson Pit","1"
"Dolyhir quarry","1"
"Dome Mine","4"
"Dome Mines","1"
"Dome Rock Copper Mine","8"
"Dome Rock Mine","3"
"Dome within North Pass Caldera (Buffalo Dome)","4"
"Dome within North Pass Caldera (North Dome)","2"
"DOMENON INF","5"
"DOMENON Inf Petit","9"
"DOMENON SUP","15"
"Domingo Mine","2"
"Dominica","583"
"Dominica Island","3"
"Dominion Mine","5"
"Dominion Minerals Quarry","1"
"Don Castro","2"
"Don Francisco Mine","1"
"Don Pedro Mine","1"
"Don Quixote Seamount","25"
"Donahue Prospect","1"
"Donaldson","1"
"Donaldson Mine","1"
"Donaldsons Mine","1"
"Donally Mine","1"
"Dondonderry Quarry","1"
"Dong Jian Shan","1"
"Dong Peng Shan","1"
"Dong Xiao Shan (basalt plug)","85"
"Dongchuan Mine","1"
"Donghu","2"
"Dongshancun","2"
"Donna Anna Mine","1"
"Donni Tuff","1"
"Donnoly Mine","1"
"Donohue Quarry","1"
"Donora Mine","1"
"Donovan Claims","1"
"Donson Molay Mine","1"
"Doolittle Mine","2"
"Doomfontein Mine","2"
"Dora Mine","5"
"Dore Lake Complex","1"
"Doris Mine","1"
"Dorn Creek","1"
"Dorn Mine","4"
"Dorothea Mine","1"
"Dorothea Slate Quarry","1"
"Dorothy Claim","1"
"Dorothy Mine","5"
"Dorr Mine","1"
"Dorrel Rock","7"
"Dorsey Deposit","1"
"Dorsey Mine","2"
"Dos Cabezas","1"
"Dos Estrellas Mine","1"
"Dos Marias Mine","1"
"Doshinkubo Orebody","1"
"Dossena Mine","2"
"Dossett Farm","2"
"Dot Mine","1"
"Dothard Prospect","1"
"Dotsero","1"
"Double doughnut, North Rift Zone 3","1"
"Double Opening Mine","1"
"Double Rainbow mine","1"
"Double Rainbow Mine","11"
"Double Standard Mine","1"
"Double Strike Mine","1"
"Dougherty Marble Quarry","1"
"Doughnut shaped cone, southern end Peggy Ridge","1"
"Doughnut west of the NWLSC ridge","1"
"Doughnut, North Rift Zone 1","2"
"Doughnut, North Rift Zone 2","1"
"Douglas (Walton) Copper Deposits","1"
"Douglas Hill Mine","10"
"Douglas Island","2"
"Douglas Mine","7"
"Douglas Quarry","1"
"Doumer Island","1"
"Dove","1"
"Dover Andalusite Mine","1"
"Dover Iron Mine","1"
"Dover Magnetite","16"
"Dover Mine","9"
"Dovers Hills","2"
"Dowara","3"
"Dowlais And Cyfarthfa Iron Works","1"
"Down South","4"
"Downfall Mine","1"
"Doyle & Boon Quarry","1"
"DOZ mine","1"
"Dr. Moultons Quarry","2"
"Draggruvan Mine","1"
"Dragon's Back Seamount","6"
"Dragon's Eye","5"
"Dragon Hill Mine","1"
"Dragon Mine","21"
"Dragon’s Back Seamount","1"
"Dragons Lair Neve","2"
"Dragoon Mine ?","4"
"Drake","1"
"Drake Chrome Mine","1"
"Drake Ice Fall","7"
"Drake Nunatak","11"
"Drake Passage, Off Antarctic Peninsula (N coast)","1"
"Drake Passage, Off Antarctic Peninsula (W coast)","30"
"Drake Passage.","4"
"Drakes Creek at Scottsville Road","2"
"Drakeswells Mine","1"
"Drakewalls Mine","5"
"Drakewells Mine","6"
"Dranoniveilomo","5"
"Dranouli","2"
"Drayton Island","1"
"Dream Island","1"
"Dredgeman","1"
"Dreikonigstern Mine","1"
"Drennau Quarry","1"
"Dresser Barium Mine","1"
"Dresser Industries Mine","3"
"Dresser Industries Quarry","2"
"Dresser Mine","1"
"Dresser Quarry","4"
"Drew Bug Mine","1"
"Drew Mine","10"
"Drewsey Formation","1"
"Driekop Mine","1"
"Drifted Snow No. 2 Quarry","2"
"Driggin Mine","1"
"Driggith Mine","6"
"Droujba Kimberlite","3"
"Druid Mine","5"
"Druim Fada","1"
"Drumlummon Mine","4"
"Drummond","1"
"Drury Ridge","18"
"Dry Canyon","1"
"Dry Fork Mine","1"
"Dry Gill Mine","13"
"Dry Nickel Mine","6"
"Drygill Mine","1"
"DSDP Hole 205, South Fiji Basin","1"
"DSDP Hole 285, South Fiji Basin","1"
"Du-Toits-Pan Mine","23"
"Du Toit Pan Diamond Mine","9"
"Du Toits Pan Mine","10"
"Du Toitspan","2"
"Dubbins Prospect","1"
"Dubbo Dist","1"
"Dubi Coal Mine","1"
"Dublon Island","30"
"Dubois area","1"
"Dubuque Tunnel","1"
"Duck","1"
"Duck Creek","6"
"Duck Island","2"
"Duck Lake","5"
"Duck pond","2"
"Duck Pond","3"
"Duck Pond Blue Hole","6"
"Duck/Manoomin","3"
"Ducktown","10"
"Ducktown District","31"
"Ducktown Mine","5"
"Ducktown Mines","3"
"Duckwater/McClure Section","30"
"Dudley Canal","4"
"Dudley Prospect","1"
"Duffin Mine","1"
"Duffin Mine (?)","1"
"Duffy ","1"
"Dugas Gold Mine","1"
"Duggan Mine; Manga-Chrome Mine","6"
"Duglia","2"
"Duke's Quarry","1"
"Duke's Tarn","1"
"Duke Mine","1"
"Dulces Nombrers Mine","1"
"Dulces Nombres Mine","1"
"Dulcinea Mine","3"
"Dulcinia mine","1"
"Dulin Bauxite Co., Reichart Shaft","1"
"Dulin Mine","3"
"Dulude Quarry","1"
"Duluth Complex","11"
"Duluth Complex?","1"
"Duluth Crushed Stone Quarry","3"
"Duluth Gabbro Complex","1"
"Duluth Gabbro, Base Of","1"
"Duma No.2 Claim","1"
"Duma No.4 Claim","1"
"Dumarehe","1"
"Dumbell Mt Pluton","9"
"Dump Lake","5"
"Dump Lucky Mine","1"
"Dump Shaft","1"
"Dunbar Head","22"
"Dunbar Ridge","4"
"Dunbarton Quarry","4"
"Duncan And Hague Mine","1"
"Duncan Hill Pluton","18"
"Duncan Island","1"
"Duncan Mine","6"
"Duncan Number 1 Mine","2"
"Dundenaoer","2"
"Dunderberg Mine","6"
"Dune Bayan Nuur","1"
"Dune Lake","3"
"Dunedin Volcanic Complex","117"
"Dunferline Mine","1"
"Dunham Lake","2"
"Dunite","2"
"Dunka River Pits","21"
"Dunkeldik","92"
"Dunkelsteinerwald","8"
"Dunkin Mine","21"
"Dunkirk Mine","1"
"Dunlop Island","2"
"Dunn's Mt Or American Quarry","2"
"Dunn Glacier","1"
"Dunn Lake","2"
"Dunn Quarry","1"
"Dunnellon Phosphate Mines","1"
"Dunns Lake","2"
"Dunraine Mines","1"
"Dunton Gem Mine","23"
"Dunton Mine","1"
"Dunton Quarry","10"
"Duntori's Limestone Quarry","1"
"Duparc Rocks","6"
"Duparquet Lake","4"
"Duplin River","1"
"Dupont Mine","4"
"Dupont Prospect","1"
"Duquesne-Patagonia","1"
"Durand Mine","1"
"Durangite Vein","8"
"Durangite Vein (100 Yds. From)","1"
"Durangite Vein (E Pit)","7"
"Durangite Vein, (E Pit)","2"
"Durangite Vein, (Middle Pit Breccia","2"
"Durangite Vein, (Middle Pit)","6"
"Durangite Vein, (N End Of W Pit)","1"
"Durangite Vein, (Sw End Of)","9"
"Durangite Vein, (Sw End, W Pit)","2"
"Durango Volcanic Field","170"
"Duranio Da Urgeirica Mine","1"
"Duranium Mine","1"
"Durant Mine","3"
"Durgy And Yancey Mine","2"
"Durgy Mine","2"
"Durham Clay Pit","1"
"Durham Clay Pit Mine","3"
"Durham Mine","1"
"Durham Quarry","10"
"Durkin Shaft","1"
"Duschane Hill Quarry","1"
"Duschene Quarry","1"
"Dusky","32"
"Dusky Guyot, Walvis Ridge","4"
"Dust Devil Mine","1"
"Dustin Island","6"
"Dutch Creek Mine","1"
"Dutch Creek Sandstone","1"
"Dutch Island","1"
"Dutch lake","1"
"Dutchman Mine","2"
"Dutoitspan kimberlite","25"
"Dutoitspan Kimberlite","10"
"Dutoitspan Mine","16"
"Dutton Phosphate Co mine","2"
"Dwarf Cypress Swamp","36"
"Dwight East","12"
"Dwyer Lake","1"
"Dwyer Quarry","1"
"Dwyka Tillite","1"
"Dyche Mine","1"
"Dyer Mine","2"
"Dyer Point","3"
"Dyer Quarry","9"
"Dyers Claim","1"
"Dyers Hill Mine","2"
"Dying Quivers","3"
"Dyke in Murray Creek Dyke Swarm","6"
"Dyment Island","4"
"Dyne Mine","1"
"Dyrdal Peak","33"
"Dysart Shaft","1"
"Dyson Mine","2"
"Dzema Peak","3"
"Dzhalindin Deposit","2"
"Dzungarian Alatau","25"
"E-End of Lomba Grande, on the road, topmost flow","1"
"E-flank of Mafra/Sete Cidades volcano, Sao Miguel","1"
"E-Part of central serreta 'crater'","2"
"E Andean Cordillera","1"
"E Bangor Consolidated Co Quarry","1"
"E Dorset Italian Quarry","1"
"E flank Heck Seamount #3","1"
"E Franklin St at Varsity Theatre, Chapel Hill, NC 27514, USA","5"
"E L Cord Mine","1"
"E Mesa Techachales cone","1"
"E of Pico das Faias, at geodetic point 301m high above sea level","1"
"E of Rapanui","4"
"E of Ribeirinha, at road junction  with Rua da Igreja, lava flow outcrop (2 m thick)","1"
"E of Salas & Gomez","2"
"E of Tacarigua","1"
"E of Terceira","4"
"E wall","3"
"E Z Mine","11"
"E. Colusa Mine, Ella Vein, 700 Ft. Level","1"
"E. Deerfield Quarry","5"
"E. Mata","9"
"E. P. Russell Farm, Big Injun Well No. 1","1"
"E. Yucatan Scarp","1"
"E.A. Eastman Mica Prospect","1"
"E.B. Alvord And Companys Quarry","1"
"E.E. Smith Mine","2"
"E.H. Fourt Mine","3"
"E´Formigaz bank","8"
"E1","2"
"Eadie Island","14"
"Eadie Mine","1"
"Eagel River","1"
"Eagle","47"
"Eagle's Nest dike","1"
"Eagle And Blue Bell Mine","4"
"Eagle Bird Lode","2"
"Eagle Bird Mine","5"
"Eagle Claim","3"
"Eagle Cliff Mine","1"
"Eagle Crag Mine","1"
"Eagle Hawk Union Company Mine","1"
"Eagle Lake","6"
"Eagle Mine","55"
"Eagle Mtn. Mine","1"
"Eagle Nest Lake","1"
"Eagle Picher Mine","8"
"Eagle Picher Mine No. 1","2"
"Eagle Plain Basin","2"
"Eagle Plains","1"
"Eagle Property","1"
"Eagle Quarry","3"
"Eagle Rock Fissure","6"
"Eagle Rock Mine","2"
"Eagle Rock Quarry","1"
"Eagle Scythe Stone Co.","2"
"Eagle Shaft","1"
"Eaglebrook Mine","1"
"Eaglehawk Reef","1"
"Eagles Lake","1"
"Eagles Lake Bog","2"
"Earea Dam","2"
"Early Bird Mine","11"
"Early Bird Prospect","2"
"Early Bluff","5"
"Early Islands","8"
"Early Morning Mine","4"
"Earn Hills","5"
"Earn Mountian","5"
"Earnshaw Quarry","1"
"Easley Mine","1"
"East-Central Alaska","2"
"East-Vulcan Mine","1"
"East (Vulcan?) Mine","1"
"East {mountain}","4"
"East African Rift","67"
"East Antarctica Ice Sheet (South Pole)","1"
"East Azores Fracture Zone, dive 403","12"
"East Beacon","1"
"East Blanco Depression","10"
"East Branch Passumpsic River","1"
"East Butte Stock","7"
"East Calhoun Mine, Wood Vein, 583 Level","1"
"East Camp Bird Mine","1"
"East Canada Creek (Manheim) Dike","1"
"East Channel","2"
"East Chestnut Hill Mine","2"
"East Colusa Mine","11"
"East Creek","3"
"East Crooked Lake","6"
"East Deerfield Quarry","24"
"East Earn Hills","5"
"East Eifel Volcanic Field","3"
"East Elrod Mine, Alcoa Mg. Co.","1"
"east flank of Joao de Castro","2"
"East Fork Poplar Creek","38"
"East Fork San Gabriel River Heaton Flat","1"
"East Fork San Gabriel River narrows","1"
"East Grayrock Mine","1"
"East Greyrock Mine","1"
"East Groin","10"
"East Humboldt Range","62"
"East Kemptville Mine","2"
"East Kemptville Tin Mine","1"
"East Kemptville, Davis Lake pluton","3"
"East Kitluk Basin 1","1"
"East Kitluk Basin 10","1"
"East Kitluk Basin 11","1"
"East Kitluk Basin 2","1"
"East Kitluk Basin 3","1"
"East Kitluk Basin 4","1"
"East Kitluk Basin 5","1"
"East Kitluk Basin 6","1"
"East Kitluk Basin 7","1"
"East Kitluk Basin 8","1"
"East Kitluk Basin 9","1"
"East Lake Okoboji","1"
"East Lamar Pit","1"
"East Manihiki","1"
"East Manihiki/Rakahanga","1"
"East Mata","17"
"East Mine","1"
"East Molokai","28"
"East Moulton Mine","1"
"East Netta Mine","1"
"East Notaway Mine","2"
"East of Cabeco do Bois, on the street (Transversal), Scoria cone 30 m diameter","1"
"East of Kulm Ridge Deep","1"
"East of Missoula","1"
"East of Road 502, scoria cone Pico do Gaspar, scoria and phenocrysts","1"
"East of Shatsky Rise, NW Pacific","1"
"East Pacific Mine","3"
"East Pacific Rise","1666"
"East Peak","1"
"East Peak Road","1"
"East Pit","1"
"East Pond 4","2"
"East Pool mine","1"
"East Pool Mine","4"
"East Prospect Mine","1"
"East Quarry","2"
"East River","149"
"East River at Almont","1"
"East River pump house","1"
"East River Watershed","4"
"East Santa Cruz Basin fault system","9"
"East Shelby","1"
"East shore, Zimovia Straight","1"
"East Shorthair Creek","2"
"East side of Hurricane Ridge, northeast of Bluefield, Virginia","1"
"East Snake Plain","1"
"East Stone Gap Quarry","1"
"East Tay Mnt","5"
"East Tennessee Mine","6"
"East Tintic Development Co.","2"
"East Tintic Development Mine?","1"
"East Twin Lake","8"
"East Union Mine","3"
"East Wake Island","2"
"Eastburns Quarry","1"
"Easter Is. Ridge.","1"
"Easter Island","54"
"Easter microplate","4"
"Easter Microplate","3"
"Easter Microplate and Salas y Gomez Seamounts","311"
"Easter Mine","1"
"Easter Sunday Mine","2"
"Eastern Avalon Peninsula","1"
"Eastern Baker Lake subbasin","6"
"Eastern Blue Ridge","4"
"Eastern Blue Ridge; Austell","1"
"Eastern Blue Ridge; Tiger","1"
"Eastern Capelinhos","1"
"Eastern Comb Butte, 1989 IGC Field Trip Stop 6","1"
"Eastern Cordillera","7"
"Eastern Creek Prospect","649"
"Eastern District","1"
"Eastern inner calder wall of Serra de Santa Barbara, PRECALDERA lava","1"
"Eastern Inner Piedmont","2"
"Eastern Inner Piedmont; Ellendale","1"
"Eastern Inner Piedmont; Moravian Falls","1"
"Eastern Inner Piedmont; Stewart","1"
"Eastern Lau Spreading Center","40"
"Eastern Magnesia Talc Mine","1"
"Eastern Manus Rift","4"
"Eastern Metals Mine","1"
"Eastern Ngatoro Rift","7"
"Eastern Oregon","3"
"Eastern Pacific","13"
"Eastern Platform","39"
"Eastern Reef","1"
"eastern rift zone W’ São Jorge","3"
"Eastern shore, Gander Bay","1"
"Eastern Snake River Plain","3"
"Eastern Talc Co Mine","1"
"Eastern Transverse Ranges","3"
"Eastern Venezuela Heavy Oil Belt","1"
"Eastern Yukon","1"
"Easternmost tip of San Juan Island, Pybus Bay","1"
"Eastman Quarry","7"
"Easton-Pacific Mine","1"
"Easton Metamorphic Suite","12"
"Easton Mine","1"
"EastUmboRidge","3"
"Easy Lake","1"
"Eaton Canyon Deer Park Branch","1"
"Eaton Canyon falls","1"
"Eaton Canyon Tributary","1"
"Eaton Canyon wash","1"
"Ebb Tide","1"
"Eberhardt And Aurora Mine","2"
"Eberhardt Mine","2"
"Ebisu Mine","1"
"Eblen Hills","20"
"Ebony Ridge","12"
"Echinokawa Mine","2"
"Echo Bay mine","1"
"Echo Lake","17"
"Eckener Point","3"
"Eckner Point","1"
"Eclipse And Lee Mine","1"
"Eclipse Mine","2"
"Eclipse Mine, Muldiva Silver Mine","1"
"Ecton Hill Mine","3"
"Ecton Mine","15"
"Ecton Mine (Perlsiomer Mine)","1"
"Ecuador","1"
"Ed B. Claim","5"
"Ed Fletcher Jr. Mine","8"
"Ed. Farleys Mine","1"
"Eddy Lake","3"
"Eden Island","2"
"Eden Valley Mine","2"
"Edge of Slanted Lake Basin","1"
"Edge Rocks","1"
"Edgehill Mines","1"
"Ediacara Mine","1"
"Edison And Bird Mine","8"
"Edison Magnetite Deposit","3"
"Edna Mine","2"
"Edson And Bird Mine","9"
"Edson Hills","11"
"Eduardo Mine","2"
"Edwards","2"
"Edwards Islands","5"
"Edwards Mine","2"
"Edwardsburg Formation","2"
"Eells Quarry","1"
"Eenzaan 462","2"
"Efstadalsvatn","4"
"Egbe District","1"
"Ege Mine","4"
"Eggberg","1"
"Eggberg, Vordersäss","1"
"Eglazines Diatreme","27"
"Eglington","1"
"Eglinton Volcanics","13"
"Egnep Mine","7"
"EGORGEOU","27"
"Ehrenfriedersdorf","7"
"Eibenstock Granite Massif","5"
"Eichorst Island","1"
"Eickelberg Seamount","2"
"Eifel","7"
"Eighteen Lake","2"
"Eighth Level","1"
"Eighth March Vein","3"
"Einigkut Mine","4"
"Einstein Mine","5"
"Einsteins Quarry","1"
"Eisenkante Mine","1"
"Eisenkaule Mine","1"
"Eisenstein Mine","1"
"Eisenzecher Mine","6"
"Ekati mine","4"
"Eklutna","3"
"El'gygytgrn Impact Crater","1"
"El'Torusskiy mine","1"
"El Agua Mine","1"
"El Apache Mine","1"
"El Azabeche Mine","70"
"El Barzon Mine","1"
"El Boleo Mine","4"
"El Bonanza Mine","2"
"El Bote Mine","2"
"El Burro Mine","1"
"El Cabrestante Mine","1"
"El Calbario Mine","1"
"El Capitan","3"
"El Capitan Mine","5"
"El Captain Marble Claims","1"
"El Captain Marble Quarry","3"
"El Carmen Mine","16"
"El charquito","1"
"El Chichón","280"
"El Chico Mine","1"
"El Cid Mining Dist","11"
"El Cierro Mine","1"
"El Cobra Mine","1"
"El Cobre mine","2"
"El Cobre Mine","4"
"El Cobre Mines","9"
"El Coronado Mine","2"
"El Coyote Mine","3"
"El Cruce","1"
"El Cruzado Mine","1"
"El Diablo Mine","5"
"El Dorado Bar","1"
"El Dorado Copper Mine","1"
"El Dorado Mine","7"
"El Dorado South Mine","2"
"El Dorado South Mines","1"
"El Fierr Mine","1"
"El Fuerte Region","2"
"El Golfete","1"
"El Guanaco gold mine","2"
"El Guanco gold mine","3"
"El Hayat Mine","3"
"El Hoyo","9"
"El Indio gold mine","3"
"El Indio Mine","1"
"El Junquillo","1"
"El Leon Mine","1"
"El Lobo Mine","1"
"El Mochito Mine","29"
"El Molino Mine","6"
"El Muerte Mine","4"
"El Nayal Mine","3"
"El Oro Railway And Mining Company Mine","1"
"El Oued (Valley)","1"
"El Palacio Mine","1"
"El Paso Mine","5"
"El Paso No 2 Shaft","1"
"El Paso Shaft","1"
"El Pedregal Mine","3"
"El Pino","1"
"El Pipiano Mine","2"
"El Plomo Mine","3"
"El Porvenir Claim","3"
"El Potosi Mine","11"
"El Ranchito Mine","1"
"El Ranchito Mine, 25 Meter Depth","3"
"El Rayo Mine","2"
"El Refrigio Mine","1"
"El Refugio Mine","1"
"El Rino (Sweet) Mine","1"
"El Roque Island","4"
"El Sanico Mine","1"
"El Santin Mine","4"
"El Senador Mine","8"
"El Seri Mine","1"
"El Sharana Mine","20"
"El Sherana Mine","1"
"El Sol","1"
"El Solar Mine","2"
"El Sordo","2"
"El Sosneado Lake","1"
"El Swino Mine","1"
"El Teniente Mine","21"
"El Tigre","17"
"El Tigre Mine","1"
"El Tobar","11"
"El Tocho Mine","3"
"El Trnicnte Mine","1"
"El Tule Mine","5"
"El Verde mine","2"
"El Vinagre Mine","1"
"El Yunque","4"
"El. Sherana","3"
"Elandsdrift Mine","1"
"Elandslaagte 474","1"
"Elba","5"
"Elba Island","5"
"Elbow Peak","44"
"Elbrusskiy Mine","3"
"Eldora Stock","59"
"Eldora Stock; Peabody Granite?","1"
"Eldorado Bar","1"
"Eldorado Copper Mine","3"
"Eldorado Mine","37"
"Eldorado Sapphire Mine","3"
"Eldridge Peak","1"
"Eldridge Swamp","1"
"Eleanora Mine","2"
"Electric Meatball Mine","1"
"Elenita Mine","2"
"Eleonora Mine","9"
"Eleonore Erbst Mine","1"
"Eleonore Mine","1"
"Elephant Butte","1"
"Elephant Island","472"
"Elephant Mine","1"
"Elephant Moraine","122"
"Eleven Mile Reservoir","2"
"Elevenmile Canyon","2"
"Elevenses Lake","1"
"Eley Peak","4"
"Elgin S Works Mine","10"
"Elhel Asbestos Mine","3"
"Elias Mine","3"
"Elijah Mine","1"
"Elisa De Bordos Mine","2"
"Elisabeth Mine","2"
