fullKey,locality_id,,,,,,
NULL4dUraniumMineMineNevadaMineralCo.NULL228TeelsMarsh,64,,,,,,
NULLNULL4°NFractureZone.NULLNULLNULLNULL,65,,,,,,
LocationID:4H;Site:1;Hole:A4HPondlakeNebraskaDickinsonNULL228Platform:unknown;WaterDepth(m):3,66,,,,,,
4thOfJulyMineNULLNULLCaliforniaCaliforniaNULL228,67,,,,,,
NULL4thOfJulyMineMineCaliforniaSanBenitoCo.NULL228,67,,,,,,
NULL4thOfJulyMineMineCaliforniaSanBenitoCo.NULL228,67,,,,,,
50MileNULLNULLNULLNULLNULL38,68,,,,,,
50-mileCanyonGrandCanyonNULLArizonaNULLNULL228,70,,,,,,
6RDistrictNULLNULLOregonPortOrfordPortOrford228,71,,,,,,
60MileNULLNULLNULLNULLNULL38,72,,,,,,
60MileNULLNULLYukonNULLNULL38,72,,,,,,
LocationID:KET;Site:1;Hole:A652KettleLakelakeOntarioNULLNULL38Platform:unknown;WaterDepth(m):9.9,73,,,,,,
LocationID:KET;Site:1;Hole:B652KettleLakelakeOntarioNULLNULL38Platform:unknown;WaterDepth(m):9.9,74,,,,,,
Sandy-1PEATlakeMNSt.LouisNULL22869-0730-00-203NLF,75,,,,,,
Sandy-2PEATlakeMNSt.LouisNULL22869-0730-00-204NLF,76,,,,,,
Sandy-3PEATlakeMNSt.LouisNULL22869-0730-00-205NLF,77,,,,,,
NULL7SodaGeyserGroupNULLWyomingNULLNULL228YellowstoneNationalPark,78,,,,,,
7U7RanchNULLNULLArizonaHillsideHillside228,79,,,,,,
72KinnaidRdChiswickNULLNULLNULLNULLNULL227,80,,,,,,
72HIG-24NorthPacificOceanOceanNULLNULLNULLNULLCoordinatesprovidedbycatalogerwithnoadditionalmetadata,81,,,,,,
72HIG-25NorthPacificOceanOceanNULLNULLNULLNULL,82,,,,,,
72HIG-34NorthPacificOceanOceanNULLNULLNULLNULL,83,,,,,,
72HIG-37NorthPacificOceanOceanNULLNULLNULLNULL,84,,,,,,
72HIG-41NorthPacificOceanOceanNULLNULLNULLNULL,85,,,,,,
72HIG-44NorthPacificOceanOceanNULLNULLNULLNULL,86,,,,,,
72HIG-48NorthPacificOceanOceanNULLNULLNULLNULLCoordinatesprovidedbycatalogerwithnoadditionalmetadata,87,,,,,,
72HIG-49NorthPacificOceanOceanNULLNULLNULLNULL,88,,,,,,
72HIG-51NorthPacificOceanOceanNULLNULLNULLNULL,89,,,,,,
72HIG-D4NorthPacificOceanOceanNULLNULLNULLNULL,90,,,,,,
NULLNULLNULLNewMexicoSocorroCo.Magdalena228SummitOf7410-ftPeak,91,,,,,,
NULLNULLNULLNewMexicoSocorroCo.Magdalena228SwSlopeOf7562-ftPeak,93,,,,,,
75PETNorthPacificOceanOceanHawaiiNULLNULL228,94,,,,,,
"NULL76MLevelMineBavariaNULLHagendorf81MultiplerecordsfromGeoNamesmatchedthelocalityHagendorf,UpperPalatinate,Bavaria,Germany,includinghttp://geonames.org/2912529(featureCode=PPL)andhttp://geonames.org/2912530(featureCode=PPL).Thesituate.pyscriptwasunable",95,,,,,,
"NULL76MLevelMineNULLNULLNULLNULLHagendorf,WestGermany,Bavaria,WestGermanyMultiplerecordsfromGeoNamesmatchedthelocalityHagendorf,UpperPalatinate,Bavaria,Germany,includinghttp://geonames.org/2912529(featureCode=PPL)andhttp://geonames.org/2912530(featureCod",95,,,,,,
79MineNULLNULLArizonaHaydenHayden228,96,,,,,,
NULL79MineMineArizonaGilaCo.NULL228,96,,,,,,
NULL79MineMineArizonaGilaCo.NULL228Bannerdist,96,,,,,,
NULL79mineMineArizonaGilaCo.NULL228CoordinatesfromMindatpageaboutthe79MineinArizona(http://www.mindat.org/loc-3322.html),96,,,,,,
NULL79MineMineArizonaGilaCo.NULL228CoordinatesfromMindatpageaboutthe79MineinArizona(http://www.mindat.org/loc-3322.html),96,,,,,,
NULL79MineMineArizonaGilaCo.NULL228BannerDistrictCoordinatesfromMindatpageaboutthe79MineinArizona(http://www.mindat.org/loc-3322.html),96,,,,,,
"NULL79MineMineArizonaGilaCo.NULL228BannerDistrict,HaydenCoordinatesfromMindatpageaboutthe79MineinArizona(http://www.mindat.org/loc-3322.html)",96,,,,,,
NULL79MineMineArizonaGilaCo.NULL228BannerMiningDistrictCoordinatesfromMindatpageaboutthe79MineinArizona(http://www.mindat.org/loc-3322.html),96,,,,,,
NULL79MineMineArizonaGilaCo.NULL228HaydenCoordinatesfromMindatpageaboutthe79MineinArizona(http://www.mindat.org/loc-3322.html),96,,,,,,
NULL79MineMineArizonaGilaCo.NULL228Hayden(Near)CoordinatesfromMindatpageaboutthe79MineinArizona(http://www.mindat.org/loc-3322.html),96,,,,,,
"NULL79MineMineArizonaGilaCo.NULL228Hayden(Near),BannerDistrictCoordinatesfromMindatpageaboutthe79MineinArizona(http://www.mindat.org/loc-3322.html)",96,,,,,,
NULL79MineMineArizonaNULLGila228,96,,,,,,
NULL79MineMineArizonaNULLHayden228,96,,,,,,
