15KGMC005KanagaIslandAlaskaNULLNULL2281906(?) lava flow on west side of Kanaga cone. Calm afternoon with fishing boat between me and Bobrof.1906(?) lava flow on west side of Kanaga cone. Calm afternoon with fishing boat between me and Bobrof,40277
15KGMC006KanagaIslandAlaskaNULLNULL2281906(?) lava flow on west side of Kanaga cone. Calm afternoon with fishing boat between me and Bobrof.1906(?) lava flow on west side of Kanaga cone. Calm afternoon with fishing boat between me and Bobrof,40277
15KGMC007KanagaIslandAlaskaNULLNULL2281906(?) lava flow on west side of Kanaga cone. Calm afternoon with fishing boat between me and Bobrof.1906(?) lava flow on west side of Kanaga cone. Calm afternoon with fishing boat between me and Bobrof,40277
15KGMC008KanagaIslandAlaskaNULLNULL228East flank of Kanaga cone. Nap time.East flank of Kanaga cone. Nap time,40277
"15KGMP001KanagaIslandAlaskaNULLNULL228Round Head, southeast shore. Dinosaur egg beach.Round Head, southeast shore. Dinosaur egg beach",40277
"15KGMP002KanagaIslandAlaskaNULLNULL228South lava flow of Kanaga Volcano, within Kanaton Caldera. Beginning of upper lava front (?).South lava flow of Kanaga Volcano, within Kanaton Caldera. Beginning of upper lava front (?)",40277
"15KGMP002KanagaIslandAlaskaNULLNULL228South lava flow of Kanaga Volcano, within Kanaton Caldera. Lava Front.South lava flow of Kanaga Volcano, within Kanaton Caldera. Lava Front",40277
"15KGMP002KanagaIslandAlaskaNULLNULL228South lava flow of Kanaga Volcano, within Kanaton Caldera. Lava Top.South lava flow of Kanaga Volcano, within Kanaton Caldera. Lava Top",40277
15KGMP003KanagaIslandAlaskaNULLNULL228Northern side of the eastern lava flow of Kanaga Volcano. Top of right ridge of lava flow.,40277
15KGMP004KanagaIslandAlaskaNULLNULL228Western side of Kanaga volcano summit. In proximity of the fracture-ridge of S-rich fumaroles.,40277
15LSEC001Little SitkinIslandAlaskaNULLNULL228Tephra section near West Cove FlowTephra section near West Cove Flow,50019
15LSEC002Little SitkinIslandAlaskaNULLNULL228W Cove Lava Flow. East side of island near heli drop and just S of the springs. Bluff where KS has supernatural hearing.W Cove Lava Flow. East side of island near heli drop and just S of the springs. Bluff where KS has supernatural hearing,50019
15LSEC003Little SitkinIslandAlaskaNULLNULL228Tephra section on the SW coast just W of Prokhoda Pt. Gorgeous exposure. Sunny skies.Tephra section on the SW coast just W of Prokhoda Pt. Gorgeous exposure. Sunny skies,50019
15SMEC001SemisopochnoiIslandAlaskaNULLNULL2282000' SW of Sugar Loaf Peak / 1000' NW Sugarloaf Head2000' SW of Sugar Loaf Peak / 1000' NW Sugarloaf Head,83330
15SMEC002SemisopochnoiIslandAlaskaNULLNULL228Tephra section just on saddle bw SLPk and SLhdTephra section just on saddle bw SLPk and SLhd,83330
15SMEC002SemisopochnoiIslandAlaskaNULLNULL228NULLNULL,83330
15SMEC003SemisopochnoiIslandAlaskaNULLNULL228Saddle bw SL Pk and SL HeadSaddle bw SL Pk and SL Head,83330
15SMEC004SemisopochnoiIslandAlaskaNULLNULL228Tephra section on W side of semicircle crater(?) rim W of SL.Tephra section on W side of semicircle crater(?) rim W of S.L,83330
15SMEC005SemisopochnoiIslandAlaskaNULLNULL228Tephra section on E side of Sugar LoafTephra section on E side of Sugar Loaf,83330
15SMEC006SemisopochnoiIslandAlaskaNULLNULL228Tephra section on W side of Sugar Loaf southeastern-most drainageTephra section on W side of Sugar Loaf southeastern-most drainage,83330
