sample_type_id,sample_type_uri,label,description,parent_uri,parent_sample_type_id,scheme_uri,scheme_name
116,https://w3id.org/isample/earthenv/esmaterialsample/eluate,Eluate,The fluid product that contains the analyte of interest washed from a chromatography column,https://w3id.org/isample/earthenv/esmaterialsample/dissolvedchemicalfraction,31,,
117,https://w3id.org/isample/earthenv/esmaterialsample/fiblamella,FIB lamella,very thin sheet of solid material milled from a larger sample using a focused ion beam. Used for TEM analysis.,https://w3id.org/isample/vocabulary/materialsampleobjecttype/analyticalpreparation,33,,
118,https://w3id.org/isample/earthenv/esmaterialsample/filtrate,Filtrate,"A sample that has gone through a filtration process to separate solids from fluids (liquids or gases), using a filter medium through which only the fluid can pass. Must be associated with a filter size.",https://w3id.org/isample/earthenv/esmaterialsample/processedfluidsample,140,,
119,https://w3id.org/isample/vocabulary/materialsampleobjecttype/fossil,Fossil,"Material sample is the remains or trace of one or more organisms preserved in rock; includes whole body, body parts (usually bone or shell), and trace fossils. An organism or organism part becomes a fossil when it has undergone some fossilization process that entails physical and chemical changes akin to diagenesis in a sedimentary rock. Includes trace fossils, which are manifestations of biologic activity preserved in a rock body (typically sedimentary), without included preserved body parts.",https://w3id.org/isample/vocabulary/materialsampleobjecttype/nonbiologicsolidobject,130,,
120,https://w3id.org/isample/vocabulary/materialsampleobjecttype/genericaggregation,Generic aggregation,"An aggregate material sample that is not biogenic or composed of anthropogenic material fragments.  Examples: loose soil or sediment (e.g. in a bag), rock chips, particulate filtrate or precipitate; rock powders.",https://w3id.org/isample/vocabulary/materialsampleobjecttype/anyaggregation,102,,
121,https://w3id.org/isample/earthenv/esmaterialsample/highgradesample,High Grade Sample,"in mineral exploration, selective pieces of the most highly mineralized material from a mineralize site, intentionally excluding less mineralized material. A high grade sample might be collected to indicate what the best possible values are, or to provide material for certain types of trace element analyses.",https://w3id.org/isample/earthenv/esmaterialsample/compositesample,113,,
122,https://w3id.org/isample/earthenv/esmaterialsample/magneticfraction,Magnetic fraction,a collection of particles separated from a crushed rock sample based on their attraction to a magnet.,https://w3id.org/isample/earthenv/esmaterialsample/mineralseparate,126,,
123,https://w3id.org/isample/earthenv/esmaterialsample/materialcapturedinfilter,Material captured in filter,"A material sample captured in filter, for example from a water sample that was filtered. Must be associated with filter size field.",https://w3id.org/isample/vocabulary/materialsampleobjecttype/genericaggregation,100,,
124,https://w3id.org/isample/earthenv/esmaterialsample/meteorite,Meteorite,A meteorite is a solid object that originates in interplanetary space and survives passage through an atmosphere to reach the surface of a planet or moon.,https://w3id.org/isample/vocabulary/materialsampleobjecttype/solidmaterialsample,1,,
125,https://w3id.org/isample/vocabulary/materialsampleobjecttype/microtomeslice,Microtome slice,A very thin slice cut from a mounted specimen using a mocrotome or ultramicrotome.,https://w3id.org/isample/vocabulary/materialsampleobjecttype/solidmaterialsample,1,,
126,https://w3id.org/isample/earthenv/esmaterialsample/mineralseparate,Mineral separate,an aggregation of particles of the same mineral extracted and concentrated from a rock.,https://w3id.org/isample/vocabulary/materialsampleobjecttype/analyticalpreparation,33,,
